idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"100 SLOCOM DR,KING COVE,AK,99612",0.125,0.0,0.0,55.05876,-162.31336000000005,1,1
1,"1000 E DIMOND BLVD,ANCHORAGE,AK,99515-2029",1.0,0.0,0.0,61.14455947,-149.862842,1,1
2,"1000 GREG KRUSCHEK AVE,NOME,AK,99762",5.166666666666667,0.5,0.0,64.49992169,-165.37595100000001,1,1
3,"1001 E USA CIR,WASILLA,AK,99654",0.5,0.0,0.0,61.58407652,-149.42637340000005,1,1
4,"1001 S KNIK GOOSE BAY RD,WASILLA,AK,99654-8083",6.987301587301588,0.5333333333333333,0.8111111111111111,61.57292937,-149.4429404,1,1
5,"102 10TH AVE,FAIRBANKS,AK,99701-5003",1.0,0.0,0.0,64.83975645,-147.70575359999995,1,1
6,"104 S BINKLEY ST STE A,SOLDOTNA,AK,99669-8006",1.0,0.0,0.0,60.48746707,-151.07227419999995,1,1
7,"10767 KENAI SPUR HWY STE A,KENAI,AK,99611-7836",0.6666666666666666,0.0,0.0,60.55697917,-151.2430993,1,1
8,"10998 OMALLEY CENTRE DR STE A,ANCHORAGE,AK,99515-3069",0.0,0.0,0.5,61.121294999999996,-149.8617604,1,1
9,"10998 OMALLEY CENTRE DR,ANCHORAGE,AK,99515-3069",0.75,0.0,0.0,61.121294999999996,-149.8617604,1,1
10,"110 E SWANSON AVE,WASILLA,AK,99654-7024",2.25,0.0,0.0,61.5830865,-149.4499501,1,1
11,"111 E HERNING AVE,WASILLA,AK,99654-7032",1.0,0.0,0.0,61.58228247,-149.44995,1,1
12,"111 W 16TH AVE STE 203,ANCHORAGE,AK,99501-6206",0.2,0.0,0.3333333333333333,61.2061525,-149.8851135,1,1
13,"1113 W FIREWEED LN STE 101,ANCHORAGE,AK,99503-1753",1.0,0.0,0.0,61.19891949,-149.904792,1,1
14,"113 BERING SEA RD,AKUTAN,AK,99553",0.125,0.0,0.0,54.130745,-165.94077119999997,1,1
15,"1136 N MULDOON RD STE 110,ANCHORAGE,AK,99504-6119",1.3655122655122651,0.0,0.07142857142857142,61.23100246,-149.74078290000003,1,1
16,"114 MINNIE ST STE A,FAIRBANKS,AK,99701-3000",1.0,0.5,0.0,64.84899642,-147.7082364,1,1
17,"114 MINNIE ST STE B,FAIRBANKS,AK,99701-3000",0.0,0.0,1.0,64.84899642,-147.7082364,1,1
