,State_County_Tract_FIPS_Code
2020000204,17
2090001900,16
2020000300,11
2290000200,10
2050000300,10
2020002712,7
2020002823,6
2110000500,5
2122000500,5
2090001300,5
2020001731,5
2020002502,4
2090000800,4
2020001900,4
2170000501,4
2020002000,4
2130000100,4
2020001500,4
2090000200,4
2020002702,4
2170001300,3
2020000600,3
2020000101,3
2090001100,3
2020002100,3
2020002813,3
2020002812,3
2122001200,3
2020002301,3
2110000300,3
2020002711,2
2180000100,2
2090001200,2
2020001601,2
2020001602,2
2020002202,2
2170000800,2
2170000604,2
2090001500,2
2090000700,2
2220000100,2
2050000100,2
2122000400,2
2020002811,2
2020002822,2
2090000300,1
2170000601,1
2170000603,1
2122000600,1
2020001300,1
2020002601,1
2122000200,1
2122001300,1
2122000800,1
2220000200,1
2170000300,1
2020002400,1
2020001702,1
2122001000,1
2185000100,1
2170000200,1
2110000100,1
2150000100,1
2020002821,1
