,State_County_Tract_FIPS_Code
2020001602,179
2020001900,60
2170000900,47
2020002712,40
2020001500,39
2170000800,29
2020001802,25
2110000500,22
2220000200,21
2100000100,20
2020000201,20
2020002601,20
2110000400,20
2020001000,19
2050000100,19
2198000200,19
2020002100,18
2020000400,18
2020000802,17
2020001400,17
2020002303,17
2020000600,17
2170001003,16
2110000300,15
2090000200,13
2122000600,13
2020001701,12
2170001004,11
2020001702,11
2150000200,10
2020002301,9
2170000501,9
2122000500,9
2122001000,8
2180000100,7
2188000200,7
2090001900,7
2090000300,6
2130000200,6
2013000100,6
2020000901,6
2090001600,6
2090000700,5
2070000200,5
2164000100,5
2150000300,5
2261000300,5
2122001200,5
2090000500,4
2185000100,4
2170001202,4
2170000102,4
2090000100,4
2020000202,3
2020002702,3
2150000400,3
2122000100,3
2170000601,3
2275000300,3
2020002502,3
2290000400,3
2016000100,3
2240000400,3
2170000402,2
2261000100,2
2020000702,2
2195000200,2
2122000400,2
2090001300,2
2020000101,2
2090000800,2
2020002811,2
2020002711,2
2122000800,2
2240000100,1
2290000100,1
2020002812,1
2016000200,1
2020002000,1
2170000705,1
2020001100,1
2122001300,1
2198940100,1
2020000204,1
2198000100,1
2122000700,1
2060000100,1
2090000600,1
2261000200,1
