idx,general,pediatric,specialist,hygienist_for_general,hygienist_for_pediatric,Address,ZIP,City,State,Latitude,Longitude,CensusCountyFips,CensusStateFips,County,med_indicator,chip_indicator
0,1,0,0,2,0,"1 E. WASHINGTON ST., STE. 501",85004,PHOENIX,AZ,33.4477041,-112.0744325,13,4,Maricopa County,0,0
1,1,0,0,2,0,"1 W BROADWAY BLVD,APT 506",85701,TUCSON,AZ,32.2208719,-110.97128229999998,19,4,Pima County,0,0
2,0,0,1,0,0,10 N. ALAMOS DRIVE,86326,COTTONWOOD,AZ,34.73973879,-112.03850290000001,25,4,Yavapai County,0,0
3,2,0,0,4,0,10 W HUNT,86001,FLAGSTAFF,AZ,35.2041938,-111.6463537,5,4,Coconino County,0,0
4,1,0,0,2,0,10 W. VISTA AVE,85021,PHOENIX,AZ,33.5467609,-112.0745274,13,4,Maricopa County,0,0
5,1,0,0,2,0,10 WEST HUNG AVENUE,86001,FLAGSTAFF,AZ,35.28940688,-111.6377409,5,4,Coconino County,0,0
6,1,0,0,2,0,100 N. 13TH WEST,85936,SAINT JOHNS,AZ,34.50816299,-109.3842012,1,4,Apache County,0,0
7,1,0,0,2,0,"1000 WILLOW CREEK RD,STE H",86301,PRESCOTT,AZ,34.5602882,-112.48300400000001,25,4,Yavapai County,0,0
8,0,0,1,0,0,10000 SOUTH WILMOT RD,85730,TUCSON,AZ,32.0682977,-110.86798390000001,19,4,Pima County,0,0
9,1,0,0,2,0,10005 N 23RD STREET,85028,PHOENIX,AZ,33.57800838,-112.03215209999999,13,4,Maricopa County,0,0
10,0,0,1,0,0,"10006 W HAPPY VALLEY PKWY,SUITE 1220",85383,PEORIA,AZ,33.7130736,-112.27483659999999,13,4,Maricopa County,0,0
11,1,0,0,2,0,1001 E PLAYA DEL NORTE DR #1303,85281,TEMPE,AZ,33.4341883,-111.92316149999999,13,4,Maricopa County,0,0
12,1,0,0,2,0,"1001 N. CENTRAL AVE.,#C18",85901,SHOW LOW,AZ,34.25798568,-110.0426563,17,4,Navajo County,0,0
13,1,0,0,2,0,1001 W NORTHVIEW AVE,85021,PHOENIX,AZ,33.5426847,-112.0860088,13,4,Maricopa County,0,0
14,1,0,0,2,0,10040 E. HAPPY VALLEY RD. #331,85255,SCOTTSDALE,AZ,33.716933000000004,-111.8646567,13,4,Maricopa County,0,0
15,1,0,0,2,0,10049 E DYNAMITE BLVD #110,85262,SCOTTSDALE,AZ,33.741518299999996,-111.8647223,13,4,Maricopa County,0,0
16,1,0,0,2,0,10057 N. 96TH WAY,85258,SCOTTSDALE,AZ,33.577734,-111.8731251,13,4,Maricopa County,0,0
17,1,0,0,2,0,1006 W ROCK SPRINGS CIR,85541,PAYSON,AZ,34.2493296,-111.3439191,7,4,Gila County,0,0
