idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
0,"10 N ALAMOS DR STE 210,COTTONWOOD,AZ,86326-4072",0.925,0.7,0.0,34.74020519,-112.0390618,1,1,1.85,1.4
1,"10 N ALAMOS DR,COTTONWOOD,AZ,86326-4072",0.0,1.0,0.0,34.74020519,-112.0390618,1,1,0.0,2.0
2,"10 S KYRENE RD STE 3,CHANDLER,AZ,85226-4524",0.511204481792717,0.05882352941176471,0.16666666666666666,33.30302982,-111.9458154,1,1,1.022408963585434,0.11764705882352942
3,"100 N 13TH ST W,SAINT JOHNS,AZ,85936",0.8333333333333333,0.0,0.0,34.50790758,-109.3841534,1,1,1.6666666666666663,0.0
4,"100 N STATE ROUTE 89,CHINO VALLEY,AZ,86323-5980",0.3333333333333333,0.3703703703703704,0.3333333333333333,34.74736108,-112.4544773,1,1,0.6666666666666666,0.7407407407407408
5,"100 W APACHE TRL STE 1,APACHE JUNCTION,AZ,85120-3925",0.25,0.0,0.0,33.41354932,-111.5468768,1,1,0.5,0.0
6,"100 W APACHE TRL STE,APACHE JCT,AZ,85120-3925",0.25,0.0,0.0,33.41354932,-111.5468768,1,1,0.5,0.0
7,"100 W APACHE TRL,APACHE JCT,AZ,85120-3925",0.25,0.0,0.0,33.41354932,-111.5468768,1,1,0.5,0.0
8,"1000 N SILVERBELL RD,TUCSON,AZ,85745-2234",1.3333333333333333,0.0,0.0,32.23420782,-111.003197,1,1,2.6666666666666665,0.0
9,"1000 WILLOW CREEK RD STE E,PRESCOTT,AZ,86301-1645",0.8104118104118104,0.0,0.0,34.56036155,-112.4822152,1,1,1.6208236208236209,0.0
10,"1000 WILLOW CREEK RD STE K,PRESCOTT,AZ,86301-1645",0.0,0.0,0.25,34.56036155,-112.4822152,1,1,0.0,0.0
11,"1000 WILLOW CREEK RD STE,BLACK CANYON CITY,AZ,85324",0.1111111111111111,0.0,0.0,34.06604,-112.14943999999998,1,1,0.2222222222222222,0.0
12,"1000 WILLOW CREEK RD STE,PRESCOTT,AZ,86301-1645",0.1111111111111111,0.0,0.0,34.56036155,-112.4822152,1,1,0.2222222222222222,0.0
13,"1000 WILLOW CREEK RD,PRESCOTT,AZ,86301-1645",0.0,0.0,0.25,34.56036155,-112.4822152,1,1,0.0,0.0
14,"1000 WILLOW CREEK ROAD SU,TUCSON,AZ,85737",0.0,0.0,0.25,32.399370000000005,-110.95123999999998,1,1,0.0,0.0
15,"1004 S HOPI AVE,PARKER,AZ,85344-5134",0.0,0.07692307692307693,0.0,34.15086766,-114.2876669,1,1,0.0,0.15384615384615385
16,"1010 E MCDOWELL RD STE 100,PHOENIX,AZ,85006-2607",0.1,0.0,0.0,33.46575244,-112.0602091,1,1,0.2,0.0
