id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US04001942600,,"Census Tract 9426, Apache County, Arizona",37,20,0,5,38,4,0,0,12,0,5,7,153,45,9,0,8,55,8,0,3,12,0,9,4,170,36,3,21,13,30,23,0,7,14,9,14,0,221.5,108.4,45.1,39,414,1623708
1400000US04001942700,,"Census Tract 9427, Apache County, Arizona",107,17,9,41,11,35,5,3,45,12,0,2,357,82,43,20,11,14,26,12,31,81,24,5,8,581,166,61,49,43,56,26,18,25,81,40,8,8,611.5,231.85,272.65,31,1147,
1400000US04001944000,,"Census Tract 9440, Apache County, Arizona",149,17,58,55,18,6,12,6,70,12,0,37,591,215,21,64,87,15,14,22,33,82,12,0,26,690,267,58,130,68,3,15,22,32,26,34,11,24,1180,188.9,227.1,98,1694,
1400000US04001944100,,"Census Tract 9441, Apache County, Arizona",255,47,45,46,41,35,0,23,34,21,5,10,562,240,67,57,66,23,40,5,8,27,10,0,19,518,126,71,77,44,22,44,20,14,69,27,0,4,1031,238.5,181.5,38,1489,
1400000US04001944201,,"Census Tract 9442.01, Apache County, Arizona",90,52,59,90,79,14,0,14,18,15,15,14,744,153,124,139,48,138,52,0,26,38,0,13,13,654,180,38,86,79,112,12,0,11,37,12,48,39,1410.5,298.15,115.35,142,1966,
1400000US04001944202,,"Census Tract 9442.02, Apache County, Arizona",185,79,56,0,8,9,0,0,42,10,11,0,373,117,56,35,26,14,0,0,28,84,13,0,0,519,178,66,38,40,19,15,0,28,63,21,26,25,802.5,109.95,223.55,62,1198,
1400000US04001944300,,"Census Tract 9443, Apache County, Arizona",189,53,47,57,69,41,9,5,134,33,0,4,703,223,58,106,76,13,42,18,21,111,35,0,0,570,148,27,56,36,43,31,37,29,114,26,16,7,1102.5,313.45,435.05,27,1878,
1400000US04001944901,,"Census Tract 9449.01, Apache County, Arizona",119,22,40,26,11,11,0,34,23,13,20,0,473,118,47,47,42,50,8,15,65,34,10,28,9,502,137,28,33,42,70,24,23,48,50,20,24,3,734.5,298.85,144.65,84,1262,
1400000US04001944902,,"Census Tract 9449.02, Apache County, Arizona",156,57,41,66,20,18,0,0,22,11,0,8,433,218,73,29,29,22,9,11,8,19,12,0,3,444,147,61,19,45,20,13,13,5,37,40,25,19,886,111.9,137.1,55,1190,
1400000US04001945001,,"Census Tract 9450.01, Apache County, Arizona",67,14,11,0,28,54,11,12,64,22,0,19,488,171,12,13,0,45,61,15,11,49,111,0,0,309,29,0,36,12,19,49,0,12,71,41,13,27,368,280.2,348.8,59,1056,
