idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"#1 ST VINCENT CR #240 #1 ST VINCENT CR #240,LITTLE ROCK,AR,72205",1.0,0.0,0.0,34.754979999999996,-92.34063989,1,1
1,"1 CHILDRENS WAY,LITTLE ROCK,AR,72202",6.0,1.0,1.0,34.74119748,-92.29159527,1,1
2,"1 PRATOR DR,ARKADELPHIA,AR,71923",1.0,0.0,0.0,34.18550053,-93.09019194,1,1
3,"101 DORIS CT,HOT SPRINGS NATIONAL PARK,AR,71913",1.0,0.0,0.0,34.48959257,-93.09383152,1,1
4,"1010 W CENTER ST,BEEBE,AR,72012",1.0,0.0,0.0,35.06835147,-91.89241247,1,1
5,"1012 W POPLAR ST,ROGERS,AR,72756",1.0,0.0,0.0,36.33159749,-94.12930442,1,1
6,"1018 N WASHINGTON ST,MAGNOLIA,AR,71753",1.0,0.0,0.0,33.27642749,-93.23999914,1,1
7,"102 CHIPPEWA CT,HOT SPRINGS NATIONAL PARK,AR,71901",2.0,0.0,0.0,34.48985985,-93.03529704,1,1
8,"102 RIDGEWAY ST,HOT SPRINGS NATIONAL PARK,AR,71901",1.0,0.0,0.0,34.49406051,-93.03810308,1,1
9,"1021 S 21ST ST,FORT SMITH,AR,72901",1.0,0.0,0.0,35.37398117,-94.41065773,1,1
10,"10220 W MARKHAM ST,LITTLE ROCK,AR,72205",1.0,0.0,0.0,34.75373542,-92.38699129999999,1,1
11,"1031 W 3RD ST,IMBODEN,AR,72434",1.0,0.0,0.0,36.20394345,-91.18637983,1,1
12,"10310 W MARKHAM ST,LITTLE ROCK,AR,72205",0.0,0.0,1.0,34.75382438,-92.38822999,1,1
13,"10334 SHANNON HILLS DR,MABELVALE,AR,72103",1.0,0.0,0.0,34.62333446,-92.39498058,1,1
14,"104 E BOND AVE,WEST MEMPHIS,AR,72301",1.0,0.0,0.0,35.14807351,-90.18473022,1,1
15,"104 N UTAH AVE,RUSSELLVILLE,AR,72801",0.5,0.0,0.0,35.28427863,-93.15254252,1,1
16,"1045 W MAIN ST,WALNUT RIDGE,AR,72476",1.0,0.0,0.0,36.07456154,-90.96435469,1,1
17,"105 E 10TH ST,DANVILLE,AR,72833",1.0,0.0,0.0,35.05232251,-93.39243316,1,1
18,"105 RIDGEWAY ST,HOT SPRINGS NATIONAL PARK,AR,71901",1.0,0.0,0.0,34.49411449,-93.03716241,1,1
19,"105 S MAIN ST,BRINKLEY,AR,72021",1.0,0.0,0.0,34.8864734,-91.19454657,1,1
20,"105 W CHURCH ST,WARREN,AR,71671",2.0,0.0,0.0,33.61242953,-92.06503312,1,1
21,"105 W PARK ST,LINCOLN,AR,72744",1.0,0.0,0.0,35.94898661,-94.42351051,1,1
22,"10565 ROOSEVELT RD,PRAIRIE GROVE,AR,72753",1.0,0.0,0.0,35.9765602,-94.36577956,1,1
23,"106 W MAIN,CALION,AR,71724",1.0,0.0,0.0,33.32959128,-92.54296325,1,1
24,"107 N MAPLE ST,OSCEOLA,AR,72370",1.0,0.0,0.0,35.70296718,-89.97150042,1,1
25,"10825 KANIS RD,LITTLE ROCK,AR,72211",1.0,0.0,0.0,34.74308184,-92.39563594,1,1
26,"1090 AR-10,BOONEVILLE,AR,72927",1.0,0.0,0.0,35.14125065,-93.90722771,1,1
27,"110 DOVER RD,WEST MEMPHIS,AR,72301",1.0,0.0,0.0,35.16151652,-90.18650233,1,1
28,"110 N DREW ST,STAR CITY,AR,71667",1.0,0.0,0.0,33.94272561,-91.84520143,1,1
29,"110 W 18TH ST,HOPE,AR,71801",2.0,0.0,0.0,33.65137446,-93.58792183,1,1
30,"110 W DEQUEEN AVE,DE QUEEN,AR,71832",3.0,0.0,0.0,34.03786066,-94.33805248,1,1
31,"1101 E POPLAR ST,CLARKSVILLE,AR,72830",2.0,0.0,0.0,35.4644425,-93.44609129999999,1,1
32,"1105 W COURT ST,PARAGOULD,AR,72450",1.0,0.0,0.0,36.05624748,-90.50026049,1,1
33,"1109 W CHESTNUT ST,ROGERS,AR,72756",1.0,0.0,0.0,36.33452395,-94.13257427,1,1
34,"1112 MILITARY RD,BENTON,AR,72015",1.0,0.0,0.0,34.57425643,-92.57988279,1,1
35,"1113 S MAIN ST,SEARCY,AR,72143",1.0,0.0,0.0,35.23858905,-91.7352295,1,1
36,"1115 WINDOVER RD,JONESBORO,AR,72401",1.0,0.0,0.0,35.81400648,-90.68790086,1,1
37,"11300 CANTRELL RD,LITTLE ROCK,AR,72212",0.0,0.0,1.0,34.7925779,-92.39817449,1,1
38,"1133 N WALTON BLVD,BENTONVILLE,AR,72712",0.0,0.0,1.0,36.38593769,-94.22118661,1,1
39,"116 BUENA VISTA RD,HOT SPRINGS NATIONAL PARK,AR,71913",1.0,0.0,0.0,34.45650653,-93.06017103,1,1
40,"1171 HIGHWAY 62 412,CHEROKEE VILLAGE,AR,72529",1.0,0.0,0.0,36.25860618,-91.56101254,1,1
41,"11723 MAUMELLE BLVD,MAUMELLE,AR,72113",1.0,0.0,0.0,34.82725576,-92.38969509999998,1,1
42,"118 HICKORY HILLS DR,HELENA,AR,72342",1.0,0.0,0.0,34.53597787,-90.61799025,1,1
43,"1188 N SALEM RD,FAYETTEVILLE,AR,72704",1.0,0.0,0.0,36.0792906,-94.20810702,1,1
44,"12 E APPLEBY RD,FAYETTEVILLE,AR,72703",1.0,0.0,0.0,36.10522457,-94.15408148,1,1
45,"12 MARLOU DR,CABOT,AR,72023",4.0,0.0,0.0,34.94430866,-92.05272648,1,1
46,"12 SHORE POINT RD,NORTH LITTLE ROCK,AR,72116",0.0,1.0,0.0,34.78627788,-92.23944148,1,1
47,"120 W BOWER AVE,HARRISON,AR,72601",1.0,0.0,0.0,36.23550255,-93.10810469,1,1
48,"1200 MCLAIN ST,NEWPORT,AR,72112",2.0,0.0,0.0,35.60810249,-91.26535494,1,1
49,"12018 CHENAL PKWY,LITTLE ROCK,AR,72211",2.0,0.0,0.0,34.74936919,-92.40842694,1,1
50,"1204 S ROGERS ST,CLARKSVILLE,AR,72830",0.5,0.0,0.0,35.45603579999999,-93.46387339,1,1
51,"1205 E POINTER TRL,VAN BUREN,AR,72956",1.0,0.0,0.0,35.45873162,-94.34722687,1,1
52,"1205 W COMMERCIAL 1205 W COMMERCIAL,OZARK,AR,72949",1.0,0.0,0.0,35.4908742,-93.83025449,1,1
53,"121 E SHELTON 121 E SHELTON,MONTICELLO,AR,71657",1.0,0.0,0.0,33.62812,-91.79096999,1,1
54,"121 W HOWARD ST,NASHVILLE,AR,71852",1.0,0.0,0.0,33.94340849,-93.84813058,1,1
55,"1211 W HUDSON RD,ROGERS,AR,72756",1.0,0.0,0.0,36.35539648,-94.1311825,1,1
56,"1212 W 2ND ST,RUSSELLVILLE,AR,72801",1.0,0.0,0.0,35.28051423,-93.14518729,1,1
57,"1215 MILITARY RD,BENTON,AR,72015",1.0,0.0,0.0,34.57617786,-92.57760422,1,1
58,"1218 E MAIN ST,MELBOURNE,AR,72556",1.0,0.0,0.0,36.05950657,-91.87647131,1,1
59,"122 BLOCK ST,MARION,AR,72364",3.0,0.0,0.0,35.20999389,-90.204375,1,1
60,"122 MAIN ST,NEWPORT,AR,72112",1.0,0.0,0.0,35.60497532,-91.28379962,1,1
61,"1224 W COURT ST,PARAGOULD,AR,72450",1.0,0.0,0.0,36.05619447,-90.50208316,1,1
62,"1225 BRECKENRIDGE DR,LITTLE ROCK,AR,72205",0.0,0.0,1.0,34.76479431,-92.38794203,1,1
63,"123 N CENTER ST,LONOKE,AR,72086",3.0,0.0,0.0,34.7845566,-91.90000812,1,1
64,"123 W GROVE ST,EL DORADO,AR,71730",1.0,0.0,0.0,33.21821953,-92.664383,1,1
65,"1242 W 42ND AVE,PINE BLUFF,AR,71603",1.0,0.0,0.0,34.18647953,-92.01639194,1,1
66,"125 N RUST AVE,GENTRY,AR,72734",1.0,0.0,0.0,36.26880277,-94.48366703,1,1
67,"12501 CANTRELL RD,LITTLE ROCK,AR,72223",1.0,0.0,0.0,34.79776256,-92.41263069,1,1
68,"125B S BLOOMINGTON 125B S BLOOMINGTON,LOWELL,AR,72745",1.0,0.0,0.0,36.2558999,-94.13880999,1,1
69,"125B S BLOOMINGTON ST,LOWELL,AR,72745",1.0,0.0,0.0,36.25253315,-94.1368002,1,1
70,"126 W BOND AVE,WEST MEMPHIS,AR,72301",1.0,0.0,0.0,35.14800047,-90.1872503,1,1
71,"126W E BOND AVE,WEST MEMPHIS,AR,72301",0.0,0.0,1.0,35.14810827,-90.18439233,1,1
72,"12822 CRYSTAL VALLEY RD,LITTLE ROCK,AR,72210",1.0,0.0,0.0,34.67687346,-92.41408964,1,1
73,"12921 CANTRELL RD,LITTLE ROCK,AR,72223",1.0,0.0,0.0,34.79902094,-92.41778281,1,1
74,"1300 PROGRESS AVE,SILOAM SPRINGS,AR,72761",1.0,0.0,0.0,36.17299563,-94.51471118,1,1
75,"1301 E ROBINSON AVE,SPRINGDALE,AR,72764",1.0,0.0,0.0,36.16687654,-94.11746238,1,1
76,"1301 RIDGWAY RD,PINE BLUFF,AR,71603",1.0,1.0,0.0,34.16546447,-92.01668013,1,1
77,"1306 S PINE ST,CABOT,AR,72023",0.0,0.0,1.0,34.95164352,-92.00859753,1,1
78,"1326 S WALDRON RD,FORT SMITH,AR,72903",1.0,0.0,0.0,35.36942765,-94.37275473,1,1
79,"1347 W COLLIN RAYE DR,DE QUEEN,AR,71832",1.0,0.0,0.0,34.04532315,-94.37303553,1,1
80,"135 CASH RD NW,CAMDEN,AR,71701",2.0,0.0,0.0,33.5855406,-92.85115144,1,1
81,"136 FILES RD,HOT SPRINGS NATIONAL PARK,AR,71913",0.0,0.0,1.0,34.46357021,-93.06433266,1,1
82,"136 HEALTH PARK DR,MENA,AR,71953",2.0,0.0,0.0,34.59320122,-94.20831597,1,1
83,"13600 DAVID O DODD RD,LITTLE ROCK,AR,72210",3.0,0.0,0.0,34.70788804,-92.41156996,1,1
84,"138 HIGHWAY 270 E,MOUNT IDA,AR,71957",1.0,0.0,0.0,34.55741245,-93.63149839,1,1
85,"1400 SE WALTON BLVD, #10,BENTONVILLE,AR,72712",1.0,0.0,0.0,36.33517749,-94.19206054,1,1
86,"1401 DUDLEY ST,TEXARKANA,AR,71854",1.0,0.0,0.0,33.41998745,-94.02865158,1,1
87,"1405 BRADEN ST,JACKSONVILLE,AR,72076",1.0,0.0,0.0,34.87235846,-92.125242,1,1
88,"1405 MCCOY DR,HARRISON,AR,72601",0.0,0.0,1.0,36.24537447,-93.12231149,1,1
89,"1408 E MAIN ST,CLARKSVILLE,AR,72830",1.0,0.0,0.0,35.46926874,-93.43318618,1,1
90,"1409 S ROCK ST,SHERIDAN,AR,72150",1.0,0.0,0.0,34.28932449,-92.39891579,1,1
91,"14114 TAYLOR LOOP RD,LITTLE ROCK,AR,72223",0.0,2.5,0.0,34.79951655,-92.43679494,1,1
92,"142 HAYNES STREET 142 HAYNES STREET,CAMDEN,AR,71701",1.0,0.0,0.0,33.5848599,-92.83650839,1,1
93,"1421 CENTRAL AVE,HOT SPRINGS NATIONAL PARK,AR,71901",1.0,0.0,0.0,34.49943384,-93.05641203,1,1
94,"143 AR-463 N,TRUMANN,AR,72472",1.0,0.0,0.0,35.67211759,-90.51902975,1,1
95,"1455 HARRISON ST,BATESVILLE,AR,72501",0.5,0.0,0.0,35.76964951,-91.63886332,1,1
96,"1474 HIGHWAY 62 412,HARDY,AR,72542",2.0,0.0,0.0,36.26001464,-91.54820829,1,1
97,"1475 HOGAN LN,CONWAY,AR,72034",1.0,0.0,0.0,35.09934333,-92.4976641,1,1
98,"14810 CANTRELL RD,LITTLE ROCK,AR,72223",4.0,0.0,0.0,34.80099463,-92.43724043,1,1
99,"1495 W 1ST ST N,PRESCOTT,AR,71857-3340",1.0,0.0,0.0,33.81232372,-93.37609408,1,1
100,"15 W MAIN ST,PARIS,AR,72855",1.0,0.0,0.0,35.29282146,-93.73010013,1,1
101,"1501 S WALDRON RD,FORT SMITH,AR,72903",0.0,1.0,0.0,35.36746358,-94.37273934,1,1
102,"1503 MARKETPLACE DR,JONESBORO,AR,72401",1.0,0.0,0.0,35.826345,-90.68081685,1,1
103,"1508 W MAIN ST,RUSSELLVILLE,AR,72801",2.0,0.0,0.0,35.28216068,-93.14751436,1,1
104,"151 COUNTRY CLUB RD,POCAHONTAS,AR,72455",2.0,0.0,0.0,36.28976416,-90.99611143,1,1
105,"1510 E MAIN ST,MOUNTAIN VIEW,AR,72560",2.0,0.0,0.0,35.86112154,-92.09264459,1,1
106,"152 E APPLEBY RD,FAYETTEVILLE,AR,72703",2.0,0.0,1.0,36.10522175,-94.15397837,1,1
107,"1528 N 39TH ST,FORT SMITH,AR,72904",2.0,0.0,0.0,35.3926173,-94.38873626,1,1
108,"155 E MAIN ST,GENTRY,AR,72734",1.0,0.0,0.0,36.26747129,-94.48422841,1,1
109,"16 CHURCH ST,CHARLESTON,AR,72933",1.0,0.0,0.0,35.29736610000001,-94.04090657,1,1
110,"1600 E OAK ST,CONWAY,AR,72032",2.0,0.0,0.0,35.09121311,-92.40485988,1,1
111,"16003 CHENAL PKWY,LITTLE ROCK,AR,72223",1.0,0.0,0.0,34.75743007,-92.44626756,1,1
