,State_County_Tract_FIPS_Code
5119004215,23
5119002103,21
5131001102,19
5119004213,19
5143010102,18
5007021409,15
5119004900,15
5007020404,14
5007021304,13
5119003303,13
5119002208,12
5051011800,11
5119004218,11
5115951400,10
5051010500,10
5139951000,10
5131001001,9
5009790502,9
5005950300,9
5143010702,8
5031000802,8
5045031003,8
5023480400,7
5143011102,7
5091020900,6
5143010106,6
5143010506,6
5007020401,6
5145070900,6
5051012002,6
5125010404,5
5069002000,5
5119003402,5
5085020204,5
5131001303,5
5093010200,5
5007021306,5
5045030702,5
5143010508,5
5143010105,5
5031000601,5
5119004303,5
5063490200,5
5143010509,5
5119004219,5
5007020405,4
5119003604,4
5119002407,4
5007020606,4
5055480400,4
5143010501,4
5119004400,4
5031000300,4
5033020204,4
5119004221,4
5031000402,4
5007021301,4
5119002203,3
5045030301,3
5119004205,3
5009790501,3
5007020603,3
5143010503,3
5119002204,3
5115951200,3
5015950500,3
5113950100,3
5125010510,3
5045030800,3
5125010507,3
5143010403,3
5125010503,3
5143010101,3
5007021310,3
5119004214,2
5091020100,2
5119003703,2
5037950500,2
5119004201,2
5119004216,2
5087960400,2
5119002104,2
5027950100,2
5137950202,2
5109953400,2
5007020503,2
5119004103,2
5133080300,2
5045030102,2
5045030103,2
5119003500,2
5121960200,2
5009790600,2
5059020300,2
5119001600,2
5027950500,2
5143010104,2
5119004306,2
5007020902,2
5119003304,2
5007020801,2
5043490200,2
5021950500,2
5069000301,2
5143011002,2
5119002209,2
5145071200,2
5119002206,2
5035030302,2
5037950600,2
5079960500,1
5119003800,1
5131010201,1
5115951000,1
5033020301,1
5023480502,1
5007020203,1
5119002800,1
5007020604,1
5047950200,1
5065960300,1
5143010507,1
5057480500,1
5143010510,1
5139950800,1
5145070401,1
5143010107,1
5039970100,1
5045030701,1
5075470100,1
5005950900,1
5083950200,1
5119003712,1
5145070600,1
5145070800,1
5125010409,1
5071951900,1
5031000102,1
5085020202,1
5115951501,1
5085020205,1
5119003609,1
5119003704,1
5123960600,1
5119003711,1
5007020101,1
5145070700,1
5007020102,1
5035031000,1
5065960400,1
5007021001,1
5085020101,1
5127950100,1
5035030202,1
5077470300,1
5045031005,1
5055480600,1
5007021308,1
5031001000,1
5033020203,1
5119003404,1
5131010301,1
5089960100,1
5119003305,1
5149952402,1
5007020701,1
5031000501,1
5019953601,1
5019953602,1
5021950600,1
5139950300,1
5007020501,1
5131001302,1
5131001304,1
5119002102,1
5119002408,1
5019953800,1
5067480400,1
5069000302,1
5045030401,1
5003960300,1
5119004220,1
5019953700,1
5107480500,1
5119004212,1
5041950300,1
5017080400,1
5143010701,1
5119003306,1
5003960700,1
5125010101,1
5015950100,1
5119003202,1
5103950100,1
5035030806,1
5069002500,1
5093011200,1
5149952302,1
5019953900,1
5059020100,1
5119003001,1
5071952200,1
5141460302,1
5135470300,1
5015950200,1
5085020500,1
5045030600,1
5033020100,1
5007021406,1
5007021408,1
5143011004,1
5035030201,1
5125010102,1
5049550200,1
5139950100,1
