,State_County_Tract_FIPS_Code
5031000402,22
5143010106,12
5051011601,12
5143010702,11
5045030800,10
5115951400,9
5035030201,9
5055480400,9
5131001101,8
5119004500,8
5031000102,8
5119002900,7
5131000600,7
5119003303,7
5143010503,7
5119004205,7
5007021306,6
5145070800,6
5143010302,6
5007020401,6
5031000300,6
5139950800,6
5119002102,5
5119002103,5
5131001305,5
5009790502,5
5019953601,5
5125010303,5
5057480300,5
5007020405,5
5119004800,5
5007020301,5
5143010509,5
5131001301,5
5131000800,5
5053470400,4
5119002209,4
5063490300,4
5071952100,4
5033020302,4
5045030403,4
5125010510,4
5121960301,4
5119002407,4
5131001102,4
5085020204,4
5005950100,4
5133080300,4
5103950400,4
5035030805,4
5119004216,4
5085020500,4
5143010200,4
5145070700,4
5131001001,3
5143011001,3
5063490200,3
5067480200,3
5119004212,3
5081030101,3
5115951502,3
5119003305,3
5007020501,3
5051011700,3
5069001700,3
5059020400,3
5001480700,3
5119002208,3
5003960700,3
5035030803,3
5051011300,3
5051011400,3
5001480500,3
5143011200,3
5023480400,3
5119004215,3
5011950400,3
5007020302,3
5031000601,3
5103950100,3
5045030702,3
5027950400,3
5119002405,3
5051011602,3
5007021304,3
5051011200,3
5007021301,3
5037950500,2
5091020400,2
5093010200,2
5115951100,2
5137950202,2
5129970200,2
5033020600,2
5031001000,2
5029950400,2
5115951300,2
5149952402,2
5145071200,2
5145070900,2
5141460302,2
5119003608,2
5035030806,2
5069002000,2
5119003604,2
5007021002,2
5067480300,2
5063490500,2
5045030301,2
5143010504,2
5045030102,2
5033020301,2
5143010510,2
5005950400,2
5029950300,2
5019953602,2
5119004103,2
5119004105,2
5119004106,2
5131001303,2
5093010600,2
5007021201,2
5075470502,2
5051011800,2
5123960500,2
5125010101,2
5045031005,2
5087960200,2
5021950400,2
5003960400,2
5085020202,2
5131010202,2
5135470300,2
5113950100,2
5031000802,2
5007021101,2
5069001800,2
5123960600,2
5041950500,2
5119003704,2
5119003703,2
5037950600,2
5131000501,2
5119003306,2
5069001501,2
5139950700,2
5093011000,2
5135470200,2
5041950300,2
5061950300,2
5125010600,2
5119004303,2
5097953100,2
5051010400,2
5083950200,2
5119001800,2
5143010107,2
5095950100,2
5079960600,1
5099090200,1
5085020206,1
5047950300,1
5089960201,1
5071951900,1
5065960200,1
5031000101,1
5043490400,1
5063490600,1
5049550100,1
5083950300,1
5055480802,1
5085020400,1
5007020201,1
5131010201,1
5119003800,1
5017080100,1
5069001903,1
5079960500,1
5141460100,1
5003960300,1
5057480500,1
5125010408,1
5015950300,1
5143010506,1
5143010403,1
5143010507,1
5045031003,1
5119002700,1
5141460200,1
5039970300,1
5125010301,1
5143011101,1
5111490500,1
5143011003,1
5043490300,1
5071952000,1
5125010103,1
5119003304,1
5065960100,1
5051010900,1
5061950100,1
5007020603,1
5021950600,1
5139950200,1
5069000302,1
5045030501,1
5119002203,1
5091020701,1
5007020606,1
5033020502,1
5091020500,1
5047950100,1
5097953000,1
5075470200,1
5111490400,1
5131001304,1
5107480400,1
5145070402,1
5145070401,1
5119002500,1
5143010105,1
5143010102,1
5115950900,1
5033020203,1
5035030302,1
5127950100,1
5013480200,1
5119004400,1
5119004221,1
5119004218,1
5125010404,1
5093010800,1
5045030302,1
5035030600,1
5023480202,1
5017080200,1
5101180100,1
5007021001,1
5007020402,1
5121960302,1
5119004213,1
5089960300,1
5119004007,1
5119004004,1
5007021408,1
5007021406,1
5005950300,1
5067480400,1
5083950500,1
5119000200,1
5051011500,1
5031000502,1
5111490100,1
5103950600,1
5035030301,1
5009790501,1
5119004900,1
5037950300,1
5059020300,1
5107480100,1
5119002104,1
5093010100,1
5149952500,1
5069001600,1
5005950900,1
5147490200,1
5131000700,1
5145070600,1
