id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US05001480100,,"Census Tract 4801, Arkansas County, Arkansas",0,0,0,2,23,3,0,0,16,12,0,0,48,0,0,4,19,0,0,0,0,2,6,6,11,105,10,0,2,19,0,0,0,0,24,42,0,8,79,9.72,95.28,25,209,"For Arkansas, <147% of FPL as Medicaid, ",
1400000US05001480200,,"Census Tract 4802, Arkansas County, Arkansas",0,0,4,0,2,0,5,0,24,20,0,14,61,0,0,0,0,0,0,0,16,12,17,11,5,83,3,0,0,0,1,0,11,6,36,3,16,7,10,49.52,100.48,53,213,"147-216% as CHIP, 216-400% as w/out financial access, and >400% as private financial access",
1400000US05001480300,,"Census Tract 4803, Arkansas County, Arkansas",50,59,17,0,28,46,0,0,0,0,11,83,271,9,11,18,0,71,46,0,0,10,23,35,48,67,0,0,0,0,0,0,0,0,46,11,0,10,263,100.96,81.04,187,632,,
1400000US05001480400,,"Census Tract 4804, Arkansas County, Arkansas",73,0,15,0,16,0,0,5,60,0,0,0,233,80,0,23,32,39,0,38,0,21,0,0,0,166,32,28,47,0,9,0,0,14,24,7,5,0,394,73.8,95.2,5,568,,population
1400000US05001480500,,"Census Tract 4805, Arkansas County, Arkansas",0,66,0,68,24,50,23,10,48,24,59,5,288,0,23,14,39,6,56,25,0,63,15,8,39,317,35,0,15,28,0,0,32,0,72,11,104,20,318,225.28,203.72,235,982,,693376
1400000US05001480600,,"Census Tract 4806, Arkansas County, Arkansas",12,0,0,0,16,0,0,0,12,61,13,8,41,0,0,19,0,7,0,5,6,0,0,0,4,123,0,0,0,0,8,0,5,0,13,37,23,37,62,20,119,85,286,,
1400000US05001480700,,"Census Tract 4807, Arkansas County, Arkansas",50,0,96,46,15,0,0,5,60,13,0,0,233,27,0,108,28,0,0,0,31,39,0,0,0,315,23,0,7,103,0,39,0,76,43,24,0,0,503,173.72,156.28,0,833,,
1400000US05001480800,,"Census Tract 4808, Arkansas County, Arkansas",0,0,13,24,0,8,0,15,24,0,16,6,130,0,0,22,18,8,12,0,9,24,9,18,10,95,6,6,11,11,2,6,0,7,29,3,11,3,121,69.32,76.68,64,331,,
1400000US05003960100,,"Census Tract 9601, Ashley County, Arkansas",87,0,19,4,1,1,7,0,14,11,0,4,117,43,0,19,14,3,0,0,0,18,10,0,10,96,4,0,9,24,6,9,0,0,10,10,17,7,233,23.72,66.28,38,361,,
1400000US05003960200,,"Census Tract 9602, Ashley County, Arkansas",0,0,0,0,47,23,0,0,11,66,0,29,91,0,0,0,0,0,0,0,0,18,45,18,10,270,9,0,0,2,0,0,0,0,28,65,166,0,58,32.12,223.88,223,537,,
1400000US05003960300,,"Census Tract 9603, Ashley County, Arkansas",45,10,9,56,54,60,0,26,17,3,12,0,518,60,33,90,6,104,0,0,0,122,26,48,29,352,59,21,9,24,11,15,0,48,14,54,39,58,591,173.48,211.52,186,1162,,
1400000US05003960400,,"Census Tract 9604, Ashley County, Arkansas",21,21,0,15,103,0,0,46,9,0,6,10,56,0,16,0,0,0,0,0,16,0,0,0,24,57,5,7,0,7,0,0,0,17,0,0,16,5,195,80.44,7.56,61,344,,
1400000US05003960500,,"Census Tract 9605, Ashley County, Arkansas",0,0,0,0,26,23,0,0,10,34,10,0,245,5,0,19,0,0,11,0,0,135,75,0,0,151,8,16,50,0,0,12,0,0,36,0,0,29,124,74.96,261.04,39,499,,
1400000US05003960600,,"Census Tract 9606, Ashley County, Arkansas",0,24,0,160,77,0,0,0,74,0,0,0,704,56,34,149,232,0,0,0,0,173,0,0,60,336,48,68,167,0,0,12,0,0,13,28,0,0,1015,53.6,246.4,60,1375,,
