idx,IKN_addr,general,hygienist,pediatric,specialist,X,Y,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
0,"0020 EAGLE COUNTY RD,EL JEBEL,CO,81623-9124",0.375,0.0,0.0,0.0,39.39293875,-107.09185659999999,1,0,0.75,0.0
1,"10 RUPERT ST,MONTE VISTA,CO,81144-1042",0.0,0.0,0.0,1.0,37.582119,-106.16140929999999,1,0,0.0,0.0
2,"100 ACOMA ST,DENVER,CO,80223-1464",2.0,0.0,0.0,0.0,39.71865544,-104.98913629999998,1,0,4.0,0.0
3,"100 N 11TH AVE,GREELEY,CO,80631-2011",0.65,1.311111111111111,0.4,0.0,40.43428205,-104.6965979,1,0,1.3,0.8
4,"100 PARK AVE,STEAMBOAT SPRINGS,CO,80487-5012",0.0,0.0,0.0,0.3333333333333333,40.491460499999995,-106.82621999999999,1,0,0.0,0.0
5,"100 S 2ND CT,BATTLEMENT MESA,CO,81635-9610",0.125,0.0,0.0,0.0,39.44820262,-108.05134740000001,1,0,0.25,0.0
6,"100 S MAIN ST,KEENESBURG,CO,80643",0.0,1.0,0.0,0.0,40.10784325,-104.5198276,1,0,0.0,0.0
7,"100 TESSITORE CT UNIT C,MONTROSE,CO,81401-5689",1.0,0.0,0.3333333333333333,0.0,38.4867504,-107.86469299999999,1,0,2.0,0.6666666666666666
8,"1000 W 4TH ST,LEADVILLE,CO,80461-3800",1.3745421245421243,0.5714285714285714,0.0,0.16666666666666666,39.24394065,-106.3039581,1,0,2.7490842490842486,0.0
9,"1000 W 6TH ST STE V,PUEBLO,CO,81003-2378",1.0,0.0,0.0,0.0,38.27182163,-104.6203551,1,0,2.0,0.0
10,"10005 GRANT ST UNIT D,THORNTON,CO,80229-2033",1.0178571428571428,0.0,0.0,0.25,39.8784651,-104.98387050000001,1,0,2.0357142857142856,0.0
11,"1001 CENTRE AVE,FORT COLLINS,CO,80526-6047",2.0,0.0,0.0,0.0,40.55543951,-105.0949209,1,0,4.0,0.0
12,"1001 E JOHNSON ST,HOLYOKE,CO,80734-1854",0.0,1.0,0.0,0.0,40.57845748,-102.289644,1,0,0.0,0.0
13,"1001 YOSEMITE ST,DENVER,CO,80230-6003",2.460725385725386,0.0,0.3083333333333333,0.6988455988455988,39.73015214,-104.88548279999999,1,0,4.921450771450772,0.6166666666666666
15,"1005 W 120TH AVE STE 800,WESTMINSTER,CO,80234-2747",2.4166666666666665,0.0,0.0,0.0,39.91413851,-104.99946100000001,1,0,4.833333333333333,0.0
16,"1006 A ST,GREELEY,CO,80631-2021",3.7083333333333335,1.6444444444444444,0.4,0.0,40.43505453,-104.6955144,1,0,7.416666666666667,0.8
18,"101 E BISON HWY STE A,HUDSON,CO,80642-5029",2.5000000000000004,0.0,0.0,0.0,40.073244,-104.6405105,1,0,5.000000000000001,0.0
19,"101 E MAIN ST,FRISCO,CO,80443",0.5,0.0,0.0,0.0,39.57541429,-106.1012586,1,0,1.0,0.0
20,"101 FAWCETT RD,AVON,CO,81620",2.0,0.0,0.0,0.0,39.62700824,-106.5020112,1,0,4.0,0.0
21,"101 HAMILTON CREEK RD,SILVERTHORNE,CO,80498",1.0412087912087908,0.5714285714285714,0.0,0.0,39.65963576,-106.08336979999999,1,0,2.0824175824175817,0.0
23,"101 S MAPLE ST STE B,CORTEZ,CO,81321-3562",1.1666666666666663,0.0,0.0,0.0,37.34726363,-108.59038500000001,1,0,2.3333333333333326,0.0
24,"101 S MAPLE ST,CORTEZ,CO,81321-3562",0.0,0.0,0.0,1.0,37.34726363,-108.59038500000001,1,0,0.0,0.0
25,"101 S MESA AVE,MONTROSE,CO,81401-3943",0.3333333333333333,0.0,0.0,0.0,38.48076126,-107.87245039999999,1,0,0.6666666666666666,0.0
26,"101 W HAMPDEN AVE UNIT A,ENGLEWOOD,CO,80110-2475",4.25,0.0,0.0,0.5833333333333334,39.65302168,-104.98995149999999,1,0,8.5,0.0
28,"10101 E HAMPDEN AVE STE 100,DENVER,CO,80231-4948",0.5,0.0,0.0,0.0,39.653113299999994,-104.86988600000001,1,0,1.0,0.0
29,"1012 BELMONT AVE,LA JUNTA,CO,81050-2101",0.7,0.0,0.0,0.0,37.97970553,-103.5555619,1,0,1.4,0.0
30,"10120 E DRY CREEK RD STE 100,CENTENNIAL,CO,80112-2772",0.0,0.0,0.0,0.6666666666666666,39.58035755,-104.8720696,1,0,0.0,0.0
31,"1013 S FEDERAL BLVD,DENVER,CO,80219-4101",1.0,0.0,0.0,0.0,39.698127,-105.02512820000001,1,0,2.0,0.0
32,"10146 W SAN JUAN WAY UNIT 210,LITTLETON,CO,80127-6326",0.0,0.0,0.0,0.6666666666666666,39.56397172,-105.11217690000001,1,0,0.0,0.0
33,"10146 W SAN JUAN WAY UNIT 220,LITTLETON,CO,80127-6326",0.0,0.0,0.8333333333333333,0.0,39.56397172,-105.11217690000001,1,0,0.0,1.6666666666666665
