County_Name,Count
Jefferson County,482
El Paso County,471
Arapahoe County,406
Douglas County,375
Denver County,340
Larimer County,275
Adams County,251
Boulder County,182
Weld County,178
Pueblo County,139
Mesa County,112
Broomfield County,68
La Plata County,45
Eagle County,38
Garfield County,34
Montrose County,34
Rio Blanco County,31
Summit County,26
Elbert County,24
Fremont County,23
Teller County,22
Moffat County,21
Routt County,19
Park County,16
Montezuma County,15
Delta County,14
Archuleta County,14
Chaffee County,14
Morgan County,13
Pitkin County,12
Gunnison County,11
Logan County,10
Prowers County,7
Grand County,7
Rio Grande County,7
San Miguel County,7
Clear Creek County,7
Kit Carson County,7
Ouray County,6
Las Animas County,6
Alamosa County,6
Otero County,6
Lake County,5
Yuma County,5
Gilpin County,3
Baca County,3
Custer County,3
Crowley County,2
Dolores County,2
Costilla County,2
Jackson County,1
Lincoln County,1
Phillips County,1
Bent County,1
