State_FIPS_Code,State,County,State_County_Tract_FIPS_Code,Primary_RUCA_Code,Secondary_RUCA_Code,Tract_Population,Land_Area,Population_Density
8001,CO,Adams County,8001007801,1,1.0,3732,0.24770230595663,15066.472577
8001,CO,Adams County,8001007802,1,1.0,3758,0.246092259886918,15270.69564
8001,CO,Adams County,8001007900,1,1.0,5555,0.642614174274167,8644.3782636
8001,CO,Adams County,8001008000,1,1.0,5742,0.770864575434326,7448.7791799
8001,CO,Adams County,8001008100,1,1.0,854,1.04025539886671,820.95224012
8001,CO,Adams County,8001008200,1,1.0,5484,1.68430085390357,3255.9503769
8001,CO,Adams County,8001008308,1,1.0,5557,1.69416730888328,3280.077458
8001,CO,Adams County,8001008309,1,1.0,3254,4.69231479064768,693.47436078
8001,CO,Adams County,8001008353,1,1.0,6044,43.3003743646689,139.5830888
8001,CO,Adams County,8001008401,2,2.0,4315,192.580177977659,22.406252011
8001,CO,Adams County,8001008402,2,2.0,4352,670.307613394348,6.4925415034
8001,CO,Adams County,8001008505,1,1.0,6655,1.18067226566301,5636.6192326
8001,CO,Adams County,8001008506,1,1.0,5383,0.647580220448898,8312.4836584
8001,CO,Adams County,8001008507,1,1.0,6099,1.00948653043952,6041.6853679
8001,CO,Adams County,8001008508,1,1.0,5342,0.973582889187131,5486.949349
8001,CO,Adams County,8001008523,1,1.0,7586,74.964569333912,101.19447183
8001,CO,Adams County,8001008524,1,1.0,7814,1.92466914904625,4059.91856
8001,CO,Adams County,8001008526,1,1.0,6742,2.79554190984669,2411.6969866
8001,CO,Adams County,8001008529,1,1.0,7446,2.34750238225042,3171.8817652
8001,CO,Adams County,8001008533,1,1.0,7650,1.29461256191148,5909.103793
8001,CO,Adams County,8001008534,1,1.0,4283,0.903531213272031,4740.2900277
8001,CO,Adams County,8001008535,1,1.0,3298,5.84780045312951,563.97273239
8001,CO,Adams County,8001008536,1,1.0,2443,2.80493423135551,870.96516299
8001,CO,Adams County,8001008537,1,1.0,6047,4.62204496700371,1308.2953635
8001,CO,Adams County,8001008538,1,1.0,5305,4.43843523599337,1195.2410518
8001,CO,Adams County,8001008539,1,1.0,8437,4.78425305445431,1763.4936748
8001,CO,Adams County,8001008540,1,1.0,6408,5.05487091059881,1267.6881593
8001,CO,Adams County,8001008541,1,1.0,4277,14.0245414264468,304.96540813
8001,CO,Adams County,8001008542,1,1.0,7036,3.72824738956319,1887.2138205
8001,CO,Adams County,8001008543,1,1.0,6935,2.68414177980747,2583.6936231
8001,CO,Adams County,8001008544,1,1.0,4181,1.00710428001983,4151.5065351
8001,CO,Adams County,8001008545,1,1.0,6769,1.20488164423928,5617.9791869
8001,CO,Adams County,8001008546,1,1.0,2912,0.507352543718349,5739.5986993
8001,CO,Adams County,8001008547,1,1.0,3525,0.45982606869221,7665.9420594
8001,CO,Adams County,8001008548,1,1.0,1499,0.481105703964652,3115.7394054
