idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 CENTURIAN DR STE 213,NEWARK,DE,19713-2127",2.0,0.0,0.0,39.69613161,-75.65632661,1,1
1,"1001 S BRADFORD ST STE 2,DOVER,DE,19904-4153",0.0,0.0,0.65,39.14692101,-75.52396678,1,1
2,"1004 S STATE ST STE 1,DOVER,DE,19901-6925",1.0,0.0,0.7,39.14370911,-75.52281038,1,1
3,"1004 S STATE ST STE 3,DOVER,DE,19901-6925",0.0,0.0,1.0,39.14370911,-75.52281038,1,1
4,"102 SLEEPY HOLLOW DR STE 1,MIDDLETOWN,DE,19709-5841",1.0,0.0,0.0,39.45331458,-75.73539894,1,1
5,"102 SLEEPY HOLLOW DR,MIDDLETOWN,DE,19709-5841",1.0,0.0,0.0,39.45331458,-75.73539894,1,1
6,"1020 FORREST AVE,DOVER,DE,19904-2799",1.2,0.0,0.0,39.15880953,-75.54407116,1,1
7,"1021 GILPIN AVE,WILMINGTON,DE,19806-3270",2.0,0.0,0.0,39.75276247,-75.55500186,1,1
8,"10250 STONE CREEK DR UNIT 1,LAUREL,DE,19956-4707",1.0,0.0,0.0,38.5916304,-75.57405578,1,1
9,"104 SLEEPY HOLLOW DR,MIDDLETOWN,DE,19709-5842",0.0,0.0,0.5,39.45349637,-75.73461764,1,1
10,"106 SAINT ANNES CHURCH RD,MIDDLETOWN,DE,19709-1495",2.0,0.0,0.0,39.43500187,-75.71306645,1,1
11,"1084 S STATE ST,DOVER,DE,19901-6925",1.5,0.0,0.0,39.14193484,-75.522896,1,1
12,"1095 S BRADFORD ST,DOVER,DE,19904-4141",0.5,0.0,0.0,39.14393368,-75.52416665,1,1
13,"1104 N BROOM ST,WILMINGTON,DE,19806",1.0,0.0,0.0,39.75266562,-75.56142336,1,1
14,"1106 PULASKI HWY,BEAR,DE,19701",1.1666666666666663,0.0,0.0,39.63215196,-75.66089495,1,1
15,"1106 PULASKI HWY,BEAR,DE,19701-1332",0.5,0.0,0.0,39.63215196,-75.66089495,1,1
16,"1110 N BANCROFT PKWY,WILMINGTON,DE,19805-2669",0.0,0.0,1.0,39.75630781,-75.57081772,1,1
17,"1113 S STATE ST STE 201,DOVER,DE,19901-4112",0.5,0.0,0.0,39.145383,-75.52260656,1,1
18,"1113 S STATE ST,DOVER,DE,19901-4112",0.5,0.0,0.0,39.145383,-75.52260656,1,1
19,"112 SAINT ANNES CHURCH RD,MIDDLETOWN,DE,19709-1495",0.0,0.0,0.5,39.43453391,-75.71387649,1,1
20,"1127 VALLEY RD STE 203,HOCKESSIN,DE,19707-8514",1.0,0.0,0.0,39.79068994,-75.69866267,1,1
21,"114 SAINT ANNES CHURCH RD,MIDDLETOWN,DE,19709-1495",0.0,0.0,0.25,39.43486508,-75.71321841,1,1
22,"117 BARKSDALE PROFESSIONAL CTR,NEWARK,DE,19711-3258",1.0,0.0,0.0,39.67868895,-75.76606182,1,1
23,"12 POLLY DRUMMOND HILL RD,NEWARK,DE,19711-5703",1.0,0.0,0.0,39.69861724,-75.70937802,1,1
24,"1200 PEOPLES PLZ STE 1260,NEWARK,DE,19702-5701",1.45,0.0,0.0,39.60342548,-75.75067047,1,1
25,"1202 FOULK RD STE A,WILMINGTON,DE,19803-2796",0.0,0.0,0.5,39.79458325,-75.52787016,1,1
26,"1202 FOULK RD,WILMINGTON,DE,19803-2796",0.0,0.0,0.5,39.79458325,-75.52787016,1,1
27,"1211 MILLTOWN RD,WILMINGTON,DE,19808-3003",1.0,0.0,0.0,39.73198392,-75.66325122,1,1
28,"122 SANDHILL DR STE 101,MIDDLETOWN,DE,19709-5861",1.5,0.0,0.0,39.45123402,-75.73193237,1,1
29,"1229 QUINTILIO DR,BEAR,DE,19701-6005",1.0,0.0,0.0,39.63049725,-75.66541732,1,1
30,"125 GREENTREE DR STE 1,DOVER,DE,19904-7656",0.5,0.0,0.0,39.16092551,-75.55560347,1,1
31,"125 GREENTREE DR,DOVER,DE,19904",0.5,0.0,0.0,39.16092551,-75.55560347,1,1
32,"1250 S GOVERNORS AVE,DOVER,DE,19904-4802",1.0,0.0,0.0,39.1364401,-75.52859818,1,1
33,"126 W FRONT ST,FREDERICA,DE,19946-2083",0.0,0.0,0.5,39.00756306,-75.47303344,1,1
34,"1260 PEOPLES PLZ,NEWARK,DE,19702",1.1666666666666663,0.0,0.0,39.60332213,-75.75062077,1,1
35,"129 S WEST ST,WILMINGTON,DE,19801-5014",2.0,0.0,0.0,39.73786083,-75.55705970000002,1,1
36,"1290 PEOPLES PLZ,NEWARK,DE,19702",1.0,0.0,0.0,39.60321706,-75.75059193,1,1
