,State_County_Tract_FIPS_Code
10003001300,17
10003011500,11
10003013613,8
10001041000,8
10003013503,7
10003013610,7
10003014100,7
10003016602,6
10005051103,6
10003011205,6
10001042100,5
10003011800,4
10003014808,4
10005051004,4
10001041801,3
10005050103,3
10001040203,3
10003014809,3
10001043300,3
10003016305,3
10001042800,2
10005050104,2
10003011100,2
10003010104,2
10003011300,2
10003013604,2
10003013612,2
10005050501,1
10003014200,1
10001041400,1
10001040201,1
10003014702,1
10005050405,1
10001042202,1
10003001100,1
10005051202,1
10003001902,1
10005050503,1
10005051500,1
10003011700,1
10003014805,1
10003016601,1
10003001500,1
10005051301,1
10005051305,1
10003013800,1
10005050602,1
10005050802,1
10001041600,1
10003014404,1
