,State_County_Tract_FIPS_Code
10003014805,28
10001041300,19
10003013604,17
10003011600,14
10003001300,14
10003002800,13
10003013612,13
10003013800,10
10003016601,10
10001041400,10
10003011400,9
10003001902,8
10003013607,8
10003002300,8
10003001100,7
10003013200,7
10003002700,7
10005050406,7
10005051003,7
10003013503,6
10005050501,6
10003011300,5
10005050405,5
10001043300,5
10001040201,5
10005050104,5
10003014403,4
10003016801,4
10003014000,4
10003016301,4
10001043400,4
10003011100,4
10005050902,4
10001040202,4
10003001200,4
10005050602,3
10003010800,3
10003013614,3
10001041701,3
10005051004,3
10003011500,3
10003011700,3
10003010702,2
10005051301,2
10003011204,2
10005050503,2
10003011205,2
10003016604,2
10001040700,2
10001041600,2
10003013505,2
10003013904,2
10003013400,2
10003014702,2
10003015100,2
10003002900,1
10003014200,1
10001041500,1
10003013700,1
10003000400,1
10003014705,1
10003014703,1
10003012700,1
10003014100,1
10005050803,1
10003015400,1
10005051500,1
10003001600,1
10003010104,1
10003000200,1
10003014502,1
10005051701,1
10001041200,1
10003000602,1
10003010300,1
10005051007,1
10003014906,1
10003001500,1
10003014808,1
10003013610,1
10003011206,1
10005051006,1
10003014909,1
