id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US10001040100,,"Census Tract 401, Kent County, Delaware",0,19,4,0,0,0,0,0,76,81,73,52,602,103,19,0,0,41,69,0,0,33,144,49,144,785,95,19,0,0,132,93,2,0,96,203,106,39,345.5,285.35,598.15,463,1692,199681
1400000US10001040201,,"Census Tract 402.01, Kent County, Delaware",11,5,14,14,5,30,0,0,96,13,70,34,452,100,27,14,26,9,10,25,0,96,14,60,71,423,94,15,13,12,6,0,21,12,90,26,84,50,355,155.94,287.06,369,1167,
1400000US10001040202,,"Census Tract 402.02, Kent County, Delaware",0,0,0,25,0,0,0,0,437,68,125,322,1205,0,7,17,24,211,13,126,0,499,69,126,113,1747,0,0,17,265,171,24,322,0,300,104,140,404,546,886.12,1266.88,1230,3929,
1400000US10001040203,,"Census Tract 402.03, Kent County, Delaware",16,82,0,78,0,0,0,0,111,51,58,0,607,0,51,28,96,0,169,30,0,134,81,18,0,383,49,30,19,79,0,64,0,0,24,103,15,0,528,308.73,458.27,91,1386,
1400000US10001040501,,"Census Tract 405.01, Kent County, Delaware",0,0,23,0,0,123,0,0,0,8,0,48,172,0,11,37,0,0,0,0,0,79,45,0,0,456,10,0,155,35,21,0,0,0,107,96,11,21,281.5,165.12,303.38,80,830,
1400000US10001040502,,"Census Tract 405.02, Kent County, Delaware",0,85,20,18,12,33,0,0,9,0,11,17,200,20,0,34,0,25,15,0,0,10,46,32,18,133,10,0,28,0,27,0,0,0,21,5,8,34,247,86.8,84.2,120,538,
1400000US10001040700,,"Census Tract 407, Kent County, Delaware",40,64,13,0,0,32,0,0,40,48,99,25,187,101,0,13,0,0,0,0,0,3,0,0,70,365,83,138,0,0,0,0,0,0,33,17,36,58,452,44.92,128.08,288,913,
1400000US10001040900,,"Census Tract 409, Kent County, Delaware",0,0,0,0,0,0,0,19,0,18,26,59,89,0,0,0,0,0,0,0,0,0,15,26,48,10,0,0,0,0,0,0,0,0,0,0,0,10,0,19,33,169,221,
1400000US10001041000,,"Census Tract 410, Kent County, Delaware",42,35,0,164,7,31,59,0,60,67,0,2,618,151,50,0,349,0,14,1,0,0,1,0,52,456,177,0,0,28,0,17,1,103,35,18,39,38,999.5,245.65,164.85,131,1541,
1400000US10001041100,,"Census Tract 411, Kent County, Delaware",9,23,77,158,32,116,0,13,87,29,36,21,331,48,0,36,18,5,62,10,0,79,0,39,34,244,0,17,0,0,0,17,0,10,89,32,49,30,404.5,289.85,272.65,209,1176,
1400000US10001041200,,"Census Tract 412, Kent County, Delaware",27,92,16,96,0,15,15,3,119,38,30,55,349,23,68,16,0,40,0,0,0,13,91,0,98,485,9,27,31,0,106,0,0,0,60,15,92,145,478,138.64,303.36,420,1340,
1400000US10001041300,,"Census Tract 413, Kent County, Delaware",98,0,75,24,14,35,0,0,0,0,0,0,140,57,0,7,27,7,0,0,0,36,0,6,0,95,32,14,0,11,8,0,0,0,13,0,17,0,359.5,57.83,40.67,23,481,
1400000US10001041400,,"Census Tract 414, Kent County, Delaware",0,175,0,0,39,0,0,0,29,38,100,38,143,9,26,0,0,27,11,0,0,6,42,22,0,238,15,0,0,6,21,0,0,0,56,56,9,75,274.5,69.97,211.53,244,800,
1400000US10001041500,,"Census Tract 415, Kent County, Delaware",0,150,154,109,0,35,31,9,59,39,39,10,356,44,13,102,45,0,12,0,0,42,49,49,0,336,6,0,51,9,0,44,0,9,128,38,39,12,683,178.93,316.07,149,1327,
1400000US10001041600,,"Census Tract 416, Kent County, Delaware",0,0,88,10,16,6,18,0,6,8,21,8,89,0,0,6,10,6,8,0,0,28,5,8,18,155,20,0,46,0,23,0,21,0,9,0,19,17,202.5,82.81,48.69,91,425,
1400000US10001041701,,"Census Tract 417.01, Kent County, Delaware",0,0,0,0,8,7,8,0,99,148,91,50,399,53,0,0,146,10,0,7,0,48,60,75,0,447,21,0,0,0,123,0,7,13,97,100,35,51,290.5,153.98,510.52,302,1257,
1400000US10001041702,,"Census Tract 417.02, Kent County, Delaware",106,0,29,0,7,0,0,20,0,14,51,32,441,45,6,0,0,2,0,0,122,90,96,65,15,396,49,6,0,0,0,0,0,70,110,31,72,58,245.5,250.5,307,293,1096,
1400000US10001041801,,"Census Tract 418.01, Kent County, Delaware",19,83,2,8,152,8,6,92,44,9,40,115,481,39,33,2,45,13,3,8,0,221,38,4,75,859,115,22,31,10,20,26,2,13,215,81,116,208,501.5,332.1,526.4,558,1918,
1400000US10001041802,,"Census Tract 418.02, Kent County, Delaware",0,171,58,36,7,18,0,14,36,130,0,29,346,0,27,55,0,0,0,0,49,69,14,57,75,563,138,13,0,0,0,14,0,34,80,50,116,118,501.5,163.95,347.55,395,1408,
1400000US10001041900,,"Census Tract 419, Kent County, Delaware",42,9,0,26,13,60,0,0,74,62,0,8,318,7,24,4,0,51,88,0,0,101,19,0,24,371,59,0,0,0,36,49,0,0,46,102,25,54,221,284.57,366.43,111,983,
