idx,BOD_addr,general,hygienist,pediatric,specialist,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
0,"#3 Wilmington Village Way, Savannah GA  31410",1.0,0.0,0.0,0.0,0,0,2.0,0.0
1,"#7 Longleaf Office Park, Moultrie GA  31768",1.0,0.0,0.0,0.0,0,0,2.0,0.0
2,"1 Freedom Way(233U), Augusta GA  30904",0.0,0.0,0.0,1.0,0,0,0.0,0.0
3,"1 Hospital Park, Moultrie GA  31768",2.0,0.0,0.0,0.0,0,0,4.0,0.0
4,"1 Mall Terrace, -, Savannah GA  31406",1.0,0.0,0.0,0.0,0,0,2.0,0.0
5,"1 Mall Terrace, Savannah GA  31406",1.0,0.0,0.0,0.0,0,0,2.0,0.0
6,"1 Shady Oak Lane, Savannah GA  31411",1.0,0.0,0.0,0.0,0,0,2.0,0.0
7,"1 Wanborough Station, Pooler GA  31322",1.0,0.0,0.0,0.0,0,0,2.0,0.0
8,"1 Willeford Dr, Savannah GA  31411",0.0,0.0,0.0,1.0,0,0,0.0,0.0
9,"1 Wymberley Point Rd., Savannah GA  31406",1.0,0.0,0.0,0.0,0,0,2.0,0.0
10,"10 10th Street NW, Ste 100, Atlanta GA  30309",3.0,0.0,0.0,0.0,0,0,6.0,0.0
11,"10 Deer Trail Crossing, Blairsville GA  30512",1.0,0.0,0.0,0.0,0,0,2.0,0.0
12,"10 Legacy Way Suite C, Adairsville GA  30103",0.0,0.0,0.0,1.0,0,0,0.0,0.0
13,"10 Park Place, Atlanta GA  30303",1.0,0.0,0.0,0.0,0,0,2.0,0.0
14,"10 Tenth Street, SUITE 100, ATLANTA GA  30309",3.0,0.0,0.0,0.0,0,0,6.0,0.0
15,"10 Tenth Street, Ste 100, Atlanta GA  30309",1.0,0.0,0.0,0.0,0,0,2.0,0.0
16,"100 College St, Hogansville GA  30230",1.0,0.0,0.0,0.0,0,0,2.0,0.0
17,"100 Courtyard Dr, Cartersville GA  30120",2.0,0.0,0.0,0.0,0,0,4.0,0.0
18,"100 Courtyard Drive, Cartersville GA  30120",1.0,0.0,0.0,0.0,0,0,2.0,0.0
19,"100 Dacula Road, Dacula GA  30019",1.0,0.0,0.0,0.0,0,0,2.0,0.0
20,"100 Galleria Parkway Ste 670, Atlanta GA  30339",1.0,0.0,0.0,0.0,0,0,2.0,0.0
21,"100 Galleria Parkway Ste 670, Suite 240, Atlanta GA  30339",1.0,0.0,0.0,0.0,0,0,2.0,0.0
22,"100 Galleria Pkwy SE, Suite 250, Atlanta GA  30339",0.0,0.0,0.0,1.0,0,0,0.0,0.0
23,"100 Howard Lane, Fayetteville GA  30215",2.0,0.0,0.0,0.0,0,0,4.0,0.0
