idx,IKN_addr,general,hygienist,pediatric,specialist,X,Y,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
0,"1 BALTIMORE PL NW,ATLANTA,GA,30308-2116",0.16666666666666666,0.0,0.0,0.0,-84.38799251,33.76825647,0,1,0.3333333333333333,0.0
1,"10 10TH ST NE STE 100,ATLANTA,GA,30309-3835",0.05263157894736842,0.0,0.0,0.0,-84.38731306,33.78154506,0,1,0.10526315789473684,0.0
2,"10 10TH ST NE,ATLANTA,GA,30309-3848",0.25263157894736843,0.0,0.0,0.0,-84.38731306,33.78154506,0,1,0.5052631578947369,0.0
3,"10 HUNTINGTON RD STE A2,ATHENS,GA,30606-7431",0.06666666666666668,0.0,0.0,0.0,-83.46697538,33.93625745,0,1,0.13333333333333336,0.0
4,"10 HUNTINGTON RD,ATHENS,GA,30606-3187",0.06666666666666668,0.0,0.0,0.0,-83.46697538,33.93625745,0,1,0.13333333333333336,0.0
5,"100 CARNEGIE PL,FAYETTEVILLE,GA,30214-3905",0.0,0.0,0.0,0.25,-84.42905532,33.50950522,0,1,0.0,0.0
6,"100 DAWSON COMMONS CIR STE 110,DAWSONVILLE,GA,30534-6264",1.5576210057360689,0.0,1.2701390464823048,0.0,-84.06415985,34.33641046,0,1,3.1152420114721378,2.5402780929646096
7,"100 DAWSON COMMONS CIR STE 140,DAWSONVILLE,GA,30534-6264",0.0,0.0,0.0,0.5,-84.06415985,34.33641046,0,1,0.0,0.0
8,"100 DAWSON COMMONS CIR,DAWSONVILLE,GA,30534-6264",0.33918726337251043,0.0,0.3332460693434914,0.0,-84.06415985,34.33641046,0,1,0.6783745267450209,0.6664921386869828
9,"100 W CHASON ST,DONALSONVILLE,GA,39845-1284",1.0,0.0,0.0,0.5,-84.88058617,31.04785348,0,1,2.0,0.0
10,"100 W WALNUT AVE STE 142,DALTON,GA,30720-8440",0.75,0.0,0.0,0.0,-84.96912274,34.7615245,0,1,1.5,0.0
11,"100 W WALNUT AVE,DALTON,GA,30720-8402",0.25,0.0,0.0,0.0,-84.96912274,34.7615245,0,1,0.5,0.0
12,"100 WRIGHT CT NE,CALHOUN,GA,30701-4779",0.0,0.0,0.0,0.5833333333333333,-84.90060349,34.506375,0,1,0.0,0.0
13,"100 WRIGHT CT NE,CALHOUN,GA,30701-4779",0.0,0.0,0.0,0.5833333333333333,-84.90047299,34.506501,0,1,0.0,0.0
14,"1000 MAIN ST STE F,STONE MOUNTAIN,GA,30083-2978",1.0,0.0,0.0,0.0,-84.17085429999999,33.80941603,0,1,2.0,0.0
15,"1001 JOHNSON FERRY RD,ATLANTA,GA,30342-1605",1.102543334801399,0.0,1.975021443984292,0.6833333333333332,-84.35400987,33.90786051,0,1,2.205086669602798,3.950042887968584
16,"1002 POINTE SOUTH PKWY,JONESBORO,GA,30238-4324",3.125,0.0,0.0,0.0,-84.4228658,33.52160983,0,1,6.25,0.0
17,"1003 PLAZA AVE,EASTMAN,GA,31023-9102",1.0,0.0,0.0,0.0,-83.17743419,32.18365218,0,1,2.0,0.0
18,"1004 NEWNAN RD,CARROLLTON,GA,30116-6428",0.2159090909090909,0.0,0.0,0.0,-85.04658483,33.56725738,0,1,0.4318181818181818,0.0
19,"1007 E BARNARD ST,GLENNVILLE,GA,30427-2603",0.5,0.0,0.0,0.0,-81.91078452,31.92921328,0,1,1.0,0.0
