id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US13001950100,,"Census Tract 9501, Appling County, Georgia",0,84,0,0,14,0,0,0,54,0,12,8,190,11,28,0,0,7,0,14,0,65,53,0,12,319,8,55,0,11,39,0,25,0,69,47,30,35,227,163,194,97,681,"For Georgia, <138% of FPL as Medicaid, ",
1400000US13001950200,,"Census Tract 9502, Appling County, Georgia",19,0,12,63,17,0,23,15,90,0,8,0,311,0,54,0,51,32,0,79,12,75,8,0,0,302,0,30,0,126,0,72,0,0,19,0,9,46,379.5,317.5,100,63,860,"# 138-252% as CHIP, 252-400% as w/out financial access, and >400% as private financial access",
1400000US13001950300,,"Census Tract 9503, Appling County, Georgia",231,103,45,78,69,0,0,32,27,11,0,32,653,117,66,16,144,69,9,42,41,21,110,18,0,333,90,18,0,11,17,8,52,33,42,20,23,19,996.5,339.5,186,92,1614,,
1400000US13001950400,,"Census Tract 9504, Appling County, Georgia",27,0,5,0,0,0,0,0,22,6,0,0,211,34,0,8,19,0,0,0,2,62,60,13,13,114,20,0,6,12,0,3,0,0,11,30,14,18,131,52.5,143.5,58,385,,population
1400000US13001950500,,"Census Tract 9505, Appling County, Georgia",71,66,22,29,28,0,0,14,41,21,0,16,410,77,73,10,108,34,20,0,12,32,2,0,42,321,19,41,6,0,55,5,0,0,162,2,0,31,580.5,227,142.5,89,1039,,2464981
1400000US13003960100,,"Census Tract 9601, Atkinson County, Georgia",13,27,18,8,0,0,2,0,4,21,6,0,184,11,51,59,31,10,5,5,0,2,10,0,0,227,20,13,66,42,28,9,11,0,12,20,0,6,378,60,60,12,510,,
1400000US13003960200,,"Census Tract 9602, Atkinson County, Georgia",133,23,47,34,104,11,0,20,62,23,7,0,439,130,125,21,36,38,10,0,15,57,0,7,0,347,65,55,7,81,0,0,6,10,65,23,12,23,828,235,138,49,1250,,
1400000US13003960300,,"Census Tract 9603, Atkinson County, Georgia",28,19,0,0,4,0,0,0,6,28,0,0,220,24,65,54,19,0,11,0,0,25,22,0,0,177,32,28,12,29,0,5,11,0,13,14,0,33,312,51,86,33,482,,
1400000US13005970100,,"Census Tract 9701, Bacon County, Georgia",71,0,0,0,33,0,0,5,27,0,43,27,246,35,3,0,0,17,47,0,0,73,63,0,8,256,0,123,0,7,11,0,9,0,60,22,0,24,269.5,171.5,165,102,708,,
1400000US13005970201,,"Census Tract 9702.01, Bacon County, Georgia",81,65,84,11,123,27,0,0,73,37,0,23,413,11,116,38,0,65,15,15,38,53,51,11,0,279,11,68,26,0,51,0,0,0,36,41,46,0,630.5,295.5,210,80,1216,,
