idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 BURDEN CT RM 16,ALEXANDRIA,IN,46001-2632",0.047619047619047616,0.0,0.0,40.24899433,-85.67832724,1,1
1,"100 E PETTIT AVE STE 1A,FORT WAYNE,IN,46806-3003",2.6761904761904765,0.0,0.0,41.03882954,-85.1362232,1,1
2,"100 MATTIE HARRIS RD,CENTERVILLE,IN,47330-1335",1.0,0.0,0.0,39.817755,-84.98639929,1,1
3,"100 N BROADWAY ST,OAKTOWN,IN,47561",2.0,0.0,0.0,38.87133783,-87.4409532,1,1
4,"100 N HARRISON ST,SALEM,IN,47167-1426",1.0,0.0,0.0,38.606066999999996,-86.10602712,1,1
5,"100 TOWN CENTER RD S,MOORESVILLE,IN,46158-2321",1.0769230769230769,0.0,0.0,39.61619924,-86.35410275,1,1
6,"100 W CHICAGO AVE STE 100,EAST CHICAGO,IN,46312-3260",0.3333333333333333,0.0,0.0,41.62937548,-87.47219096,1,1
7,"100 W VAN TREES ST,WASHINGTON,IN,47501-1564",2.0,0.0,0.0,38.65775451,-87.17674097,1,1
8,"1000 W JEFFERSON ST,FRANKLIN,IN,46131-2124",0.0,0.0,0.3333333333333333,39.47985743,-86.06939505,1,1
9,"10008 DUPONT CIRCLE CT,FORT WAYNE,IN,46825-1604",0.4,0.0,0.6000000000000001,41.17409519,-85.11256486,1,1
10,"1001 STURDY RD STE 101,VALPARAISO,IN,46383-4126",0.9190170940170941,0.0,0.0,41.4595307,-87.03658558,1,1
11,"1001 W 10TH ST RM 3101,INDIANAPOLIS,IN,46202-2859",24.64548872180449,1.040909090909091,13.19285714285715,39.78086041,-86.17641547,1,1
12,"1002 N MITTHOEFFER RD STE B,INDIANAPOLIS,IN,46229-2461",1.5,0.0,0.0,39.78261093,-85.99038887,1,1
13,"1002 S ESTHER ST,SOUTH BEND,IN,46615-1440",0.9190170940170941,0.0,0.0,41.6641941,-86.22313262,1,1
14,"1003 W MCGALLIARD RD,MUNCIE,IN,47303-1768",4.0,0.0,0.0,40.21893249,-85.39759349,1,1
15,"1004 OAK DR,RICHMOND,IN,47374-1916",0.0,0.0,1.7499999999999998,39.84693651,-84.88820216,1,1
16,"1005 E LASALLE AVE,SOUTH BEND,IN,46617-2818",3.9166666666666665,2.5,0.0,41.67924349,-86.23649169,1,1
17,"1005 E LEWIS AND CLARK PKWY,CLARKSVILLE,IN,47129-2201",1.0,0.0,0.0,38.31745517,-85.75605553,1,1
18,"1007 LINCOLNWAY,LA PORTE,IN,46350-3201",0.3333333333333333,0.0,0.0,41.6206161,-86.70078199999998,1,1
19,"101 8TH ST,PRINCETON,IN,47670-1109",1.0,0.0,0.0,38.355615500000006,-87.58195652,1,1
20,"101 CHARLES ST,LOOGOOTEE,IN,47553-2221",1.0,0.0,0.0,38.67412447,-86.91385049,1,1
21,"101 E 10TH ST,GREENSBURG,IN,47240-8202",3.0,0.0,0.0,39.353117499999996,-85.48399316,1,1
