,State_County_Tract_FIPS_Code
18003011603,37
18057111001,36
18003010705,34
18089043202,31
18089042503,27
18097391000,25
18089040403,23
18097321400,21
18003011609,19
18097330105,19
18057110300,17
18057110808,17
18011810604,17
18097353300,17
18089040401,16
18003010305,16
18141011503,16
18043070600,15
18097381002,15
18057110812,15
18085962300,14
18067001400,14
18091042300,14
18105001402,14
18089040802,14
18097320107,14
18097320202,13
18141001000,13
18089042609,13
18141011301,13
18003010809,13
18097360602,13
18057110907,12
18005011300,12
18057110100,12
18097360502,12
18081610603,12
18141011404,12
18057110810,12
18127050203,11
18057111102,11
18035002500,11
18063210700,11
18127051005,10
18167011000,10
18039000400,10
18097390405,10
18081610403,10
18097322500,10
18157000100,10
18063210104,9
18057111007,9
18089042704,9
18127051002,9
18057111008,9
18097330203,9
18091040600,9
18097320109,9
18057110906,8
18097390404,8
18163003801,8
18083955900,8
18011810603,8
18163003803,7
18057110508,7
18097310103,7
18157010901,7
18003010816,7
18097340202,7
18033020700,7
18163000900,7
18173030704,7
18097340111,7
18089042605,7
18107957200,7
18077966000,7
18151971300,7
18037953300,7
18127050402,7
18097320304,6
18057110805,6
18057110507,6
18019050701,6
18093951000,6
18003003400,6
18037953200,6
18127050702,6
18167010600,6
18109510300,6
18141001300,6
18081610404,6
18067000800,6
18089040402,6
18141011403,6
18055955300,6
18141011702,6
18095011502,6
18089042801,6
18095010700,6
18157010204,5
18057110506,5
18097340112,5
18063210603,5
18177000200,5
18067001100,5
18089042703,5
18059410200,5
18097354200,5
18051050200,5
18163000202,5
18081610605,5
18039002200,5
18063210102,5
18043071006,5
18127050602,5
18157001700,5
18059410400,5
18063210501,5
18145710601,5
18173030800,5
18105001001,4
18001030200,4
18097380100,4
18005010900,4
18157001502,4
18053010100,4
18043071003,4
18109510202,4
18163010100,4
18063210802,4
18039001601,4
18081610606,4
18097310305,4
18097320600,4
18061060400,4
18081610300,4
18141011304,4
18183050500,4
18095001800,4
18057110908,4
18071967500,4
18057110904,4
18011810605,4
18057110905,4
18157010201,4
18057110804,4
18057110806,4
18059410800,4
18011810500,4
18127050604,4
18141011406,4
18097381204,4
18141011900,4
18057110807,4
18105001200,4
18003010306,4
18019050704,4
18081610801,4
18099020500,4
18133956200,3
18089042802,3
18057110404,3
18097390600,3
18181958500,3
18005011000,3
18097321100,3
18177000700,3
18097390500,3
