id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US18001030100,,"Census Tract 301, Adams County, Indiana",15,0,0,11,40,7,0,6,40,131,92,21,350,0,0,0,0,0,5,0,9,95,130,93,18,377,28,0,0,0,10,11,0,17,73,170,27,41,118.375,169.585,510.04,292,1090,1540135
1400000US18001030200,,"Census Tract 302, Adams County, Indiana",0,46,16,17,0,0,0,0,42,49,0,25,592,16,42,116,137,18,52,0,0,39,107,0,65,348,0,16,89,19,34,35,0,0,18,37,0,100,620.375,94.005,230.62,190,1135,
1400000US18001030300,,"Census Tract 303, Adams County, Indiana",52,26,32,27,37,0,0,95,128,73,0,49,426,52,0,14,14,43,0,0,111,177,0,15,0,469,26,0,26,22,18,0,0,38,109,130,60,40,389,500.68,360.32,164,1414,
1400000US18001030400,,"Census Tract 304, Adams County, Indiana",0,0,96,29,0,19,0,0,95,78,0,18,307,0,0,12,0,0,0,6,0,170,87,10,22,191,10,0,12,0,0,0,13,0,60,26,14,56,170.875,227.625,314.5,120,833,
1400000US18001030500,,"Census Tract 305, Adams County, Indiana",0,145,231,70,36,0,34,12,65,95,2,26,1127,21,165,136,55,53,6,145,48,200,245,2,51,977,41,18,54,56,46,28,106,14,245,200,41,128,1148.25,687.95,733.8,250,2820,
1400000US18001030600,,"Census Tract 306, Adams County, Indiana",76,0,17,88,10,12,16,0,62,10,30,19,261,29,0,0,0,61,71,0,0,68,0,27,5,217,32,7,4,0,10,24,16,0,44,26,36,18,400.875,180.005,102.12,135,818,
1400000US18001030700,,"Census Tract 307, Adams County, Indiana",180,140,324,12,197,29,3,2,165,7,10,28,663,75,126,65,11,107,74,13,0,153,25,0,14,758,41,48,0,2,140,91,6,0,215,20,120,75,1589.25,427.21,254.54,247,2518,
1400000US18003000100,,"Census Tract 1, Allen County, Indiana",0,0,9,45,21,24,0,0,87,0,11,15,155,0,0,2,6,10,9,15,25,78,10,0,0,294,0,0,0,66,25,11,17,13,51,65,46,0,211.5,220.42,157.08,72,661,
1400000US18003001000,,"Census Tract 10, Allen County, Indiana",0,5,19,0,8,0,0,55,5,0,0,0,91,0,10,38,29,8,6,0,0,0,0,0,0,93,6,10,10,26,0,12,0,0,8,21,0,0,180.25,69.81,25.94,0,276,
1400000US18003010100,,"Census Tract 101, Allen County, Indiana",0,25,49,9,119,0,25,9,17,97,0,135,575,0,38,96,52,112,0,8,29,103,63,41,33,779,0,85,63,111,35,16,9,73,123,109,44,111,804,309.66,361.34,364,1839,
