IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"103 W 10TH ST,EUDORA,KS,66025-9593",1.0,1.0,0.0,0.0,0.0,0.0,38.94191252,-95.10040286,38.94191252,-95.10040286,1.0,0.0,0.0,1.0
"105 S ANDOVER RD STE G,ANDOVER,KS,67002-8046",1.0,1.0,0.0,0.0,0.0,0.0,37.68621316,-97.1352952,37.68621316,-97.1352952,1.0,0.0,0.0,1.0
"106 E YEAGER ST,ROSE HILL,KS,67133-9107",1.0,1.0,0.0,0.0,0.0,0.0,37.56047347,-97.13461066,37.56047347,-97.13461066,1.0,0.0,0.0,1.0
"1117 GOLDFINCH RD,HORTON,KS,66439-9537",0.5,0.8333333333333333,0.0,0.0,0.0,0.0,39.66811538,-95.63918738,39.66811538,-95.63918738,1.0,0.0,0.0,1.0
"1122 N TOPEKA ST,WICHITA,KS,67214-2810",1.7,1.3333333333333333,0.0,0.0,0.0,0.0,37.70350213,-97.33424928,37.70350213,-97.33424928,1.0,0.0,0.0,1.0
"1124 W 21ST ST,ANDOVER,KS,67002-5500",0.0,0.0,0.0,0.0,0.3333333333333333,0.2909090909090909,37.723392499999996,-97.14744063,37.723392499999996,-97.14744063,1.0,0.0,0.0,1.0
"1131 S CLIFTON AVE,WICHITA,KS,67218-2955",0.8666666666666667,1.3333333333333333,0.0,0.0,0.0,0.0,37.66715983,-97.29427674,37.66715983,-97.29427674,1.0,0.0,0.0,1.0
"1200 BROADWAY,MARYSVILLE,KS,66508-1819",1.0,1.0,0.0,0.0,0.0,0.0,39.84174351,-96.64289983,39.84174351,-96.64289983,1.0,0.0,0.0,1.0
"12208 W 87TH STREET PKWY STE 150,LENEXA,KS,66215-2896",0.0,0.5,0.0,0.0,0.6666666666666666,0.0,38.9711495,-94.72756388,38.9711495,-94.72756388,1.0,0.0,0.0,1.0
"13430 W 62ND TER,SHAWNEE,KS,66216-1784",0.6666666666666666,0.25,0.0,0.0,0.0,0.0,39.01541453,-94.7421135,39.01541453,-94.7421135,1.0,0.0,0.0,1.0
"1408 EAST ST STE C,IOLA,KS,66749-4403",0.2857142857142857,0.3666666666666667,0.0,0.0,0.0,0.0,37.92213148,-95.38748991,37.92213148,-95.38748991,1.0,0.0,0.0,1.0
"1412 N 2ND ST,ATCHISON,KS,66002-1203",2.5,1.3333333333333333,0.0,0.0,0.0,0.0,39.57903899,-95.11518534,39.57903899,-95.11518534,1.0,0.0,0.0,1.0
"1415 W 31ST ST S,WICHITA,KS,67217-2536",0.7,1.3333333333333333,0.0,0.0,0.0,0.0,37.6368817,-97.35641094,37.6368817,-97.35641094,1.0,0.0,0.0,1.0
"15151 S BLACKBOB RD,OLATHE,KS,66062-3301",0.0,0.16666666666666666,0.2,0.8666666666666667,0.0,0.0,38.85352107,-94.7611152,38.85352107,-94.7611152,1.0,0.0,0.0,1.0
"1525 N LORRAINE AVE,WICHITA,KS,67214-2444",1.0,1.0,0.0,0.0,0.0,0.0,37.71119434,-97.30019773,37.71119434,-97.30019773,1.0,0.0,0.0,1.0
"1602 N ELM ST,EUREKA,KS,67045-1090",0.5,1.5,0.0,0.0,0.0,0.0,37.835397,-96.2927863,37.835397,-96.2927863,1.0,0.0,0.0,1.0
"1701 WASHINGTON AVE,PARSONS,KS,67357-3204",1.0,1.0,0.0,0.0,0.0,0.0,37.34149489,-95.26087789,37.34149489,-95.26087789,1.0,0.0,0.0,1.0
"1901 W 21ST ST N,WICHITA,KS,67203-2106",1.5,1.7833333333333332,0.0,0.0,0.0,0.0,37.72263825,-97.36160006,37.72263825,-97.36160006,1.0,0.0,0.0,1.0
"1919 N WEBB RD,WICHITA,KS,67206-3405",0.0,0.0,0.0,0.0,0.3333333333333333,0.5636363636363637,37.718856,-97.22631723,37.718856,-97.22631723,1.0,0.0,0.0,1.0
"2001 E SANTA FE ST,OLATHE,KS,66062-1608",1.0,0.5,0.0,0.0,0.0,0.0,38.88365747,-94.78301344,38.88365747,-94.78301344,1.0,0.0,0.0,1.0
"202 N MAIN ST,EL DORADO,KS,67042-2018",1.0,2.0,0.0,0.0,0.0,0.0,37.81962,-96.84975669,37.81962,-96.84975669,1.0,0.0,0.0,1.0
"2030 TECUMSEH RD,MANHATTAN,KS,66502-3512",1.0,1.5,0.0,0.0,0.0,0.0,39.1910846,-96.59081207,39.1910846,-96.59081207,1.0,0.0,0.0,1.0
"2037 SE 29TH ST,TOPEKA,KS,66605-2457",1.6666666666666663,0.9166666666666664,0.0,0.0,0.0,0.0,39.01511849,-95.65060827,39.01511849,-95.65060827,1.0,0.0,0.0,1.0
"208 W 4TH ST,HOLTON,KS,66436-1784",1.0,1.0,0.0,0.0,0.0,0.0,39.46344247,-95.7367935,39.46344247,-95.7367935,1.0,0.0,0.0,1.0
"208 W ROSS BLVD STE B,DODGE CITY,KS,67801-2110",1.0,1.0,0.0,0.0,0.0,0.0,37.7875,-100.021064,37.7875,-100.021064,1.0,0.0,0.0,1.0
"2100 COMMERCE DR,PARSONS,KS,67357-4951",0.7857142857142857,0.3666666666666667,0.0,0.0,0.0,0.0,37.31799647,-95.26855123,37.31799647,-95.26855123,1.0,0.0,0.0,1.0
"2141 E 151ST ST,OLATHE,KS,66062-2969",1.0,2.0,0.0,0.0,0.0,0.0,38.85476251,-94.78052999,38.85476251,-94.78052999,1.0,0.0,0.0,1.0
"2143 N COLLECTIVE LN STE A,WICHITA,KS,67206-3505",0.0,0.0,0.0,0.0,1.0,1.0,37.72188576,-97.19758438,37.72188576,-97.19758438,1.0,0.0,0.0,1.0
