IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"101 N HARRISON ST,LINDSBORG,KS,67456-2204",,1.0,,0.0,,0.0,,,38.57397152,-97.66676812,,,0.0,1.0
"1015 E 16TH ST STE 1,WELLINGTON,KS,67152-2812",,0.5,,0.0,,0.0,,,37.2753515,-97.3858443,,,0.0,1.0
"1015 E 16TH ST,WELLINGTON,KS,67152-2812",,0.5,,0.0,,0.0,,,37.2753515,-97.3858443,,,0.0,1.0
"102 E WALNUT ST,TROY,KS,66087-5006",,0.3333333333333333,,0.0,,0.0,,,39.78673752,-95.08943075,,,0.0,1.0
"102 N MAIN ST,ARGONIA,KS,67004-8900",,0.5,,0.0,,0.0,,,37.27116738,-97.76546545,,,0.0,1.0
"103 SCOTT AVE,FORT SCOTT,KS,66701-1420",,1.0,,0.0,,0.0,,,37.84078432,-94.70495293,,,0.0,1.0
"10333 E 21ST ST N STE 101,WICHITA,KS,67206-3544",,0.5,,0.0,,0.0,,,37.7230325,-97.21828252,,,0.0,1.0
"105 E COLLEGE DR,COLBY,KS,67701-3701",,0.09090909090909093,,0.0,,0.0,,,39.37975748,-101.04588079999999,,,0.0,1.0
"10616 W 87TH ST,OVERLAND PARK,KS,66214-1651",,1.0,,0.0,,0.0,,,38.97113948,-94.70885336,,,0.0,1.0
"107 COLLEGE ST,WINFIELD,KS,67156-2442",,1.0,,0.0,,0.0,,,37.24893,-96.97843555,,,0.0,1.0
"107 S 6TH ST,HIAWATHA,KS,66434-2306",,0.5,,0.0,,0.0,,,39.85254025,-95.53551621,,,0.0,1.0
"107 S MAIN ST,OTTAWA,KS,66067-2327",,0.8666666666666667,,0.0,,0.0,,,38.61684883,-95.26855828,,,0.0,1.0
"109 N KANSAS AVE,NORTON,KS,67654-2050",,1.0,,0.0,,0.0,,,39.82924605,-99.88819074,,,0.0,1.0
"10925 ANTIOCH RD STE 201,OVERLAND PARK,KS,66210-2119",,1.0,,0.0,,0.0,,,38.93023599,-94.68607816,,,0.0,1.0
"1100 W 8TH ST,WELLINGTON,KS,67152-3423",,1.0,,0.0,,0.0,,,37.26730949,-97.41080233,,,0.0,1.0
"111 N 5TH ST,ATCHISON,KS,66002-2406",,1.0,,0.0,,0.0,,,39.56228203,-95.11914802,,,0.0,1.0
"111 W MAIN ST,COUNCIL GROVE,KS,66846-1702",,1.0,,0.0,,0.0,,,38.66136402,-96.48927311,,,0.0,1.0
"1110 W 8TH ST,COFFEYVILLE,KS,67337-4116",,0.16666666666666666,,0.0,,0.0,,,37.03626082,-95.63236359999999,,,0.0,1.0
"1114 W 11TH ST,LARNED,KS,67550-1939",,0.09090909090909093,,0.0,,0.0,,,38.18485547,-99.11260179,,,0.0,1.0
"112 E CENTRAL AVE,ARKANSAS CITY,KS,67005-2602",,1.0,,0.0,,0.0,,,37.06234752,-97.03826116,,,0.0,1.0
"1123 E KANSAS PLZ,GARDEN CITY,KS,67846-5870",,1.0,,0.0,,0.0,,,37.975210499999996,-100.8594803,,,0.0,1.0
"113 N ANTHONY AVE,ANTHONY,KS,67003-2007",,1.0,,0.0,,0.0,,,37.15288225,-98.0287865,,,0.0,1.0
"113 S MAIN ST,INMAN,KS,67546-4604",,1.3333333333333333,,0.0,,0.5,,,38.231343,-97.77590550000001,,,0.0,1.0
