IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"100 W ROSS BLVD,DODGE CITY,KS,67801-7216",1.0,,0.0,,0.0,,37.78741952,-100.0158522,,,1.0,0.0,,
"1000 E 30TH AVE,HUTCHINSON,KS,67502-4227",0.0,,0.0,,1.0,,38.08657249,-97.90975324,,,1.0,0.0,,
"101 S MCGEE ST,CANEY,KS,67333-2179",1.0,,0.0,,0.0,,37.01154574,-95.92842856,,,1.0,0.0,,
"1010 DOWNING AVE STE 10,HAYS,KS,67601-2461",1.0,,0.0,,0.0,,38.8802025,-99.31680377,,,1.0,0.0,,
"10111 E 21ST ST N STE 102,WICHITA,KS,67206-3555",1.0,,0.0,,0.0,,37.72297773,-97.22197477,,,1.0,0.0,,
"1014 MAIN AVE,GOODLAND,KS,67735-2943",0.0,,0.0,,1.0,,39.34886543,-101.7118609,,,1.0,0.0,,
"1015 MELVIN ST,MARION,KS,66861-1235",0.6666666666666666,,0.0,,0.0,,38.34205949,-97.01041066,,,1.0,0.0,,
"10351 MASTIN ST,OVERLAND PARK,KS,66212-5452",1.0,,0.0,,0.0,,38.94104441,-94.70189853,,,1.0,0.0,,
"1037 SHERIDAN ST,GREAT BEND,KS,67530-3200",0.0,,0.0,,0.3333333333333333,,38.36207683,-98.79974606,,,1.0,0.0,,
"105 LAYTON ST,DODGE CITY,KS,67801-2444",1.0,,0.0,,0.0,,37.77629653,-100.0170719,,,1.0,0.0,,
"105 W 13TH ST,HAYS,KS,67601-3613",0.0,,0.0,,1.0,,38.87390917,-99.33017903,,,1.0,0.0,,
"107 E MAIN ST,OSBORNE,KS,67473-2511",1.0,,0.0,,0.0,,39.438176500000004,-98.69426019,,,1.0,0.0,,
"11005 W 60TH ST STE 150,SHAWNEE,KS,66203-2789",0.0,,0.0,,1.0,,39.02023047,-94.71376269,,,1.0,0.0,,
"111 E MAIN ST,INDEPENDENCE,KS,67301-3709",0.2857142857142857,,0.0,,0.0,,37.22324954,-95.706513,,,1.0,0.0,,
"1110 WESTPORT DR,MANHATTAN,KS,66502-2859",1.0,,0.0,,0.0,,39.19101213,-96.60665859999999,,,1.0,0.0,,
"1111 N BRADY ST STE C,ABILENE,KS,67410-1804",0.5,,0.0,,0.0,,38.92674519,-97.20461613,,,1.0,0.0,,
