idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"101 N HARRISON ST,LINDSBORG,KS,67456-2204",1.0,0.0,0.0,38.57397152,-97.66676812,0,1
1,"1015 E 16TH ST STE 1,WELLINGTON,KS,67152-2812",0.5,0.0,0.0,37.2753515,-97.3858443,0,1
2,"1015 E 16TH ST,WELLINGTON,KS,67152-2812",0.5,0.0,0.0,37.2753515,-97.3858443,0,1
3,"102 E WALNUT ST,TROY,KS,66087-5006",0.3333333333333333,0.0,0.0,39.78673752,-95.08943075,0,1
4,"102 N MAIN ST,ARGONIA,KS,67004-8900",0.5,0.0,0.0,37.27116738,-97.76546545,0,1
5,"103 SCOTT AVE,FORT SCOTT,KS,66701-1420",1.0,0.0,0.0,37.84078432,-94.70495293,0,1
6,"103 W 10TH ST,EUDORA,KS,66025-9593",1.0,0.0,0.0,38.94191252,-95.10040286,0,1
7,"10333 E 21ST ST N STE 101,WICHITA,KS,67206-3544",0.5,0.0,0.0,37.7230325,-97.21828252,0,1
8,"105 E COLLEGE DR,COLBY,KS,67701-3701",0.09090909090909093,0.0,0.0,39.37975748,-101.0458808,0,1
9,"105 S ANDOVER RD STE G,ANDOVER,KS,67002-8046",1.0,0.0,0.0,37.68621316,-97.1352952,0,1
10,"106 E YEAGER ST,ROSE HILL,KS,67133-9107",1.0,0.0,0.0,37.56047347,-97.13461066,0,1
11,"10616 W 87TH ST,OVERLAND PARK,KS,66214-1651",1.0,0.0,0.0,38.97113948,-94.70885336,0,1
12,"107 COLLEGE ST,WINFIELD,KS,67156-2442",1.0,0.0,0.0,37.24893,-96.97843555,0,1
13,"107 S 6TH ST,HIAWATHA,KS,66434-2306",0.5,0.0,0.0,39.85254025,-95.53551621,0,1
14,"107 S MAIN ST,OTTAWA,KS,66067-2327",0.8666666666666667,0.0,0.0,38.61684883,-95.26855828,0,1
15,"109 N KANSAS AVE,NORTON,KS,67654-2050",1.0,0.0,0.0,39.82924605,-99.88819074,0,1
16,"10925 ANTIOCH RD STE 201,OVERLAND PARK,KS,66210-2119",1.0,0.0,0.0,38.93023599,-94.68607816,0,1
17,"1100 W 8TH ST,WELLINGTON,KS,67152-3423",1.0,0.0,0.0,37.26730949,-97.41080233,0,1
18,"111 N 5TH ST,ATCHISON,KS,66002-2406",1.0,0.0,0.0,39.56228203,-95.11914802,0,1
19,"111 W MAIN ST,COUNCIL GROVE,KS,66846-1702",1.0,0.0,0.0,38.66136402,-96.48927311,0,1
20,"1110 W 8TH ST,COFFEYVILLE,KS,67337-4116",0.16666666666666666,0.0,0.0,37.03626082,-95.6323636,0,1
21,"1114 W 11TH ST,LARNED,KS,67550-1939",0.09090909090909093,0.0,0.0,38.18485547,-99.11260179,0,1
22,"1117 GOLDFINCH RD,HORTON,KS,66439-9537",0.8333333333333333,0.0,0.0,39.66811538,-95.63918738,0,1
23,"112 E CENTRAL AVE,ARKANSAS CITY,KS,67005-2602",1.0,0.0,0.0,37.06234752,-97.03826116,0,1
24,"1122 N TOPEKA ST,WICHITA,KS,67214-2810",1.3333333333333333,0.0,0.0,37.70350213,-97.33424928,0,1
25,"1123 E KANSAS PLZ,GARDEN CITY,KS,67846-5870",1.0,0.0,0.0,37.9752105,-100.8594803,0,1
26,"1124 W 21ST ST,ANDOVER,KS,67002-5500",0.0,0.0,0.2909090909090909,37.7233925,-97.14744063,0,1
27,"113 N ANTHONY AVE,ANTHONY,KS,67003-2007",1.0,0.0,0.0,37.15288225,-98.0287865,0,1
28,"113 S MAIN ST,INMAN,KS,67546-4604",1.3333333333333333,0.0,0.5,38.231343,-97.7759055,0,1
29,"1131 S CLIFTON AVE,WICHITA,KS,67218-2955",1.3333333333333333,0.0,0.0,37.66715983,-97.29427674,0,1
30,"1133 COLLEGE AVE STE C200,MANHATTAN,KS,66502-2751",0.0,0.0,1.0,39.192363,-96.59817593,0,1
31,"1133 E KANSAS PLZ,GARDEN CITY,KS,67846-5870",1.5,0.0,0.0,37.97521651,-100.8595703,0,1
32,"1136 W 15TH ST,OTTAWA,KS,66067-3929",1.0,0.0,0.0,38.59379953,-95.28374258,0,1
33,"11400 158TH RD,MAYETTA,KS,66509-8866",1.0,0.0,0.0,39.33273946,-95.7710123,0,1
34,"115 N MAIN ST,BUHLER,KS,67522-9809",1.0,0.0,0.0,38.1353682,-97.7705583,0,1
35,"11532 W 135TH ST,OVERLAND PARK,KS,66221-2892",1.0,0.0,0.0,38.88385342,-94.71949481,0,1
36,"120 W OSAGE ST,SEDAN,KS,67361-1518",1.0,0.0,0.0,37.1258165,-96.18775199,0,1
37,"1200 BROADWAY,MARYSVILLE,KS,66508-1819",1.0,0.0,0.0,39.84174351,-96.64289983,0,1
38,"1202 E 23RD AVE,HUTCHINSON,KS,67502-5656",0.3409090909090909,0.0,0.0,38.0793925,-97.90671247,0,1
39,"12080 W 135TH ST,OVERLAND PARK,KS,66221-8136",1.0,0.0,0.0,38.88379546,-94.72491008,0,1
40,"122 N TAYLOR ST,EL DORADO,KS,67042-1839",1.0,0.0,0.0,37.81812558,-96.85527722,0,1
41,"12208 W 87TH STREET PKWY STE 150,LENEXA,KS,66215-2896",0.5,0.0,0.0,38.9711495,-94.72756388,0,1
42,"1223 N ROCK RD,WICHITA,KS,67206-1269",0.5,0.0,0.0,37.70519374,-97.24469576,0,1
43,"1258 W AMITY ST,LOUISBURG,KS,66053-7815",0.3333333333333333,0.0,0.0,38.62101129,-94.68988278,0,1
44,"12611 ANTIOCH RD,OVERLAND PARK,KS,66213-1701",1.0,0.0,0.0,38.89965663,-94.68633616,0,1
45,"12800 METCALF AVE STE 2,OVERLAND PARK,KS,66213-2607",0.0,0.0,1.0,38.89675897,-94.66792632,0,1
46,"130 E LINCOLN AVE,LINCOLN,KS,67455-2051",1.0,0.0,0.0,39.04027968,-98.1472016,0,1
47,"130 E ROAD 140,SCOTT CITY,KS,67871-5002",1.0,0.0,0.0,38.46798148,-100.9042743,0,1
48,"1302 S MAIN ST STE 5,OTTAWA,KS,66067-3533",1.0,0.0,0.0,38.59701316,-95.26881669,0,1
49,"1320 CENTRAL AVE,KANSAS CITY,KS,66102-5030",0.25,0.0,0.0,39.10417918,-94.64436969,0,1
50,"13430 W 62ND TER,SHAWNEE,KS,66216-1784",0.25,0.0,0.0,39.01541453,-94.7421135,0,1
51,"13496 S ARAPAHO DR,OLATHE,KS,66062-1553",0.0,1.0,0.0,38.884113,-94.76892633,0,1
52,"1408 EAST ST STE C,IOLA,KS,66749-4403",0.3666666666666667,0.0,0.0,37.92213148,-95.38748991,0,1
53,"1412 N 2ND ST,ATCHISON,KS,66002-1203",1.3333333333333333,0.0,0.0,39.57903899,-95.11518534,0,1
54,"1415 W 31ST ST S,WICHITA,KS,67217-2536",1.3333333333333333,0.0,0.0,37.6368817,-97.35641094,0,1
55,"14221 METCALF AVE STE 100,OVERLAND PARK,KS,66223-3333",0.5,0.0,0.0,38.87011855,-94.66771474,0,1
56,"14221 METCALF AVE,OVERLAND PARK,KS,66223-3344",0.5,0.0,0.0,38.87011855,-94.66771474,0,1
57,"1425 WAKARUSA DR STE D,LAWRENCE,KS,66049-4287",1.0,0.0,0.0,38.95827313,-95.3069793,0,1
58,"1431 S BLUFFVIEW DR STE 109,WICHITA,KS,67218-3039",0.5,0.0,0.0,37.66586405,-97.28965721,0,1
59,"1431 S BLUFFVIEW DR,WICHITA,KS,67218-3010",0.5,0.0,0.0,37.66586405,-97.28965721,0,1
60,"14420 METCALF AVE,OVERLAND PARK,KS,66223-2989",0.16666666666666666,0.7,0.0,38.866968,-94.6679493,0,1
61,"1443 N ROCK RD,WICHITA,KS,67206-1245",1.5,0.0,0.0,37.71038627,-97.24470723,0,1
62,"1500 E 8TH AVE STE 201,WINFIELD,KS,67156-3104",0.5,0.0,0.0,37.2417388,-96.97933819,0,1
63,"1502 HARDING AVE STE 9,GARDEN CITY,KS,67846-4700",1.5,0.0,0.0,37.97810254,-100.8559935,0,1
64,"1502 HARDING AVE,GARDEN CITY,KS,67846-4780",0.5,0.0,0.0,37.97810254,-100.8559935,0,1
65,"1507 W 12TH AVE,EMPORIA,KS,66801-2457",1.0,0.0,0.0,38.41223305,-96.19874032,0,1
66,"1509 W 4TH ST,COFFEYVILLE,KS,67337-3307",1.0,0.0,0.0,37.0404185,-95.64136295,0,1
67,"151 S 18TH ST STE Q,KANSAS CITY,KS,66102-5625",3.5,0.0,0.0,39.100032,-94.64936511,0,1
68,"15151 S BLACKBOB RD,OLATHE,KS,66062-3301",0.16666666666666666,0.8666666666666667,0.0,38.85352107,-94.7611152,0,1
69,"15230 W 87TH STREET PKWY,LENEXA,KS,66219-1429",0.0,0.5,0.0,38.97106949,-94.76316199,0,1
