idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"100 W ROSS BLVD,DODGE CITY,KS,67801-7216",1.0,0.0,0.0,37.78741952,-100.0158522,1,0
1,"1000 E 30TH AVE,HUTCHINSON,KS,67502-4227",0.0,0.0,1.0,38.08657249,-97.90975324,1,0
2,"101 S MCGEE ST,CANEY,KS,67333-2179",1.0,0.0,0.0,37.01154574,-95.92842856,1,0
3,"1010 DOWNING AVE STE 10,HAYS,KS,67601-2461",1.0,0.0,0.0,38.8802025,-99.31680377,1,0
4,"10111 E 21ST ST N STE 102,WICHITA,KS,67206-3555",1.0,0.0,0.0,37.72297773,-97.22197477,1,0
5,"1014 MAIN AVE,GOODLAND,KS,67735-2943",0.0,0.0,1.0,39.34886543,-101.7118609,1,0
6,"1015 MELVIN ST,MARION,KS,66861-1235",0.6666666666666666,0.0,0.0,38.34205949,-97.01041066,1,0
7,"103 W 10TH ST,EUDORA,KS,66025-9593",1.0,0.0,0.0,38.94191252,-95.10040286,1,0
8,"10351 MASTIN ST,OVERLAND PARK,KS,66212-5452",1.0,0.0,0.0,38.94104441,-94.70189853,1,0
9,"1037 SHERIDAN ST,GREAT BEND,KS,67530-3200",0.0,0.0,0.3333333333333333,38.36207683,-98.79974606,1,0
10,"105 LAYTON ST,DODGE CITY,KS,67801-2444",1.0,0.0,0.0,37.77629653,-100.0170719,1,0
11,"105 S ANDOVER RD STE G,ANDOVER,KS,67002-8046",1.0,0.0,0.0,37.68621316,-97.1352952,1,0
12,"105 W 13TH ST,HAYS,KS,67601-3613",0.0,0.0,1.0,38.87390917,-99.33017903,1,0
13,"106 E YEAGER ST,ROSE HILL,KS,67133-9107",1.0,0.0,0.0,37.56047347,-97.13461066,1,0
14,"107 E MAIN ST,OSBORNE,KS,67473-2511",1.0,0.0,0.0,39.4381765,-98.69426019,1,0
15,"11005 W 60TH ST STE 150,SHAWNEE,KS,66203-2789",0.0,0.0,1.0,39.02023047,-94.71376269,1,0
16,"111 E MAIN ST,INDEPENDENCE,KS,67301-3709",0.2857142857142857,0.0,0.0,37.22324954,-95.706513,1,0
17,"1110 WESTPORT DR,MANHATTAN,KS,66502-2859",1.0,0.0,0.0,39.19101213,-96.6066586,1,0
18,"1111 N BRADY ST STE C,ABILENE,KS,67410-1804",0.5,0.0,0.0,38.92674519,-97.20461613,1,0
19,"1111 N BRADY ST,ABILENE,KS,67410-1804",0.5,0.0,0.0,38.92674519,-97.20461613,1,0
20,"1115 S MAIN ST,FORT SCOTT,KS,66701-2651",1.0,0.0,0.0,37.82794469,-94.70612873,1,0
21,"1117 GOLDFINCH RD,HORTON,KS,66439-9537",0.5,0.0,0.0,39.66811538,-95.63918738,1,0
22,"112 N 9TH ST,SABETHA,KS,66534-1806",1.0,0.0,0.0,39.90384941,-95.80114464,1,0
23,"1122 N TOPEKA ST,WICHITA,KS,67214-2810",1.7,0.0,0.0,37.70350213,-97.33424928,1,0
24,"1124 W 21ST ST,ANDOVER,KS,67002-5500",0.0,0.0,0.3333333333333333,37.7233925,-97.14744063,1,0
25,"11244 W 135TH ST,OVERLAND PARK,KS,66221-7800",0.0,0.0,0.3333333333333333,38.88380345,-94.71784419,1,0
26,"113 E 8TH ST,HORTON,KS,66439-1740",1.0,0.0,0.0,39.65996551,-95.52688161,1,0
27,"1131 S CLIFTON AVE,WICHITA,KS,67218-2955",0.8666666666666667,0.0,0.0,37.66715983,-97.29427674,1,0
28,"1133 COLLEGE AVE,MANHATTAN,KS,66502-2770",0.0,0.5,0.0,39.192363,-96.59817593,1,0
29,"11401 NALL AVE STE 100,LEAWOOD,KS,66211-1850",0.0,0.0,1.0,38.92145494,-94.64884818,1,0
