,State_County_Tract_FIPS_Code
20091053301,41
20091050900,38
20091053302,37
20091053423,27
20091053417,23
20091053505,23
20091053009,23
20173010300,21
20091051806,20
20169001100,18
20015020203,17
20091052801,17
20091050400,17
20177003601,17
20091051804,16
20091050100,16
20091053410,16
20051072900,15
20091052417,15
20177002500,14
20091052304,14
20155001100,14
20173010116,13
20161000304,13
20091052607,12
20091053002,12
20173007201,12
20091051600,12
20103071000,11
20173010115,11
20091052908,11
20177002602,11
20045001600,11
20173010004,11
20161000900,10
20055960100,10
20173009301,9
20173007301,9
20173001400,8
20173007102,8
20045000100,8
20091052601,8
20113788600,8
20209044804,8
20091053803,7
20161000600,7
20173009509,6
20009971500,6
20045000604,6
20079030500,6
20045001400,6
20169001000,6
20173010002,6
20177003605,5
20091053502,5
20177001500,5
20091980001,5
20061000700,5
20057962000,5
20155000100,5
20091052303,4
20209044102,4
20045000603,4
20091052102,4
20177003606,4
20091052414,4
20121100400,4
20161001302,4
20045000502,4
20045001203,4
20173010801,4
20173007302,4
20125950500,4
20037957400,4
20149000100,3
20001952800,3
20111000200,3
20059954200,3
20121100200,3
20173008100,3
20103071101,3
20091052003,3
20067963700,3
20173007500,3
20173010108,3
20091052700,3
20173009200,3
20173010113,3
20173009503,3
20177003607,3
20091051903,3
20037956900,3
20123176600,3
20173006800,3
20151968800,3
20035493500,3
20125950900,3
20091052603,3
20161001301,3
20175965600,3
20091052305,2
20149000200,2
20173008400,2
20173010200,2
20087020300,2
20173003400,2
20015020100,2
20091050700,2
20209041800,2
20177002701,2
20091052421,2
20125950200,2
20153950600,2
20091052415,2
20045001201,2
20027458100,2
20155001400,2
20173007204,2
20085082700,2
20173005400,2
20173009507,2
20173009510,2
20133951900,2
20029977200,2
20045000797,2
20177004100,2
20121100601,2
20139010400,2
20191962100,2
20173010109,2
20161000802,2
20169000100,2
20109954600,2
20091051700,2
20173010107,2
20161000700,2
20173004300,2
20009971200,2
20113788400,2
20173010005,2
20177004000,2
20177002400,2
20103071202,2
20173002100,2
20103071102,2
20099950200,2
20173010500,2
20173010106,2
20173000400,2
20125950300,1
20173007203,1
20209043803,1
20205097300,1
20173002300,1
20005081700,1
20163974700,1
20117070182,1
20091052410,1
20161001002,1
20155000300,1
20173009302,1
20173006300,1
20173002200,1
20171957100,1
20205097400,1
20209043904,1
20091052411,1
20209045100,1
20121100700,1
20133951800,1
20037957600,1
20043020300,1
20035494000,1
20041084400,1
20177000400,1
20139010100,1
20103071800,1
20079030200,1
20091052101,1
20173000600,1
20045000801,1
20103071600,1
20209043301,1
20169000800,1
20165972100,1
20035493700,1
20091052202,1
20099950400,1
20015020201,1
20099950300,1
20051072701,1
20051072702,1
20015020202,1
20103071400,1
20021958300,1
20177003604,1
20091053507,1
20209043905,1
20177001900,1
20091053506,1
20065952200,1
20091052802,1
20173001900,1
20089576200,1
20095961200,1
20177003302,1
20173009700,1
20177001601,1
20103981900,1
20111000400,1
20041084100,1
20091052906,1
20091052910,1
20091051100,1
20195955800,1
20023950200,1
20209042300,1
20181453700,1
20119966600,1
20173005900,1
20189965200,1
20091053109,1
20161000500,1
20047969700,1
20003953600,1
20107955200,1
20031966200,1
20031966300,1
20013480700,1
20125950700,1
20201978600,1
20057961800,1
20091052502,1
20137951700,1
20179952600,1
20053086700,1
20045001202,1
20209044003,1
20091053409,1
20173007400,1
20203957600,1
20091053411,1
20091053406,1
20193953100,1
20209044803,1
20177003700,1
20191962400,1
20173002000,1
20133951600,1
20173009506,1
20173009505,1
20173009508,1
20001953000,1
20209044704,1
20037956700,1
20131480200,1
20087020200,1
20005081800,1
20053086600,1
