,State_County_Tract_FIPS_Code
20045000501,10
20173010300,8
20059954400,7
20091050900,7
20173007600,7
20091052908,7
20091053502,7
20055960300,6
20113788700,6
20091051500,6
20209041800,5
20091052607,5
20091053406,5
20091053101,5
20173009513,5
20173006300,5
20091053201,5
20209044103,5
20091051801,5
20173010109,5
20147475300,4
20091053417,4
20111000200,4
20111000400,4
20173000700,4
20173010115,4
20079030300,4
20209042300,4
20155000100,4
20159967200,4
20111000300,4
20035493400,3
20169000100,3
20161000303,3
20035493500,3
20045001001,3
20173000400,3
20209043600,3
20015020400,3
20173010110,3
20091053203,3
20059954300,3
20009971400,3
20209041600,3
20011956000,3
20113788500,3
20145970200,3
20091053506,3
20077961800,3
20173006000,3
20035493800,3
20137951700,3
20091052001,3
20061000100,3
20149000300,3
20073965700,3
20173009301,3
20031966200,3
20099950200,3
20173001100,3
20177003001,3
20209043905,3
20177001500,3
20103070100,3
20091053109,2
20001952800,2
20091053301,2
20175965600,2
20057961700,2
20091051804,2
20127963700,2
20115489800,2
20013480700,2
20029977300,2
20131480100,2
20125951100,2
20173010004,2
20057961800,2
20209044102,2
20143085700,2
20131480200,2
20091053709,2
20177002100,2
20021958600,2
20035494000,2
20177002602,2
20013480600,2
20015020203,2
20163974600,2
20005081700,2
20209042100,2
20031966300,2
20079030400,2
20177001601,2
20091052304,2
20173008900,2
20173002000,2
20091053509,2
20173007302,2
20149000200,2
20091053410,2
20055960505,2
20151968800,2
20091053414,2
20209044704,2
20173010801,2
20173002100,2
20171957100,2
20027458200,2
20037957500,2
20091051907,2
20173009302,2
20075958600,2
20173007700,2
20191962500,2
20173006800,2
20191962400,2
20091053010,2
20113788200,2
20141474100,2
20045001202,1
20015020902,1
20057961900,1
20153950600,1
20177002400,1
20091050000,1
20125951200,1
20133951900,1
20117060510,1
20121100300,1
20175965700,1
20173007000,1
20065952200,1
20173007301,1
20199954100,1
20085082700,1
20051072900,1
20177004100,1
20091053602,1
20037957600,1
20093959100,1
20091052421,1
20155001500,1
20173002300,1
20173002700,1
20173010111,1
20169000900,1
20091053102,1
20191962200,1
20103071800,1
20103070500,1
20091050200,1
20155000200,1
20173000900,1
20045000901,1
20019964600,1
20005081800,1
20091050302,1
20097969100,1
20121100601,1
20043020200,1
20035493600,1
20177002800,1
20005081900,1
20055960507,1
20001952900,1
20091051802,1
20091052303,1
20193953100,1
20191962300,1
20045001600,1
20105086100,1
20091052415,1
20103071102,1
20209042700,1
20023950200,1
20091052410,1
20177001100,1
20161000304,1
20177002500,1
20055960403,1
20155000700,1
20063955100,1
20169000800,1
20015020202,1
20091053411,1
20085082800,1
20091052419,1
20091053707,1
