,State_County_Tract_FIPS_Code
20177003001,6
20131480100,6
20091051500,6
20173007600,6
20091053201,6
20161000304,5
20045000501,5
20173000400,5
20209043905,5
20173000700,4
20173010115,4
20037957100,4
20057961900,4
20045000702,4
20173007302,4
20173010109,4
20169000100,4
20111000200,4
20099950200,4
20001952800,4
20177001500,3
20091053203,3
20091051804,3
20173009604,3
20005081700,3
20057961800,3
20161000802,3
20091052607,3
20015020400,3
20091052421,3
20209041800,3
20155000100,3
20125950400,3
20173009302,3
20173006800,3
20173006300,3
20091053509,3
20173001100,2
20173006000,2
20041084600,2
20157978300,2
20059954400,2
20015020203,2
20115489700,2
20091052304,2
20055960300,2
20051072701,2
20091053502,2
20015020201,2
20021958600,2
20015020202,2
20141474100,2
20131480200,2
20073965700,2
20079030400,2
20125951200,2
20173009513,2
20177002602,2
20091052102,2
20091053423,2
20091053101,2
20041084400,2
20079030300,2
20009971500,2
20173010300,2
20091052905,2
20167973800,2
20013480800,2
20173007203,2
20061000100,2
20045000603,2
20173010801,2
20173002100,2
20209044303,2
20037957500,2
20045001600,2
20161000303,2
20091050301,2
20209044805,2
20091050302,2
20091052908,1
20091052504,1
20091053707,1
20209044704,1
20209044103,1
20173009900,1
20209044102,1
20149000200,1
20117060510,1
20059954300,1
20103070500,1
20209043904,1
20177002100,1
20045001202,1
20149000300,1
20013480600,1
20103071102,1
20173009802,1
20173009506,1
20177001100,1
20035493800,1
20173009301,1
20085082700,1
20159967300,1
20051072900,1
20153950600,1
20091052603,1
20091052419,1
20173010004,1
20053086700,1
20209043600,1
20087020300,1
20173003500,1
20091053414,1
20177001200,1
20177003500,1
20177000700,1
20091051908,1
20155000200,1
20091053010,1
20125951300,1
20011956000,1
20055960505,1
20055960507,1
20177001300,1
20177002800,1
20001953000,1
20193953100,1
20009971600,1
20111000400,1
20009971400,1
20181453700,1
20173000900,1
20091051200,1
20091053417,1
20173007301,1
20091051801,1
20091053406,1
20209042100,1
20173001900,1
20015020902,1
20061000300,1
20027458200,1
20107955200,1
