id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US20001952600,,"Census Tract 9526, Allen County, Kansas",2,0,4,11,14,4,12,20,17,17,65,0,141,1,9,2,3,10,0,0,4,27,31,29,25,142,8,9,3,0,6,0,2,1,45,26,22,20,67,93.6,127.4,161,449,704350
1400000US20001952700,,"Census Tract 9527, Allen County, Kansas",6,2,5,7,15,3,0,3,50,8,3,21,108,0,4,12,17,20,0,3,0,18,0,21,13,161,30,2,6,3,31,12,2,3,21,17,7,27,127,94.6,78.4,92,392,
1400000US20001952800,,"Census Tract 9528, Allen County, Kansas",89,7,0,13,0,0,2,20,20,40,0,0,271,84,47,0,40,0,0,33,16,21,16,14,0,335,108,21,12,26,0,13,30,13,23,65,17,7,447,152.6,159.4,38,797,
1400000US20001952900,,"Census Tract 9529, Allen County, Kansas",33,10,26,0,0,0,0,0,63,0,8,0,130,0,4,12,19,7,13,0,0,40,0,14,21,197,0,0,0,37,0,51,0,0,27,2,43,37,144.5,119.5,80,123,467,
1400000US20001953000,,"Census Tract 9530, Allen County, Kansas",15,8,9,23,0,6,29,0,71,15,24,28,162,0,7,0,15,20,0,7,0,52,51,0,10,234,33,3,0,8,25,12,0,0,112,31,0,10,143.5,170.5,238,72,624,
1400000US20003953600,,"Census Tract 9536, Anderson County, Kansas",0,30,0,67,15,7,0,11,127,89,14,0,413,43,70,0,53,0,6,0,64,94,54,14,15,506,112,33,0,60,9,22,0,43,162,49,0,16,480,318.2,421.8,59,1279,
1400000US20003953700,,"Census Tract 9537, Anderson County, Kansas",0,33,14,17,19,11,7,10,81,2,8,24,230,24,36,0,23,18,7,0,7,77,15,17,6,268,20,18,10,2,10,1,6,25,78,23,15,60,220.5,191.9,181.6,130,724,
1400000US20005081600,,"Census Tract 816, Atchison County, Kansas",7,3,88,2,10,5,3,54,32,31,2,37,390,6,4,139,7,21,11,2,0,61,84,15,40,312,10,3,45,20,12,4,2,0,78,54,48,36,355.5,170.9,271.6,178,976,
1400000US20005081700,,"Census Tract 817, Atchison County, Kansas",164,0,31,0,0,29,0,0,121,40,38,61,203,0,0,32,0,0,0,0,0,25,58,0,88,258,0,0,0,0,20,0,21,0,76,0,39,102,237,148.8,231.2,328,945,
1400000US20005081800,,"Census Tract 818, Atchison County, Kansas",0,0,0,38,0,0,0,43,0,0,66,0,296,0,0,0,66,40,0,0,26,0,15,119,30,384,0,0,0,0,0,0,0,0,152,62,106,64,124,149.8,168.2,385,827,
