IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"100 PRICE DR,WEST MONROE,LA,71292-6315",0.1,,0.0,,0.0,,32.48702552,-92.17712186,,,1,0,,
"100 WARRINGTON DR STE B,NEW ORLEANS,LA,70122-3000",0.25,1.0,0.0,0.0,0.0,0.0,29.99764156,-90.06364985,29.99764156,-90.06364985,1,0,0.0,1.0
"100 WARRINGTON DR,NEW ORLEANS,LA,70122-3000",2.844298245614035,1.0,0.0,0.0,0.0,0.0,29.99764156,-90.06364985,29.99764156,-90.06364985,1,0,0.0,1.0
"1000 C M FAGAN DR STE A,HAMMOND,LA,70403-6055",0.3333333333333333,1.0,0.0,0.0,0.0,0.0,30.48276151,-90.46672191,30.48276151,-90.46672191,1,0,0.0,1.0
"1000 C M FAGAN DR,HAMMOND,LA,70403-6055",0.5,,0.0,,0.0,,30.48276151,-90.46672191,,,1,0,,
"1000 VETERANS MEMORIAL BLVD,METAIRIE,LA,70005-2852",0.0625,,0.0,,0.0,,30.00153114,-90.13281863,,,1,0,,
"1001 N CAUSEWAY BLVD,METAIRIE,LA,70001-4156",2.0666666666666664,3.0,0.0,0.0,0.0,0.0,29.98222082,-90.15582127,29.98222082,-90.15582127,1,0,0.0,1.0
"1001 W MADISON AVE,BASTROP,LA,71220-4331",0.1,,0.0,,0.0,,32.77523711,-91.92472957,,,1,0,,
"1002 HIGHWAY 59,MANDEVILLE,LA,70448-3720",0.2,0.0,0.5,1.0,0.0,0.0,30.36491654,-90.06065381,30.36491654,-90.06065381,1,0,0.0,1.0
"1002 NW MAIN ST,BUNKIE,LA,71322-1519",1.0,,0.0,,0.0,,30.96114927,-92.19435795,,,1,0,,
"1003 W JUDGE PEREZ DR,CHALMETTE,LA,70043-4703",1.5,1.0,0.0,0.0,0.0,0.0,29.94522822,-89.97029358,29.94522822,-89.97029358,1,0,0.0,1.0
"1004 SURREY ST,LAFAYETTE,LA,70501-6143",0.7380952380952379,,0.0,,0.0,,30.22532289,-92.00058873,,,1,0,,
"1006 SURREY ST,LAFAYETTE,LA,70501-6143",0.5,1.0,0.0,0.0,0.0,0.0,30.22507083,-92.00026118,30.22507083,-92.00026118,1,0,0.0,1.0
"1007 SHIRLEY RD,BUNKIE,LA,71322-1544",1.0833333333333333,1.0,0.0,0.0,0.0,0.0,30.95939931,-92.19445459,30.95939931,-92.19445459,1,0,0.0,1.0
"1008 W THOMAS ST,HAMMOND,LA,70401-3040",1.0,0.0,1.5,1.0,0.0,0.0,30.50155398,-90.47228613,30.50155398,-90.47228613,1,0,0.0,1.0
"101 SMART PL,SLIDELL,LA,70458-2039",2.182936507936508,,0.0,,0.0,,30.28589137,-89.77394007,,,1,0,,
"1014 W TUNNEL BLVD,HOUMA,LA,70360-4050",1.0833333333333333,1.0,0.0,0.0,0.0,0.0,29.59143097,-90.73270089,29.59143097,-90.73270089,1,0,0.0,1.0
"102 GENEVIEVE DR,LAFAYETTE,LA,70503-4811",1.0,,0.0,,0.0,,30.18420385,-92.06737086,,,1,0,,
"1025 N VICTOR II BLVD,MORGAN CITY,LA,70380-1349",1.0,,0.0,,0.0,,29.70569135,-91.19909394,,,1,0,,
"103 SE CENTRAL AVE,AMITE,LA,70422-2837",0.5,,0.0,,0.0,,30.72659196,-90.50824399,,,1,0,,
"1030 LESSEPS ST,NEW ORLEANS,LA,70117-4736",2.541666666666667,,0.0,,0.0,,29.9641467,-90.03286406,,,1,0,,
"10343 SIEGEN LN,BATON ROUGE,LA,70810-4979",1.0,,0.0,,0.0,,30.35443292,-91.08117666,,,1,0,,
"104 CLECO DR,PINEVILLE,LA,71360-5325",1.0,,0.0,,0.0,,31.33395941,-92.4096293,,,1,0,,
"104 ENERGY PKWY,LAFAYETTE,LA,70508-3818",3.833333333333333,1.0,0.0,0.0,0.0,0.0,30.18291736,-92.00889047,30.18291736,-92.00889047,1,0,0.0,1.0
"104 GRIFFITH ST,PINEVILLE,LA,71360-5288",1.0,,0.0,,0.0,,31.33544857,-92.42136689,,,1,0,,
"104 S SPRUCE ST,HAMMOND,LA,70403-4153",0.0,,0.0,,0.5,,30.50291084,-90.46571099,,,1,0,,
"10410 PLANK RD,CLINTON,LA,70722-3710",0.4974747474747475,,0.0,,0.0,,30.85689606,-91.01051539,,,1,0,,
"105 RUE CENTRE ST,ABBEVILLE,LA,70510-4212",1.0,,0.0,,0.0,,29.97105454,-92.09046495,,,1,0,,
"1050 BANCORP SOUTH CIR,BOSSIER CITY,LA,71111-2215",0.0,,0.0,,0.75,,32.56032827,-93.71209325,,,1,0,,
"1050 N ROBINSON ST,MANY,LA,71449-3536",0.8809523809523808,1.0,0.0,0.0,0.0,0.0,31.57107639,-93.47192679999999,31.57107639,-93.47192679999999,1,0,0.0,1.0
"10522 S GLENSTONE PL,BATON ROUGE,LA,70810-2875",0.0,0.0,1.0,1.0,1.0,0.0,30.36737633,-91.10568472,30.36737633,-91.10568472,1,0,0.0,1.0
"10530 LIONS AVE,MARINGOUIN,LA,70757-3234",0.5,1.0,0.0,0.0,0.0,0.0,30.49315303,-91.51853449,30.49315303,-91.51853449,1,0,0.0,1.0
"10701 REILEY ST,CLINTON,LA,70722-3507",0.4974747474747475,,0.0,,0.0,,30.85818596,-91.02238253,,,1,0,,
"108 N 16TH ST,MER ROUGE,LA,71261-9726",0.1,,0.0,,0.0,,32.77583721,-91.79297519,,,1,0,,
"1081 COPPER MILL BLVD,ZACHARY,LA,70791-7393",3.70594922214084,2.0,0.0,0.0,1.2526315789473683,0.0,30.64060653,-91.19230681,30.64060653,-91.19230681,1,0,0.0,1.0
"109 CARY AVE,JENNINGS,LA,70546-5802",1.0,,0.0,,0.0,,30.22195122,-92.65984706,,,1,0,,
"10914 OLD HAMMOND HWY,BATON ROUGE,LA,70816-8313",1.5,1.0,0.0,0.0,0.0,0.0,30.43490824,-91.06442318,30.43490824,-91.06442318,1,0,0.0,1.0
"10964 RIVER RD,SAINT ROSE,LA,70087-3400",1.0,,0.0,,0.0,,29.95735124,-90.30664726,,,1,0,,
"110 VETERANS MEMORIAL BLVD,METAIRIE,LA,70005-3027",1.0,,0.0,,0.0,,29.99994958,-90.12418266,,,1,0,,
"1100 ANDRE ST,NEW IBERIA,LA,70563-2159",0.0,,0.0,,0.3333333333333333,,30.00793002,-91.79463581,,,1,0,,
"1100 FLORIDA AVE # 227,NEW ORLEANS,LA,70119-2715",2.0,3.0,0.0,0.0,0.0,0.0,29.99132689,-90.08631088,29.99132689,-90.08631088,1,0,0.0,1.0
"1100 FLORIDA AVE,NEW ORLEANS,LA,70119-2715",1.6166666666666667,1.0,0.5,0.0,1.2,0.0,29.99132689,-90.08631088,29.99132689,-90.08631088,1,0,0.0,1.0
"1101 ROYAL AVE STE B,MONROE,LA,71201-5643",0.0,0.0,0.5,1.0,0.0,0.0,32.51674217,-92.11561846,32.51674217,-92.11561846,1,0,0.0,1.0
"1101 ROYAL AVE,MONROE,LA,71201-5642",0.0,,0.5,,0.0,,32.51674217,-92.11561846,,,1,0,,
"1101 S COLLEGE RD,LAFAYETTE,LA,70503-3038",0.5,,0.0,,0.0,,30.199911600000004,-92.02793375,,,1,0,,
"1107 LOUISA ST,RAYVILLE,LA,71269-2925",1.0,,0.0,,0.0,,32.47198959,-91.75808162,,,1,0,,
"111 LAKEWOOD DR,LULING,LA,70070-3006",1.0666666666666669,,0.0,,0.0,,29.91243261,-90.34456309999999,,,1,0,,
"111 NOEL DR,LAFAYETTE,LA,70503-3729",1.0,1.0,0.0,0.0,0.0,0.0,30.20184742,-92.05008507,30.20184742,-92.05008507,1,0,0.0,1.0
"111 NOUVEAU LN,LAFAYETTE,LA,70501-2131",0.5,,0.0,,0.0,,30.25046659,-92.00702497,,,1,0,,
"1111 NEWTON ST,NEW ORLEANS,LA,70114-2500",2.0,1.0,0.0,0.0,0.0,0.0,29.94531952,-90.04482291,29.94531952,-90.04482291,1,0,0.0,1.0
"1112 WEBER ST,FRANKLIN,LA,70538-4125",1.0,1.0,0.0,0.0,0.0,0.0,29.79872732,-91.50515774,29.79872732,-91.50515774,1,0,0.0,1.0
"1113 S RANGE AVE,DENHAM SPRINGS,LA,70726-4820",1.0,,0.0,,0.0,,30.47012088,-90.95659433,,,1,0,,
"1113A AUDUBON AVE,THIBODAUX,LA,70301-4940",0.5,1.0,0.0,0.0,0.0,0.0,29.78353782,-90.80763947,29.78353782,-90.80763947,1,0,0.0,1.0
"1115 AUDUBON AVE,THIBODAUX,LA,70301-4940",0.5,,0.0,,0.0,,29.78326659,-90.80782374,,,1,0,,
"1115 WEBER ST,FRANKLIN,LA,70538-4124",0.5833333333333333,1.0,0.0,0.0,0.0,0.0,29.79841615,-91.50530954,29.79841615,-91.50530954,1,0,0.0,1.0
"112 N SIXTH ST,OBERLIN,LA,70655",1.5345238095238094,,0.0,,0.0,,30.62046044,-92.76166701,,,1,0,,
"112 N SIXTH ST,OBERLIN,LA,70655-6109",0.14285714285714285,1.0,0.0,0.0,0.0,0.0,30.62046044,-92.76166701,30.62046044,-92.76166701,1,0,0.0,1.0
"1124 7TH ST,MORGAN CITY,LA,70380-1951",0.5833333333333333,,0.0,,0.0,,29.703942200000004,-91.2036064,,,1,0,,
"1126 MARGUERITE ST STE A,MORGAN CITY,LA,70380-1892",0.0,,0.0,,0.5,,29.70552735,-91.20216926,,,1,0,,
"1128 CLEARVIEW PKWY,METAIRIE,LA,70001-3418",0.8650793650793651,,0.0,,0.0,,29.98534461,-90.18093253,,,1,0,,
"1128 OLD SPANISH TRL,SLIDELL,LA,70458-5020",2.38975279106858,1.0,0.30952380952380953,0.0,0.0,0.0,30.257880600000004,-89.77369289,30.257880600000004,-89.77369289,1,0,0.0,1.0
"1128 PECANLAND RD STE 1,MONROE,LA,71203-7019",1.0,1.0,0.0,0.0,0.0,0.0,32.49892482,-92.06362483,32.49892482,-92.06362483,1,0,0.0,1.0
"113 CALCASIEU ST,VILLE PLATTE,LA,70586-4401",2.0,,0.0,,0.0,,30.69008878,-92.27866387,,,1,0,,
"113 PROFESSIONAL DR,WEST MONROE,LA,71291-5331",1.0,,0.0,,0.0,,32.51446094,-92.14967176,,,1,0,,
"11312 JEFFERSON HWY,RIVER RIDGE,LA,70123-1709",0.7666666666666666,,0.0,,0.0,,29.970374100000004,-90.23566407,,,1,0,,
"1134 SWAN AVE,BATON ROUGE,LA,70807-4574",1.0,,0.0,,0.0,,30.52364655,-91.18170921,,,1,0,,
"114 DEREK PLAZA DR STE E,CARENCRO,LA,70520-3644",0.5,1.0,0.0,0.0,0.0,0.0,30.321436699999996,-92.04013027,30.321436699999996,-92.04013027,1,0,0.0,1.0
"114 DEREK PLAZA DR,CARENCRO,LA,70520-3632",1.0,,0.0,,0.0,,30.321436699999996,-92.04013027,,,1,0,,
"1140 POLK ST STE A,MANSFIELD,LA,71052-2526",0.5,1.0,0.0,0.0,0.0,0.0,32.03755551,-93.7088325,32.03755551,-93.7088325,1,0,0.0,1.0
"1140 POLK ST,MANSFIELD,LA,71052-2538",0.5,,0.0,,0.0,,32.03755551,-93.70883249,,,1,0,,
