IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"100 WARRINGTON DR STE B,NEW ORLEANS,LA,70122-3000",0.25,1.0,0.0,0.0,0.0,0.0,29.99764156,-90.06364985,29.99764156,-90.06364985,1,0,0.0,1.0
"100 WARRINGTON DR,NEW ORLEANS,LA,70122-3000",2.844298245614035,1.0,0.0,0.0,0.0,0.0,29.99764156,-90.06364985,29.99764156,-90.06364985,1,0,0.0,1.0
"1000 C M FAGAN DR STE A,HAMMOND,LA,70403-6055",0.3333333333333333,1.0,0.0,0.0,0.0,0.0,30.48276151,-90.46672191,30.48276151,-90.46672191,1,0,0.0,1.0
"1001 N CAUSEWAY BLVD,METAIRIE,LA,70001-4156",2.0666666666666664,3.0,0.0,0.0,0.0,0.0,29.98222082,-90.15582127,29.98222082,-90.15582127,1,0,0.0,1.0
"1002 HIGHWAY 59,MANDEVILLE,LA,70448-3720",0.2,0.0,0.5,1.0,0.0,0.0,30.36491654,-90.06065381,30.36491654,-90.06065381,1,0,0.0,1.0
"1003 W JUDGE PEREZ DR,CHALMETTE,LA,70043-4703",1.5,1.0,0.0,0.0,0.0,0.0,29.94522822,-89.97029358,29.94522822,-89.97029358,1,0,0.0,1.0
"1006 SURREY ST,LAFAYETTE,LA,70501-6143",0.5,1.0,0.0,0.0,0.0,0.0,30.22507083,-92.00026118,30.22507083,-92.00026118,1,0,0.0,1.0
"1007 SHIRLEY RD,BUNKIE,LA,71322-1544",1.0833333333333333,1.0,0.0,0.0,0.0,0.0,30.95939931,-92.19445459,30.95939931,-92.19445459,1,0,0.0,1.0
"1008 W THOMAS ST,HAMMOND,LA,70401-3040",1.0,0.0,1.5,1.0,0.0,0.0,30.50155398,-90.47228613,30.50155398,-90.47228613,1,0,0.0,1.0
"1014 W TUNNEL BLVD,HOUMA,LA,70360-4050",1.0833333333333333,1.0,0.0,0.0,0.0,0.0,29.59143097,-90.73270089,29.59143097,-90.73270089,1,0,0.0,1.0
"104 ENERGY PKWY,LAFAYETTE,LA,70508-3818",3.833333333333333,1.0,0.0,0.0,0.0,0.0,30.18291736,-92.00889047,30.18291736,-92.00889047,1,0,0.0,1.0
"1050 N ROBINSON ST,MANY,LA,71449-3536",0.8809523809523808,1.0,0.0,0.0,0.0,0.0,31.57107639,-93.4719268,31.57107639,-93.4719268,1,0,0.0,1.0
"10522 S GLENSTONE PL,BATON ROUGE,LA,70810-2875",0.0,0.0,1.0,1.0,1.0,0.0,30.36737633,-91.10568472,30.36737633,-91.10568472,1,0,0.0,1.0
"10530 LIONS AVE,MARINGOUIN,LA,70757-3234",0.5,1.0,0.0,0.0,0.0,0.0,30.49315303,-91.51853449,30.49315303,-91.51853449,1,0,0.0,1.0
"1081 COPPER MILL BLVD,ZACHARY,LA,70791-7393",3.70594922214084,2.0,0.0,0.0,1.2526315789473683,0.0,30.64060653,-91.19230681,30.64060653,-91.19230681,1,0,0.0,1.0
"10914 OLD HAMMOND HWY,BATON ROUGE,LA,70816-8313",1.5,1.0,0.0,0.0,0.0,0.0,30.43490824,-91.06442318,30.43490824,-91.06442318,1,0,0.0,1.0
"1100 FLORIDA AVE # 227,NEW ORLEANS,LA,70119-2715",2.0,3.0,0.0,0.0,0.0,0.0,29.99132689,-90.08631088,29.99132689,-90.08631088,1,0,0.0,1.0
"1100 FLORIDA AVE,NEW ORLEANS,LA,70119-2715",1.6166666666666667,1.0,0.5,0.0,1.2,0.0,29.99132689,-90.08631088,29.99132689,-90.08631088,1,0,0.0,1.0
"1101 ROYAL AVE STE B,MONROE,LA,71201-5643",0.0,0.0,0.5,1.0,0.0,0.0,32.51674217,-92.11561846,32.51674217,-92.11561846,1,0,0.0,1.0
"111 NOEL DR,LAFAYETTE,LA,70503-3729",1.0,1.0,0.0,0.0,0.0,0.0,30.20184742,-92.05008507,30.20184742,-92.05008507,1,0,0.0,1.0
"1111 NEWTON ST,NEW ORLEANS,LA,70114-2500",2.0,1.0,0.0,0.0,0.0,0.0,29.94531952,-90.04482291,29.94531952,-90.04482291,1,0,0.0,1.0
"1112 WEBER ST,FRANKLIN,LA,70538-4125",1.0,1.0,0.0,0.0,0.0,0.0,29.79872732,-91.50515774,29.79872732,-91.50515774,1,0,0.0,1.0
"1113A AUDUBON AVE,THIBODAUX,LA,70301-4940",0.5,1.0,0.0,0.0,0.0,0.0,29.78353782,-90.80763947,29.78353782,-90.80763947,1,0,0.0,1.0
"1115 WEBER ST,FRANKLIN,LA,70538-4124",0.5833333333333333,1.0,0.0,0.0,0.0,0.0,29.79841615,-91.50530954,29.79841615,-91.50530954,1,0,0.0,1.0
