idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"100 WARRINGTON DR STE B,NEW ORLEANS,LA,70122-3000",1.0,0.0,0.0,29.99764156,-90.06364985,0,1
1,"100 WARRINGTON DR,NEW ORLEANS,LA,70122-3000",1.0,0.0,0.0,29.99764156,-90.06364985,0,1
2,"1000 C M FAGAN DR STE A,HAMMOND,LA,70403-6055",1.0,0.0,0.0,30.48276151,-90.46672191,0,1
3,"1001 N CAUSEWAY BLVD,METAIRIE,LA,70001-4156",3.0,0.0,0.0,29.98222082,-90.15582127,0,1
4,"1002 HIGHWAY 59,MANDEVILLE,LA,70448-3720",0.0,1.0,0.0,30.36491654,-90.06065381,0,1
5,"1003 W JUDGE PEREZ DR,CHALMETTE,LA,70043-4703",1.0,0.0,0.0,29.94522822,-89.97029358,0,1
6,"1006 SURREY ST,LAFAYETTE,LA,70501-6143",1.0,0.0,0.0,30.22507083,-92.00026118,0,1
7,"1007 SHIRLEY RD,BUNKIE,LA,71322-1544",1.0,0.0,0.0,30.95939931,-92.19445459,0,1
8,"1008 W THOMAS ST,HAMMOND,LA,70401-3040",0.0,1.0,0.0,30.50155398,-90.47228613,0,1
9,"1014 W TUNNEL BLVD,HOUMA,LA,70360-4050",1.0,0.0,0.0,29.59143097,-90.73270089,0,1
10,"104 ENERGY PKWY,LAFAYETTE,LA,70508-3818",1.0,0.0,0.0,30.18291736,-92.00889047,0,1
11,"1050 N ROBINSON ST,MANY,LA,71449-3536",1.0,0.0,0.0,31.57107639,-93.47192679999999,0,1
12,"10522 S GLENSTONE PL,BATON ROUGE,LA,70810-2875",0.0,1.0,0.0,30.36737633,-91.10568472,0,1
13,"10530 LIONS AVE,MARINGOUIN,LA,70757-3234",1.0,0.0,0.0,30.49315303,-91.51853449,0,1
14,"1081 COPPER MILL BLVD,ZACHARY,LA,70791-7393",2.0,0.0,0.0,30.64060653,-91.19230681,0,1
15,"10914 OLD HAMMOND HWY,BATON ROUGE,LA,70816-8313",1.0,0.0,0.0,30.43490824,-91.06442318,0,1
16,"1100 FLORIDA AVE # 227,NEW ORLEANS,LA,70119-2715",3.0,0.0,0.0,29.99132689,-90.08631088,0,1
17,"1100 FLORIDA AVE,NEW ORLEANS,LA,70119-2715",1.0,0.0,0.0,29.99132689,-90.08631088,0,1
18,"1101 ROYAL AVE STE B,MONROE,LA,71201-5643",0.0,1.0,0.0,32.51674217,-92.11561846,0,1
19,"111 NOEL DR,LAFAYETTE,LA,70503-3729",1.0,0.0,0.0,30.20184742,-92.05008507,0,1
20,"1111 NEWTON ST,NEW ORLEANS,LA,70114-2500",1.0,0.0,0.0,29.94531952,-90.04482291,0,1
21,"1112 WEBER ST,FRANKLIN,LA,70538-4125",1.0,0.0,0.0,29.79872732,-91.50515774,0,1
22,"1113A AUDUBON AVE,THIBODAUX,LA,70301-4940",1.0,0.0,0.0,29.78353782,-90.80763947,0,1
23,"1115 WEBER ST,FRANKLIN,LA,70538-4124",1.0,0.0,0.0,29.79841615,-91.50530954,0,1
24,"112 N SIXTH ST,OBERLIN,LA,70655-6109",1.0,0.0,0.0,30.62046044,-92.76166701,0,1
25,"1128 OLD SPANISH TRL,SLIDELL,LA,70458-5020",1.0,0.0,0.0,30.257880600000004,-89.77369289,0,1
26,"1128 PECANLAND RD STE 1,MONROE,LA,71203-7019",1.0,0.0,0.0,32.49892482,-92.06362483,0,1
27,"114 DEREK PLAZA DR STE E,CARENCRO,LA,70520-3644",1.0,0.0,0.0,30.321436699999996,-92.04013027,0,1
28,"1140 POLK ST STE A,MANSFIELD,LA,71052-2526",1.0,0.0,0.0,32.03755551,-93.7088325,0,1
29,"116 E TEXAS AVE,RAYNE,LA,70578-5822",2.0,0.0,0.0,30.23509448,-92.26805425,0,1
30,"116 SOUTH DR STE 102,NATCHITOCHES,LA,71457-5055",1.0,0.0,0.0,31.75037127,-93.08247526,0,1
31,"117 RUE FONTAINE,LAFAYETTE,LA,70508-5744",0.0,0.0,1.0,30.16982735,-92.02423144,0,1
32,"117 SAINT MICHAEL ST,THIBODAUX,LA,70301-3437",0.0,0.0,1.0,29.79596337,-90.81884307,0,1
33,"11918 SUNRAY AVE,BATON ROUGE,LA,70816-5316",1.0,0.0,0.0,30.42507654,-91.04917125,0,1
34,"11962 COURSEY BLVD,BATON ROUGE,LA,70816-4405",0.0,0.0,1.0,30.41119707,-91.04717791,0,1
35,"120 OCHSNER BLVD STE 300,GRETNA,LA,70056-5249",0.0,0.0,1.0,29.893056,-90.03058099,0,1
36,"1203 N 5TH ST,MONROE,LA,71201-5317",0.0,1.0,0.0,32.51414816,-92.12230605,0,1
37,"1204 N BROAD ST,NEW ORLEANS,LA,70119-3303",1.0,0.0,0.0,29.97462529,-90.07936038,0,1
38,"1217 WILLOW GLEN RIVER RD,ALEXANDRIA,LA,71302-5458",2.0,0.0,0.0,31.28617255,-92.42668876,0,1
39,"12183 RICHARDSON HILL RD,FOLSOM,LA,70437-5926",1.0,0.0,0.0,30.64679949,-90.20306592,0,1
40,"1219 N 19TH ST,MONROE,LA,71201-5435",1.0,0.0,0.0,32.52296646,-92.10915558,0,1
41,"12192 HIGHWAY 190 W,HAMMOND,LA,70401-4940",1.0,0.0,0.0,30.50438147,-90.52775099,0,1
42,"126 WESTFIELD DR,LAFAYETTE,LA,70503-5484",1.0,0.0,0.0,30.16571326,-92.07119262,0,1
