,State_County_Tract_FIPS_Code
22105954501,102
22071013600,98
22051027805,93
22103040604,89
22005030206,89
22063040500,87
22089062800,87
22095070500,86
22087030602,86
22051020201,85
22117950600,84
22103041002,84
22057021601,83
22033004604,56
22055001100,35
22073010800,34
22071003308,29
22033001700,28
22017022300,26
22109000201,26
22019000700,26
22071008200,26
22051021803,25
22103040709,25
22017024107,25
22051025600,25
22071007200,23
22079012302,23
22017024104,22
22051027806,21
22071000613,20
22073001700,20
22103040304,20
22055001406,19
22051027807,18
22015010602,18
22103040900,18
22051026600,18
22063040301,17
22103041004,17
22051020507,17
22071005400,17
22033004505,14
22063040700,14
22017023000,13
22015010805,12
22071003304,11
22037951600,10
22015010601,10
22017024503,10
22109001700,10
22045031100,10
22063040600,10
22005030203,9
22083970100,9
22001960900,9
22109000900,8
22003950400,8
22071001736,8
22039950600,8
22019001400,8
22033002000,8
22033003907,8
22061960800,8
22051020502,8
22051021200,8
22033000300,7
22105954300,7
22105953300,7
22063040100,7
22071009900,7
22103040305,7
22071003701,7
22005030300,7
22051023002,7
22105953800,6
22069000600,6
22033003906,6
22099020600,6
22015011110,6
22045030600,6
22033004602,6
22093040200,6
22001960800,6
22051021700,6
22051021801,6
22111960500,6
22127960300,6
22017024602,6
22079012400,6
22103040400,6
22017023400,6
22055001500,6
22063040201,6
22123000100,6
22051020102,5
22017021700,5
22073005500,5
22119031900,5
22043020300,5
22051027502,5
22105954200,5
22079012600,5
22121020200,5
22103041204,5
22073000200,5
22055000200,5
22085000500,5
22011960600,5
22033003801,5
22055002103,5
22033003910,5
22051027901,5
22037951300,5
22027950300,5
22037951502,5
22061960400,5
22037951501,5
22017024800,5
22113950800,5
22103040605,4
22055001411,4
22051027803,4
22103040201,4
22019000900,4
22033003908,4
22101041400,4
22055002200,4
22015010500,4
22051020302,4
22071000604,4
22013970300,4
22051026800,4
22009030600,4
22101040200,4
22063040901,4
22071008500,4
22033000200,4
22051023800,4
22103040303,4
22117950900,4
22071004900,4
22033004005,4
22019001903,3
22049970500,3
22071013700,3
22079013200,3
22019001201,3
22019001904,3
22001960600,3
22071006300,3
22047953101,3
22055001802,3
22041950300,3
22073000100,3
22079013000,3
22073010301,3
22063040401,3
22017023904,3
22005030900,3
22017023903,3
22089062100,3
22089062302,3
22071001750,3
22105953600,3
22033001800,3
22051021804,3
22071000400,3
22089063200,3
22119032000,3
22079010300,3
22019003101,3
22003950200,3
22053000500,3
22071014400,3
22019001000,3
22119031800,3
22105953400,3
22071005603,3
22011960400,3
22033004015,3
22109000101,3
22033001600,3
22083970500,3
22051025700,2
22039950400,2
22071010200,2
22067950500,2
22079013900,2
22079013800,2
22103040102,2
22051024800,2
22019002400,2
22097961000,2
22005031000,2
22009030400,2
22033003506,2
22051025400,2
22071006500,2
22051026300,2
22051022302,2
22083970600,2
22017021400,2
22051022400,2
22097961300,2
22097961500,2
22057022000,2
22055001409,2
22039950500,2
22031950400,2
22005030205,2
22055001407,2
22015011105,2
22033003802,2
22097961600,2
22067950800,2
22105953700,2
22077952000,2
22081960300,2
22061960900,2
22005030402,2
22071002501,2
22019001700,2
22027950500,2
22051023902,2
22113951100,2
22033003909,2
22015011300,2
22089062900,2
22091951100,2
22073010700,2
22089063100,2
22033004205,2
22033003507,2
22033004201,2
22055000700,2
22071001739,2
22021000100,2
22103040705,2
22033004011,2
22099020502,2
22051027804,2
22051023200,2
22029000200,2
22109000300,2
22017022100,2
22051022001,2
22087030800,2
22011960500,2
22051027000,2
22089062500,2
22073010302,2
22115950500,2
22057021400,2
22055001200,2
22051025103,2
22087030700,2
22033004800,2
22019002204,2
22071005000,2
22017023800,2
22069000500,2
22103041209,2
22097960900,2
22067950100,1
22107000300,1
22101040600,1
22047953200,1
22051025102,1
22071004500,1
22033001900,1
22051020202,1
22071001702,1
22051022101,1
22071008600,1
22005030204,1
22117950200,1
22097960300,1
22073000600,1
22017023901,1
22071009600,1
22125951800,1
22097961400,1
22047952900,1
22067950200,1
22071013400,1
22025000100,1
22067950400,1
22017024106,1
22071007101,1
22033004403,1
22103040202,1
22051021000,1
22047953102,1
22105954101,1
22019002100,1
22103040602,1
22047952600,1
22051025900,1
22029000400,1
22031950100,1
22051025003,1
22045030100,1
22019002700,1
22059970200,1
22029000300,1
22055001700,1
22097960500,1
22017023500,1
22051025300,1
22071006000,1
22111960100,1
22055001300,1
22017024400,1
22033005100,1
22055000604,1
22075050500,1
22103040501,1
22073000401,1
22001960400,1
22071003600,1
22033004006,1
22033004010,1
22113950100,1
22073010504,1
22027950400,1
22065960500,1
22017021500,1
22109001300,1
22105954600,1
22019000600,1
22055001403,1
22063040202,1
22055001801,1
22027950200,1
22001961000,1
22071002502,1
22071000903,1
22051022800,1
22053000700,1
22073010102,1
22009030500,1
22033004402,1
22071003702,1
22017024601,1
22099021000,1
22017022600,1
22103041207,1
22073005203,1
22071000200,1
22043020402,1
22055001001,1
22061960300,1
22091951200,1
22103041103,1
22017023905,1
22121020401,1
22033003101,1
22021000200,1
22117950500,1
22113950700,1
22093040600,1
22017024303,1
22053000300,1
22019001202,1
22051024400,1
22071004000,1
22113950500,1
22079011600,1
22019001100,1
22033005300,1
22017021200,1
22017025300,1
22057020100,1
22079011500,1
22071001747,1
22025000200,1
