id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US22001960100,,"Census Tract 9601, Acadia Parish, Louisiana",96,33,16,13,0,0,0,0,106,0,0,32,647,96,139,49,149,0,0,0,54,97,23,26,14,330,93,22,32,57,0,18,0,46,19,25,0,18,795,229,159,90,1273,1092251
1400000US22001960200,,"Census Tract 9602, Acadia Parish, Louisiana",0,0,0,46,0,85,0,0,0,13,0,140,449,0,0,17,66,74,18,4,0,26,37,35,172,474,0,0,36,25,24,21,28,0,75,43,61,161,288,206.5,143.5,569,1207,
1400000US22001960300,,"Census Tract 9603, Acadia Parish, Louisiana",42,58,0,8,20,24,0,0,81,0,115,61,367,0,26,0,23,0,23,13,0,110,0,111,61,249,0,108,0,12,0,12,0,0,22,53,42,0,297,178.5,159.5,390,1025,
1400000US22001960400,,"Census Tract 9604, Acadia Parish, Louisiana",24,38,55,56,96,0,16,21,83,239,64,48,504,26,30,3,42,0,0,0,21,63,105,65,149,707,50,10,11,79,54,37,14,0,97,77,83,195,574,230.5,542.5,604,1951,
1400000US22001960500,,"Census Tract 9605, Acadia Parish, Louisiana",0,119,0,0,0,0,0,89,196,190,0,35,646,88,210,0,0,22,0,0,0,196,0,64,66,570,42,47,0,0,0,15,0,0,85,60,20,301,528,342.5,488.5,486,1845,
1400000US22001960600,,"Census Tract 9606, Acadia Parish, Louisiana",22,100,13,0,18,0,323,0,33,0,0,51,338,13,55,14,0,142,41,31,0,0,42,0,0,610,0,0,76,75,113,0,0,49,15,48,184,50,641,468,114,285,1508,
1400000US22001960700,,"Census Tract 9607, Acadia Parish, Louisiana",64,35,35,13,0,11,0,38,227,25,102,77,321,60,36,27,0,55,0,0,0,83,10,50,0,341,142,37,17,0,0,33,0,12,57,22,11,10,521,277.5,240.5,250,1289,
1400000US22001960800,,"Census Tract 9608, Acadia Parish, Louisiana",0,43,376,0,23,0,0,0,15,0,12,24,395,0,18,61,14,22,0,0,13,32,135,42,58,503,33,74,56,68,0,44,0,28,0,61,13,126,788,108.5,219.5,275,1391,
1400000US22001960900,,"Census Tract 9609, Acadia Parish, Louisiana",290,97,0,0,0,0,0,0,53,10,0,0,612,198,89,91,8,28,0,0,0,114,22,0,62,575,122,60,55,0,61,65,0,0,26,57,40,89,1099,161.5,185.5,191,1637,
1400000US22001961000,,"Census Tract 9610, Acadia Parish, Louisiana",82,0,46,14,0,15,0,0,0,39,14,7,532,220,105,88,0,48,71,0,0,0,0,0,0,418,248,66,0,0,60,0,0,29,0,15,0,0,977,115,54,21,1167,
1400000US22001961100,,"Census Tract 9611, Acadia Parish, Louisiana",19,79,10,5,0,5,8,0,81,36,3,44,459,14,68,92,37,53,1,14,14,49,60,15,42,379,4,62,71,50,23,3,6,6,47,22,17,68,587,145.5,206.5,189,1128,
1400000US22001961200,,"Census Tract 9612, Acadia Parish, Louisiana",28,44,18,0,19,0,0,0,104,10,0,25,283,9,0,19,0,19,23,0,0,97,38,26,52,291,31,29,21,52,0,25,0,0,11,15,64,43,289,154,169,210,822,
1400000US22003950100,,"Census Tract 9501, Allen Parish, Louisiana",25,29,18,0,8,1,0,0,48,19,7,45,399,6,5,14,29,23,6,0,27,92,51,27,119,586,0,4,26,131,39,89,0,21,57,111,0,108,357,242.5,279.5,306,1185,
1400000US22003950200,,"Census Tract 9502, Allen Parish, Louisiana",70,6,29,0,0,41,0,0,93,17,0,0,238,77,27,30,0,0,83,0,0,21,0,0,0,73,0,0,7,0,0,47,0,0,0,19,0,0,246,228,93,0,567,
1400000US22003950300,,"Census Tract 9503, Allen Parish, Louisiana",124,0,105,46,36,0,0,0,0,28,0,6,240,44,0,74,26,16,0,0,0,33,47,0,0,95,0,0,33,0,0,0,0,0,18,6,0,38,504,25.5,106.5,44,680,
1400000US22003950400,,"Census Tract 9504, Allen Parish, Louisiana",32,29,31,34,30,42,8,6,45,144,4,7,360,34,0,25,25,33,63,13,5,47,63,4,48,410,32,25,12,33,14,8,24,42,40,101,59,20,389,277,374,142,1182,
1400000US22003950500,,"Census Tract 9505, Allen Parish, Louisiana",47,1,53,68,59,71,33,10,188,13,85,23,621,0,31,16,36,79,30,27,3,171,58,48,122,633,77,13,72,1,2,77,14,0,97,142,96,42,555,493,441,416,1905,
1400000US22005030101,,"Census Tract 301.01, Ascension Parish, Louisiana",64,0,116,0,0,37,16,23,141,121,218,263,1025,36,25,89,46,0,0,0,21,142,360,134,172,479,36,23,0,0,0,42,0,0,27,72,44,235,435,294,708,1066,2503,
1400000US22005030102,,"Census Tract 301.02, Ascension Parish, Louisiana",0,32,11,0,0,0,0,10,10,83,43,128,514,20,0,23,13,23,52,0,54,89,79,95,66,383,20,37,27,0,34,0,0,9,49,79,34,94,240,199,315,460,1214,
1400000US22005030103,,"Census Tract 301.03, Ascension Parish, Louisiana",93,0,0,0,64,0,0,0,0,106,108,25,542,50,0,0,0,57,0,0,0,99,91,71,174,543,51,0,0,0,0,0,0,0,183,199,67,43,315,141,537,488,1481,
