idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 BIRDSEYE AVE,CARIBOU,ME,04736-1603",1.0,0.0,0.0,46.85266852,-68.01068313,1,0
1,"1 COLLEGE ST,PORTLAND,ME,04103-2617",8.583333333333332,0.5,2.9166666666666665,43.68352331,-70.29381877,1,0
2,"1 CUMBERLAND PL,BANGOR,ME,04401-5083",0.8333333333333333,0.0,0.0,44.80517316,-68.77370690000001,1,0
3,"1 NORTH ST,PRESQUE ISLE,ME,04769-2240",0.5,0.0,0.0,46.68828342,-68.01241166,1,0
4,"10 CARTER ST,EAGLE LAKE,ME,04739",0.3333333333333333,0.0,0.0,47.03646467,-68.59545209,1,0
5,"10 EVERETT ST,BRUNSWICK,ME,04011-2404",1.0,0.0,0.0,43.91340211,-69.96563894,1,0
6,"10 KNOX ST,RUMFORD,ME,04276-2010",1.0,0.0,0.0,44.54477348,-70.54932268,1,0
7,"10 MARKET SQ STE 3,SOUTH PARIS,ME,04281-1573",2.0,0.0,0.0,44.22360154,-70.51295249,1,0
8,"10 WAYMAN LN,BAR HARBOR,ME,04609-1625",0.5,0.0,0.0,44.38445534,-68.20200717,1,0
9,"1012 UNION ST,BANGOR,ME,04401-3060",2.8428571428571434,0.0,0.0,44.81581199,-68.80774359,1,0
10,"1048 UNION ST,BANGOR,ME,04401-3016",5.1761904761904765,0.0,0.8333333333333333,44.81649696,-68.80917459,1,0
11,"1056 COMMERCIAL ST,ROCKPORT,ME,04856-3801",1.0,0.0,0.0,44.13142127,-69.09480759,1,0
12,"1060 COMMERCIAL ST,ROCKPORT,ME,04856-3801",2.5,0.0,0.0,44.13100259,-69.09495634,1,0
13,"1065 LISBON ST,LEWISTON,ME,04240-5749",1.0,0.0,0.0,44.08000795,-70.19428570000001,1,0
14,"11 BRICKYARD LN,YORK,ME,03909-1604",0.0,0.0,1.0,43.14872216,-70.67776209,1,0
15,"11 MECHANIC ST,BUCKSPORT,ME,04416-4088",0.5,0.0,0.0,44.57291822,-68.79582912,1,0
16,"11 MIDDLE ST,AUGUSTA,ME,04330-5210",0.0,0.0,1.0,44.31422427,-69.76643842,1,0
17,"110 AUBURN ST,PORTLAND,ME,04103-2128",2.0,0.0,0.0,43.70330494,-70.28944631,1,0
18,"110 BROADWAY,BUCKSPORT,ME,04416-4612",1.0333333333333332,0.0,0.0,44.57551028,-68.78010661,1,0
19,"110 MAIN ST,SACO,ME,04072-3509",0.5,0.0,0.0,43.49533746,-70.44826758,1,0
20,"1107 FOREST AVE,PORTLAND,ME,04103-3323",1.0,0.0,0.0,43.6851923,-70.2918329,1,0
21,"118 NORTHPORT AVE,BELFAST,ME,04915-6009",0.5,0.0,0.0,44.41270575,-68.99497578,1,0
22,"12 BOLDUC AVE,FORT KENT,ME,04743-1602",0.3333333333333333,0.0,0.0,47.26468099,-68.58982568,1,0
23,"12 DRIVE IN LN,WINDHAM,ME,04062-5818",0.25,0.0,0.8333333333333333,43.82526335,-70.43272529,1,0
24,"12 SHUMAN AVE,AUGUSTA,ME,04330-6020",0.25,0.0,0.0,44.32138395,-69.82246636,1,0
25,"12 STILLWATER AVE,BANGOR,ME,04401-3984",1.25,0.0,0.0,44.81300239,-68.76831239,1,0
26,"12 VILLAGE GREEN WAY,SOUTHWEST HARBOR,ME,04679-4226",0.75,0.0,0.0,44.28033487,-68.32696847,1,0
27,"120 SOUTH ST,BLUE HILL,ME,04614-6120",1.0,0.0,0.0,44.40128974,-68.59062515,1,0
28,"122 ACADEMY ST,PRESQUE ISLE,ME,04769-3005",1.0,0.0,0.0,46.67712174,-68.00152745,1,0
29,"1250 CONGRESS ST,PORTLAND,ME,04102-2161",2.5,0.0,0.0,43.65761007,-70.29095891,1,0
30,"1250 FOREST AVE,PORTLAND,ME,04103-1889",1.0,0.0,0.5,43.68938298,-70.29547224,1,0
31,"131 FRANKLIN HEALTH CMNS,FARMINGTON,ME,04938-6142",2.566666666666667,0.0,0.2,44.62514877,-70.16440038,1,0
32,"131 JOHNSON RD,PORTLAND,ME,04102-1988",0.25,0.0,0.8333333333333333,43.64791005,-70.32779896,1,0
33,"1332 POST RD,WELLS,ME,04090-4561",1.0,0.0,0.0,43.3149826,-70.58415163,1,0
34,"1334 WASHINGTON AVE,PORTLAND,ME,04103-3670",2.0,0.0,0.0,43.69833894,-70.28693851,1,0
35,"14 MERRILL ST,FARMINGDALE,ME,04344-1622",1.0,0.0,0.0,44.26213715,-69.77921178,1,0
36,"1407 BROADWAY,BANGOR,ME,04401-2403",1.25,0.0,0.0,44.84360511,-68.79860992,1,0
37,"1416 POST RD,WELLS,ME,04090-4508",1.0,0.0,0.0,43.31734187,-70.58312258,1,0
38,"149 NORTH ST,WATERVILLE,ME,04901-4974",0.5095238095238095,0.0,0.0,44.56430770000001,-69.64724249,1,0
39,"15 E CHESTNUT ST,AUGUSTA,ME,04330-5736",0.3666666666666667,0.0,0.0,44.31327639,-69.76757887,1,0
40,"15 GOLDSMITH LN,OLD TOWN,ME,04468-1489",1.0,0.0,0.0,44.93756298,-68.64815836,1,0
41,"15 MEDICAL CENTER LOOP,VINALHAVEN,ME,04863-4119",1.25,0.0,0.0,44.046477,-68.83049026,1,0
42,"150 DRESDEN AVE,GARDINER,ME,04345-2615",0.14285714285714285,0.0,0.0,44.22136469,-69.76993475,1,0
43,"151 STATE ST STE 2,BANGOR,ME,04401-5319",1.0,0.0,0.0,44.80420845,-68.76457087,1,0
44,"151 STATE ST,BANGOR,ME,04401-5319",1.0,0.0,0.0,44.80420845,-68.76457087,1,0
45,"152 US ROUTE 1,SCARBOROUGH,ME,04074-8365",1.0,0.0,0.0,43.59713867,-70.32412051,1,0
46,"16 E CHESTNUT ST,AUGUSTA,ME,04330-5718",0.0,0.3333333333333333,0.0,44.31317767,-69.76733420000001,1,0
47,"16 GROVE ST,BANGOR,ME,04401-5310",1.0,0.0,0.0,44.80446037,-68.76484196,1,0
48,"16 INDUSTRIAL DR,AUGUSTA,ME,04330-7857",0.0,0.3333333333333333,0.0,44.35570366,-69.79967111,1,0
49,"1601 CONGRESS ST STE 6,PORTLAND,ME,04102-2102",0.0,0.5,0.0,43.65992541,-70.30723789,1,0
50,"1601 CONGRESS ST,PORTLAND,ME,04102-2102",1.0,0.0,1.1666666666666663,43.65992541,-70.30723789,1,0
51,"163 HOLLIS RD,HOLLIS CENTER,ME,04042-4002",1.0,0.0,0.0,43.59802034,-70.56977854,1,0
52,"163 PLEASANT AVE,PORTLAND,ME,04103-3242",1.0,0.0,0.0,43.67394648,-70.29324122,1,0
53,"166 ACADEMY ST,PRESQUE ISLE,ME,04769-3180",0.0,0.0,1.0,46.67615561,-67.99566652,1,0
54,"168 W BROADWAY,LINCOLN,ME,04457-4003",1.0,0.0,0.0,45.36063998,-68.52065787,1,0
55,"169 WATER ST,AUGUSTA,ME,04330-4607",2.0,0.0,0.0,44.31722153,-69.77334946,1,0
56,"171 CONGRESS AVE,BATH,ME,04530-1531",4.0,0.0,1.0,43.91602345,-69.83323068,1,0
57,"175 ACADEMY ST STE 1,PRESQUE ISLE,ME,04769-3103",0.0,0.0,1.0,46.6760614,-67.99407755,1,0
58,"175 ACADEMY ST,PRESQUE ISLE,ME,04769-3103",0.0,0.0,0.3333333333333333,46.6760614,-67.99407755,1,0
59,"175 NARRAGANSETT TRL,BUXTON,ME,04093-6139",2.0,0.0,0.0,43.60156725,-70.53932734,1,0
60,"175 WATER ST,AMHERST,ME,04605-2049",1.0,0.0,0.0,44.53898326,-68.42291169,1,0
61,"176 ACADEMY ST,PRESQUE ISLE,ME,04769-3145",0.0,0.0,1.0,46.67598056,-67.99369494,1,0
62,"177 MAIN ST,LEWISTON,ME,04240-7016",2.566666666666667,0.0,0.2,44.09905464,-70.21764328,1,0
63,"179 ACADEMY ST,PRESQUE ISLE,ME,04769-3103",1.0,0.0,0.0,46.67601746,-67.99350049,1,0
64,"179 INDIANA AVE,BANGOR,ME,04401-4365",0.25,0.0,0.0,44.80486047,-68.80637469999999,1,0
65,"181 ACADEMY ST,PRESQUE ISLE,ME,04769-3178",0.0,0.0,1.0,46.67595645,-67.99282056,1,0
66,"185 MAIN ST,WATERVILLE,ME,04901-6625",3.0,0.0,0.0,44.55208288,-69.63095158,1,0
67,"189 NORTHPORT AVE,BELFAST,ME,04915-6004",1.0,0.0,0.0,44.40796521,-68.9927723,1,0
68,"19 FAHY ST,BELFAST,ME,04915-6028",2.0,0.0,0.0,44.41204462,-68.99296945,1,0
69,"2 DENTAL AVE,BIDDEFORD,ME,04005-3818",1.0,0.0,0.0,43.48394048,-70.46895062,1,0
70,"2 QUEENS WAY,WATERVILLE,ME,04901-5267",1.0,0.0,0.0,44.55010824,-69.64483564,1,0
71,"2 STILSON ST,SANFORD,ME,04073-3228",1.0,0.0,0.0,43.42797158,-70.76710376,1,0
72,"20 LONG CREEK DR,S PORTLAND,ME,04106-2425",1.0,0.0,1.8333333333333333,43.63583506,-70.32141634,1,0
73,"20 W COLE RD,BIDDEFORD,ME,04005-9455",0.0,0.25,0.8333333333333333,43.47918268,-70.48779645,1,0
74,"206 MAIN ST,FORT FAIRFIELD,ME,04742-1121",0.5,0.0,0.0,46.76980992,-67.82499396,1,0
75,"210 SABATTUS ST,LEWISTON,ME,04240-6347",1.0,0.0,0.0,44.1002474,-70.20470472,1,0
76,"211 MOUNT AUBURN AVE,AUBURN,ME,04210-8521",1.0,0.0,2.0,44.1228553,-70.24304869,1,0
77,"219 MOUNT AUBURN AVE,AUBURN,ME,04210-8521",0.0,0.0,1.0,44.12287726,-70.24316567,1,0
78,"22 BRAMHALL ST,PORTLAND,ME,04102-3134",0.0,0.0,2.583333333333333,43.65259921,-70.27465997,1,0
79,"221 EASTERN AVE,AUGUSTA,ME,04330-5930",0.5,0.0,0.0,44.30692966,-69.75107467,1,0
80,"224 STATE ST,BANGOR,ME,04401-5434",0.0,0.0,0.3333333333333333,44.80541878,-68.76146145,1,0
81,"2252 MAIN ST,RANGELEY,ME,04970-4021",1.0,0.0,0.0,44.95729421,-70.63881978,1,0
82,"228 MIDDLE RD,BOOTHBAY HARBOR,ME,04538-1738",1.0,0.0,0.0,43.86913627,-69.63999911,1,0
83,"229 MAIN ST,WATERVILLE,ME,04901-6119",1.0,0.0,0.0,44.55530874,-69.63177742,1,0
84,"23 MAIN STREET HL,DEXTER,ME,04930-1480",1.0,0.0,0.0,45.02382718,-69.28651018,1,0
85,"23 WABANAKI WAY,INDIAN ISLAND,ME,04468-1252",0.0,0.0,0.5,44.94951252,-68.64771742,1,0
86,"23 WATER ST,SACO,ME,04072-5119",0.0,0.0,0.3333333333333333,43.49718955,-70.44781692,1,0
87,"232 BROADWAY,ROCKLAND,ME,04841-2610",0.0,0.0,1.0,44.10652161,-69.11739032,1,0
88,"236 ATLANTIC HWY,WARREN,ME,04864-4312",1.0,0.0,0.0,44.08115087,-69.22549433,1,0
89,"24 PENN PLZ,BANGOR,ME,04401-3620",0.5,0.0,0.0,44.83578648,-68.74938556,1,0
90,"242 BRUNSWICK ST,OLD TOWN,ME,04468-1613",1.592857142857143,0.0,0.8333333333333333,44.93263193,-68.64704281,1,0
91,"248 STATE ST,ELLSWORTH,ME,04605",0.25,0.0,0.0,44.55142202,-68.42820669,1,0
92,"25 LONG CREEK DR,S PORTLAND,ME,04106-2440",1.0,0.0,0.0,43.63554443,-70.32236453,1,0
93,"250B ARSENAL STREET,AUGUSTA,ME,04333-0001",0.14285714285714285,0.0,0.0,44.30058516,-69.76954244,1,0
94,"251 US ROUTE 1,FALMOUTH,ME,04105-1322",1.0,0.0,0.0,43.72213001,-70.23251590000001,1,0
95,"269 WATER ST,AUGUSTA,ME,04330-4645",2.3095238095238093,0.0,0.0,44.31513328,-69.77421019,1,0
96,"271 MAIN ST,OGUNQUIT,ME,03907-3216",1.0,0.0,0.0,43.25092443,-70.60020109999998,1,0
97,"276 CANCO RD,PORTLAND,ME,04103-4351",0.0,0.0,2.0,43.68777517,-70.28047678,1,0
98,"277 STATE ST,BANGOR,ME,04401-5439",1.0,0.0,0.0,44.80632134,-68.7588906,1,0
99,"28 OLD WESTERN AVE,WINTHROP,ME,04364-4060",1.0,0.0,0.0,44.29906015,-69.98143032,1,0
100,"28 W COLE RD,BIDDEFORD,ME,04005-9428",1.0,0.0,1.0,43.47894947,-70.48763684,1,0
101,"284 CUMBERLAND AVE,PORTLAND,ME,04101-4927",1.0,0.0,0.0,43.65942276,-70.25896490000001,1,0
102,"295 STATE ST,AUGUSTA,ME,04330-7036",0.16666666666666666,0.0,0.0,44.30018181,-69.78271432,1,0
103,"3 MOUNTAINVIEW DR,FORT KENT,ME,04743-1614",0.3333333333333333,0.0,0.0,47.26799523,-68.59184026,1,0
104,"30 CONCOURSE W,WATERVILLE,ME,04901-6007",1.0,0.0,0.0,44.55018105,-69.63071347,1,0
105,"300 TECHNOLOGY WAY,SCARBOROUGH,ME,04074-7654",1.0,2.0,0.0,43.59053776,-70.35417581,1,0
106,"306 US ROUTE 1,SCARBOROUGH,ME,04074-7640",1.3333333333333333,0.0,0.0,43.58818471,-70.34686975,1,0
107,"31 COMMERCE PARK,ELLSWORTH,ME,04605-3383",0.5,0.0,0.0,44.56189135,-68.4335981,1,0
108,"32 BLOSSOM LANE,AUGUSTA,ME,04333-0001",0.3333333333333333,0.0,0.0,44.30371844,-69.76801116,1,0
109,"325 KENNEDY MEMORIAL DR # C,WATERVILLE,ME,04901-4517",0.0,0.3333333333333333,0.0,44.54435033,-69.67123942,1,0
110,"325 MAIN ST,ELLSWORTH,ME,04605-1511",0.5,0.0,0.0,44.54569158,-68.4129418,1,0
111,"325D KENNEDY MEMORIAL DR,WATERVILLE,ME,04901-4530",1.0,0.0,0.0,44.54423439,-69.67005099,1,0
112,"33 GRIFFIN ST,NORTHPORT,ME,04849-4445",1.0,0.0,0.0,44.37850301,-68.97010933,1,0
113,"33 WALKER ST,ASHLAND,ME,04732-3429",0.3333333333333333,0.0,0.0,46.62816274,-68.39197299,1,0
114,"334 AUGUSTA RD,WINSLOW,ME,04901-7167",1.0,0.0,0.0,44.52981503,-69.63941745,1,0
115,"336 MOUNT HOPE AVE STE 10,BANGOR,ME,04401-4236",1.0,0.0,0.0,44.81732805,-68.75197237,1,0
116,"339 MAIN ST,SACO,ME,04072-1514",1.0,0.0,0.0,43.50024129,-70.44350967,1,0
117,"348 US ROUTE 1,FREEPORT,ME,04032-7016",1.0,0.0,0.0,43.829728700000004,-70.13286501,1,0
118,"35 MEDICAL CENTER PKWY,AUGUSTA,ME,04330-8160",0.5095238095238095,0.0,0.0,44.36064193,-69.781995,1,0
119,"356 AIRPORT RD,STONINGTON,ME,04681-3217",1.0,0.0,0.0,44.18011826,-68.66614143,1,0
