,State_County_Tract_FIPS_Code
23019000700,24
23031025100,22
23005002102,21
23005001700,18
23017965500,15
23007971200,15
23001020100,14
23011010300,11
23009965503,11
23019000200,9
23013970500,9
23011010500,9
23005002002,8
23019007100,8
23003951900,8
23011024102,7
23023970500,7
23019031100,7
23005003000,6
23005001300,6
23025965301,5
23027043000,5
23019000300,5
23005002502,5
23005002200,5
23009965300,4
23001010200,4
23011010100,4
23005004801,4
23011024101,4
23031020000,4
23005017301,4
23019000500,3
23031005300,3
23031034001,3
23005011201,3
23023970302,3
23005001900,3
23009966100,3
23019004200,3
23005002501,3
23011010400,3
23011024200,3
23001020300,3
23009965900,3
23021960700,2
23011010200,2
23019013000,2
23029955400,2
23019027000,2
23017966200,2
23005017304,2
23011010802,2
23005002101,2
23003952500,2
23013971100,2
23005011202,2
23011014000,2
23003950700,2
23001010500,2
23031028001,2
23005014000,2
23017966900,2
23011025000,1
23025966600,1
23011023002,1
23005002900,1
23031030203,1
23005003400,1
23011011000,1
23031030201,1
23005012000,1
23003951800,1
23021960301,1
23005000300,1
23029956200,1
23031036002,1
23009965100,1
23031025202,1
23003952000,1
23001030200,1
23009965504,1
23015975500,1
23031021000,1
23011023001,1
23003950900,1
23003951400,1
23019940000,1
23007970601,1
23015975200,1
23009966600,1
23005002001,1
23003952400,1
23013970400,1
23013970700,1
23005000500,1
23015976200,1
23003951700,1
23019015000,1
23019000900,1
23027044000,1
23019004100,1
23013970300,1
23001020600,1
23009966300,1
23011020500,1
23005004502,1
23025966800,1
23029956400,1
23019021500,1
23029955500,1
23031030202,1
23031024000,1
23003950600,1
