id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US23001010100,,"Census Tract 101, Androscoggin County, Maine",23,15,35,5,0,0,12,0,6,0,0,0,119,21,20,56,6,0,0,0,0,16,0,0,0,109,0,0,29,24,0,0,25,0,22,0,9,0,234,42.72,38.28,9,324,247973
1400000US23001010200,,"Census Tract 102, Androscoggin County, Maine",0,0,128,14,47,32,0,0,94,0,81,0,276,0,0,0,0,131,36,0,0,0,76,33,0,188,0,0,21,0,0,0,0,0,0,20,147,0,375,46.22,177.78,261,860,
1400000US23001010300,,"Census Tract 103, Androscoggin County, Maine",44,44,0,46,8,80,0,0,34,25,11,0,164,33,21,0,38,0,9,0,0,49,0,14,0,194,0,14,0,0,26,21,0,67,52,0,14,0,329,139.55,142.45,39,650,
1400000US23001010400,,"Census Tract 104, Androscoggin County, Maine",6,0,0,29,0,0,0,12,50,18,0,11,137,0,0,0,17,0,37,0,0,11,44,14,14,175,0,0,0,0,50,10,0,17,55,43,0,0,125.5,67.58,205.92,39,438,
1400000US23001010500,,"Census Tract 105, Androscoggin County, Maine",35,85,0,0,35,8,9,0,6,8,18,0,120,29,29,0,0,0,14,7,0,41,0,0,0,191,36,8,12,8,30,27,0,0,38,25,7,0,331.5,51.55,106.95,25,515,
1400000US23001010600,,"Census Tract 106, Androscoggin County, Maine",0,8,0,18,57,0,34,14,38,38,0,40,210,0,0,0,4,38,0,38,0,51,47,16,16,199,0,0,0,10,13,0,29,0,40,15,5,87,148,131.77,212.23,164,656,
1400000US23001010700,,"Census Tract 107, Androscoggin County, Maine",0,12,8,9,12,0,0,0,32,68,88,88,224,18,0,0,0,0,0,0,0,27,38,141,0,174,17,0,0,0,12,0,13,0,22,8,34,68,88,23.53,184.47,419,715,
1400000US23001010800,,"Census Tract 108, Androscoggin County, Maine",0,0,0,0,12,0,0,0,71,34,21,25,378,14,0,0,0,13,0,0,0,132,91,27,101,321,22,0,0,11,14,11,5,0,60,24,0,174,91.5,44.69,377.81,348,862,
1400000US23001020100,,"Census Tract 201, Androscoggin County, Maine",59,22,10,23,15,0,0,0,0,0,0,0,32,13,0,0,0,0,0,0,0,0,19,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,154,0,19,0,173,
1400000US23001020200,,"Census Tract 202, Androscoggin County, Maine",61,0,8,11,7,28,0,0,9,0,0,8,77,21,0,0,0,0,0,0,20,17,10,9,0,114,26,8,41,0,8,3,0,10,8,0,7,3,206.5,49.92,39.58,27,323,
1400000US23001020300,,"Census Tract 203, Androscoggin County, Maine",55,78,0,30,0,0,0,0,47,0,0,0,250,71,73,0,0,0,0,0,0,12,30,64,0,197,20,18,0,0,24,0,76,42,0,0,17,0,369,125.67,81.33,81,657,
1400000US23001020400,,"Census Tract 204, Androscoggin County, Maine",80,55,57,36,65,11,0,0,0,0,0,0,361,88,83,41,4,118,0,0,0,0,27,0,0,235,20,50,0,0,98,0,0,0,35,32,0,0,800.5,10.05,89.45,0,900,
1400000US23001020500,,"Census Tract 205, Androscoggin County, Maine",40,38,7,0,0,0,14,0,92,56,16,35,299,53,21,24,0,0,5,0,0,141,55,0,0,249,68,39,0,0,23,0,0,0,78,34,7,0,315.5,56.93,415.57,58,846,
1400000US23001020600,,"Census Tract 206, Androscoggin County, Maine",0,0,0,0,0,20,0,0,62,19,15,37,154,0,21,0,47,0,40,0,0,19,27,0,0,79,0,0,0,0,0,0,0,0,39,11,20,9,98,45.6,161.4,81,386,
1400000US23001020700,,"Census Tract 207, Androscoggin County, Maine",9,128,9,30,45,21,0,0,29,20,7,0,312,0,46,19,0,0,0,0,38,128,17,64,0,280,0,0,0,0,0,87,0,37,119,0,0,37,340,164.88,277.12,108,890,
1400000US23001020800,,"Census Tract 208, Androscoggin County, Maine",67,0,0,0,99,23,0,0,76,61,30,249,381,47,35,0,0,0,0,23,0,47,113,32,84,561,25,59,0,0,0,0,0,0,141,48,34,254,343.5,68.82,451.68,683,1547,
1400000US23001020900,,"Census Tract 209, Androscoggin County, Maine",48,27,0,96,15,0,0,0,44,27,0,41,276,55,20,0,13,13,14,10,0,85,17,25,24,348,75,19,15,42,24,32,0,0,23,50,0,68,485,52.76,226.24,158,922,
