idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 BARRINGTON PL STE 100,BEL AIR,MD,21014-5607",1.0,1.0526315789473684,0.0,39.50613465,-76.32866995,1,0
1,"1 MARYLAND AVE STE A,GAITHERSBURG,MD,20877-2756",1.0,0.0,0.0,39.14521757,-77.20198521,1,0
2,"10 DISTILLERY RD STE 200,WESTMINSTER,MD,21157-5344",0.5,0.0,0.0,39.57553607,-76.99448273,1,0
3,"10 W BROADWAY,BEL AIR,MD,21014-3555",0.0,0.0,0.5,39.53873387,-76.35572623,1,0
4,"100 E BEL AIR AVE,ABERDEEN,MD,21001-3837",0.6000000000000001,0.2,0.0,39.50635254,-76.15758443,1,0
5,"100 E CARROLL ST,SALISBURY,MD,21801-5422",0.0,0.25,0.0,38.36307255,-75.59893239,1,0
6,"100 N 6TH ST,DENTON,MD,21629-1110",0.2332344826278092,0.0,0.02325581395348837,38.88589544,-75.8266122,1,0
7,"100 OWINGS CT STE 16,REISTERSTOWN,MD,21136-6433",0.3333333333333333,0.0,0.3333333333333333,39.44672446,-76.81618814,1,0
8,"100 SEYMOUR AVE,SAINT MICHAELS,MD,21663-2930",0.1423253917187183,0.0,0.02325581395348837,38.78098454,-76.21783765,1,0
9,"100 TUSCANNY DR UNIT C,FREDERICK,MD,21702-5958",1.0,0.0,0.0,39.44077032,-77.43861633,1,0
10,"100 TUSCANNY DR UNIT D,FREDERICK,MD,21702-5975",0.0,0.0,0.5,39.44077032,-77.43861633,1,0
11,"100 W PADONIA RD STE 2E,TIMONIUM,MD,21093-2105",1.0,0.0,0.0,39.45564048,-76.63580290000002,1,0
12,"1000 E EAGER ST,BALTIMORE,MD,21202-5533",2.1666666666666665,0.0,0.0,39.30154744,-76.60302173,1,0
13,"10007 STEDWICK RD,MONTGOMERY VILLAGE,MD,20886-3710",0.3333333333333333,0.0,0.0,39.17017402,-77.20663742,1,0
14,"1001 E FAYETTE ST,BALTIMORE,MD,21202-4715",0.5,0.0,0.0,39.29155214,-76.60318521,1,0
15,"1001 NORTH POINT BLVD STE 501,BALTIMORE,MD,21224-3413",0.0,0.0,1.0,39.29120111,-76.50968866,1,0
16,"1001 NORTH POINT BLVD STE 503,BALTIMORE,MD,21224-3413",0.5,1.0,0.0,39.29120111,-76.50968866,1,0
17,"10020 COLESVILLE RD STE B,SILVER SPRING,MD,20901-2341",1.0,0.0,0.0,39.01929074,-77.01386372,1,0
18,"10020 SOUTHERN MARYLAND BLVD STE 201A,DUNKIRK,MD,20754-3036",1.0,0.0,0.0,38.71480092,-76.65904842,1,0
19,"10025 GOVERNOR WARFIELD PKWY STE 217,COLUMBIA,MD,21044-3329",1.0,0.0,0.0,39.22032785,-76.86033501,1,0
20,"10025 GOVERNOR WARFIELD PKWY STE 218,COLUMBIA,MD,21044-3336",0.5,0.0,0.0,39.22032785,-76.86033501,1,0
21,"10025 HG TRUEMAN RD,LUSBY,MD,20657-2868",1.7916666666666667,0.0,0.0,38.40116569,-76.43799014,1,0
22,"1003 4TH ST,LAUREL,MD,20707-3801",1.0,0.0,0.0,39.09728453,-76.85643133,1,0
23,"10030 BALTIMORE NATIONAL PIKE STE D120,ELLICOTT CITY,MD,21042-3608",0.0,0.0,0.5,39.27930646,-76.85699808,1,0
24,"10035 BALTIMORE NATIONAL PIKE STE 320,ELLICOTT CITY,MD,21042-3877",1.0,0.3333333333333333,0.0,39.27911857,-76.85738245,1,0
25,"10040 BALTIMORE NATIONAL PIKE STE E110,ELLICOTT CITY,MD,21042-3796",1.5,0.0,0.0,39.27935648,-76.857759,1,0
26,"1008 INGLESIDE AVE,CATONSVILLE,MD,21228-1317",2.0,0.0,0.0,39.29129564,-76.7312617,1,0
27,"10085 DUNKIRK WAY STE 202,DUNKIRK,MD,20754-2025",3.0,0.0,0.0,38.7160268,-76.65862943,1,0
