,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
455,1400000US24001000100,"Census Tract 1, Allegany County, Maryland",20,0,0,36,0,0,10,0,17,12,12,63,159,20,0,21,46,15,0,0,0,47,10,0,0,318,28,0,59,32,39,0,12,0,61,39,10,38,278.2,198.22,47.58,123,647,1324654
447,1400000US24001001000,"Census Tract 10, Allegany County, Maryland",0,0,0,10,24,7,0,38,19,0,0,0,118,14,0,23,0,27,34,0,0,0,7,0,13,206,9,0,68,17,0,38,0,0,74,0,0,0,156.3,247.24,5.46,13,422,
448,1400000US24001001100,"Census Tract 11, Allegany County, Maryland",0,0,0,0,9,6,0,8,14,0,0,8,60,5,0,0,0,0,15,7,0,6,0,13,14,57,9,0,0,20,0,8,0,0,0,20,0,0,36.7,74.7,15.6,35,162,
437,1400000US24001001200,"Census Tract 12, Allegany County, Maryland",0,0,0,6,0,42,0,0,46,11,11,12,219,15,0,0,0,0,9,0,0,11,83,28,73,281,13,0,0,0,0,0,0,0,110,75,0,83,34,255.18,131.82,207,628,
443,1400000US24001001300,"Census Tract 13, Allegany County, Maryland",30,5,7,0,16,0,0,0,39,32,5,10,98,4,4,11,0,0,0,0,0,40,14,0,25,138,0,0,0,9,12,0,0,0,50,43,15,9,78.4,168.18,69.42,64,380,
450,1400000US24001001401,"Census Tract 14.01, Allegany County, Maryland",21,0,0,0,0,0,0,32,0,50,0,63,130,22,0,0,0,0,0,0,0,0,6,18,84,200,21,9,0,0,14,0,0,0,0,16,65,75,77.2,57.64,56.16,305,496,
449,1400000US24001001402,"Census Tract 14.02, Allegany County, Maryland",0,0,0,5,0,0,0,4,40,0,4,11,76,0,9,0,11,9,0,8,7,18,0,6,8,67,0,5,0,0,11,0,8,0,0,26,8,9,36,104.72,20.28,46,207,
440,1400000US24001001502,"Census Tract 15.02, Allegany County, Maryland",0,0,21,0,19,7,0,0,28,3,6,4,117,0,15,6,0,32,11,0,0,30,6,17,0,134,7,6,11,0,45,9,0,0,33,12,5,6,94.8,189.82,16.38,38,339,
413,1400000US24001001503,"Census Tract 15.03, Allegany County, Maryland",0,0,0,2,6,0,0,0,42,22,5,7,83,0,0,0,2,40,6,4,0,12,5,14,0,92,0,0,0,0,16,7,0,0,39,24,0,6,22.6,164.62,39.78,32,259,
451,1400000US24001001600,"Census Tract 16, Allegany County, Maryland",0,14,15,0,0,0,0,0,8,6,10,3,60,0,8,0,0,0,0,0,0,6,28,13,5,149,11,0,5,0,8,0,0,0,10,5,96,14,55.4,38.18,30.42,141,265,
