idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"0 GOVERNORS AVE STE 23,MEDFORD,MA,02155-3098",0.3333333333333333,0.0,0.0,42.42485024,-71.11026536,1,0
1,"0 GOVERNORS AVE STE 3,MEDFORD,MA,02155-3036",1.0,0.0,0.0,42.42485024,-71.11026536,1,0
2,"1 CENTRE ST,MALDEN,MA,02148-5527",0.5,0.0,0.16666666666666666,42.42684095,-71.07676737,1,0
3,"1 COURTHOUSE LN UNIT 14,CHELMSFORD,MA,01824-1736",1.2380952380952381,0.3333333333333333,1.25,42.6238681,-71.36000648,1,0
4,"1 ELM SQ STE 1D,ANDOVER,MA,01810-3667",1.3333333333333333,0.5,0.0,42.65825924,-71.13954879,1,0
5,"1 ESSEX AVE,GLOUCESTER,MA,01930-4927",0.0,0.0,1.0,42.60933689,-70.67567625,1,0
6,"1 HAWTHORNE ST # A,NORTH GRAFTON,MA,01536-1292",0.0,0.0,0.5,42.22759546,-71.72056431,1,0
7,"1 HOLLIS ST STE 340,WELLESLEY,MA,02482-4672",2.0,0.0,0.0,42.2980992,-71.29431155,1,0
8,"1 MAIN ST STE 14,LUNENBURG,MA,01462-1423",1.0,0.0,0.0,42.59544479,-71.72500359,1,0
9,"1 MARKET ST STE 1E,LYNN,MA,01901-1044",1.0,0.0,1.0,42.46399178,-70.95077693,1,0
10,"1 PORTER SQ STE 11,CAMBRIDGE,MA,02140-1446",0.19090909090909086,0.0,0.0,42.38858912,-71.11901571,1,0
11,"1 PORTER SQ,CAMBRIDGE,MA,02140-1431",0.2,0.0,0.0,42.38858912,-71.11901571,1,0
12,"1 RIVER PL,LOWELL,MA,01852-1035",2.25,0.0,0.0,42.64916169,-71.31192291,1,0
13,"1 ROCK ST,MIDDLEBORO,MA,02346-2321",1.1030020703933747,0.0,0.5,41.89048908,-70.91139672,1,0
14,"1 ROOSEVELT AVE,PEABODY,MA,01960-2200",0.5,1.0,0.0,42.55032533,-71.00952843,1,0
15,"1 TECHNOLOGY PARK DR STE C,BOURNE,MA,02532-8336",0.3333333333333333,0.41025641025641024,0.0,41.72940523,-70.58584537,1,0
16,"1 THOMPSON SQ STE 203,CHARLESTOWN,MA,02129-3328",1.0,0.0,0.0,42.37540545,-71.06422541,1,0
17,"1 WALLIS CT STE 1,LEXINGTON,MA,02421-5416",0.0,1.0,0.0,42.44614911,-71.22510594,1,0
18,"1 WASHINGTON ST STE 205,WELLESLEY,MA,02481-1706",1.0,0.0,0.0,42.32523347,-71.25929299,1,0
19,"1 WASHINGTON ST,TAUNTON,MA,02780-3960",2.5016806722689084,0.17692307692307693,0.14285714285714285,41.90257184,-71.09966203,1,0
20,"10 ENTERPRISE ST STE 7,DUXBURY,MA,02332-3315",1.0,0.0,0.0,42.05943543,-70.69139104,1,0
