,State_County_Tract_FIPS_Code
25025070101,54
25017373900,46
25025020301,40
25025071101,39
25021401200,39
25021404202,32
25021417701,31
25025120400,30
25003900500,28
25017318300,27
25023530600,27
25009253205,26
25017382500,25
25017367200,25
25025070200,24
25017358400,23
25021403300,23
25009254401,22
25017339100,22
25009217100,22
25017374100,22
25017361100,21
25021400200,20
25025170400,20
25025010104,20
25025130200,20
25021400800,20
25017359300,19
25009210300,18
25027730801,18
25021414200,18
25023504101,17
25025010702,17
25021404201,17
25025010203,17
25021400600,17
25001012602,17
25021419800,16
25021412100,16
25023507104,16
25021400100,16
25025060301,16
25017317101,16
25025081001,15
25025030300,15
25021401100,15
25027742300,14
25023501201,14
25009268200,14
25021402500,14
25017365201,14
25005630400,14
25009211402,14
25017366202,14
25021404400,13
25017341500,13
25017352102,13
25017338300,13
25027739300,13
25017335301,13
25027740200,13
25025070402,13
25017358500,13
25009209100,13
25025010600,13
25021416101,12
25025060600,12
25017314301,12
25021403500,12
25017373100,12
25021416400,12
25013812201,12
25013813404,12
25009202200,12
25017370201,12
25021419100,12
25021400400,11
25021406102,11
25013813304,11
25009203301,11
25009204400,11
25017336200,10
25017320104,10
25017357800,10
25017338500,10
25017354900,10
25021456402,10
25015821904,10
25017332200,10
25017333501,10
25021413401,10
25027744101,10
25017363103,10
25017383902,10
25017368500,10
25013812800,10
25017321300,10
25017374500,10
25023501202,10
25009204702,9
25017354500,9
25009203100,9
25023506101,9
25017332400,9
25017356400,9
25005642500,9
25025071201,9
25025070300,9
25021422200,9
25025140107,9
25009266100,9
25021415200,9
25007200100,9
25005612200,9
25017374400,9
25017383502,9
25017374300,9
25017334300,9
25021442101,9
25017317203,9
25017350104,9
25009252603,9
25021457200,9
25021400500,8
25021440100,8
25017356601,8
25017350500,8
25023503101,8
25025070900,8
25017383300,8
25025020303,8
25001011100,8
25017358600,8
25005640700,8
25021413100,8
25009212100,8
25025070500,8
25017387202,8
25009254100,8
25017341300,8
25017357700,8
25017374200,8
25025981800,8
25017386100,8
25025010500,8
25027709201,8
25025061200,8
25009202101,7
25017353101,7
25027761200,7
25025030500,7
25021405100,7
25025080900,7
25009223200,7
25017357200,7
25013812002,7
25023530100,7
25017358100,7
25023525104,7
25025070700,7
25009254200,7
25021423100,7
25025000802,7
25025000301,7
25017315200,7
25017373400,7
25009208300,7
25027731700,7
25021418003,7
25017368200,7
25025080801,7
25009213100,7
25001010800,7
25021422100,7
25017385100,7
25023501102,7
25025030400,6
25003921300,6
25005631100,6
25005631500,6
25017321500,6
25005985600,6
25001014800,6
25015821400,6
25017316102,6
25001015100,6
25017354600,6
25017358300,6
25011040900,6
25005610203,6
25015822500,6
25021414100,6
25025020101,6
25013810414,6
25017333200,6
25021400300,6
25005631300,6
25011041100,6
25015821602,6
25021415102,6
25005613300,6
25027730402,6
25025070800,6
25017333100,6
25011041000,6
25015820500,6
25001013600,6
25027739500,6
25009211200,6
25017338200,6
25025000100,6
25025020302,6
25017388100,6
25009211300,6
25017370102,5
25003925100,5
25017352300,5
25017353000,5
25027731600,5
25023524102,5
25017335100,5
25017330100,5
25025010204,5
25027710800,5
25021410100,5
25025110502,5
25009220101,5
25017360200,5
25009265101,5
25001014900,5
25025010802,5
25017326102,5
25025010103,5
25017368300,5
25017323100,5
25021418004,5
25017338400,5
25009252601,5
25005653102,5
25027741102,5
25013812404,5
25017337201,5
25001012800,5
25021404302,5
25021441204,5
25027713100,5
25009214100,5
25003914100,5
25009253202,5
25017383501,5
25021404100,5
25013801101,5
25005646103,5
25021417400,5
25017317302,5
25027730902,5
25017331101,5
25017370101,5
25017354100,5
25023505102,5
25001011802,5
25017337300,5
25017310100,5
25017373300,5
25017336402,5
25025000504,5
25009270100,5
25017362100,5
25025040801,5
25027750100,5
25017342500,5
25027727100,5
25019950100,5
25017374000,5
25017312300,5
25001015300,5
25025010801,5
25017357400,5
25017331200,4
25021403400,4
25013813602,4
25009253203,4
25027728100,4
25017335302,4
25027736300,4
25027710200,4
25021412300,4
25021422501,4
25009202102,4
25027741101,4
25021403100,4
25027719100,4
25025010701,4
25023504102,4
25009206300,4
25003913100,4
25027761300,4
25027736100,4
25005653101,4
25017313101,4
25017357100,4
25005611102,4
25017382200,4
25009260100,4
25001010100,4
25027730300,4
25005653203,4
25001010500,4
25021417300,4
25017383600,4
25013801605,4
25023509101,4
25001014600,4
25015820203,4
25017383400,4
25017334200,4
25017370300,4
25023560100,4
25023530700,4
25017358700,4
25001010900,4
25005650201,4
25025000601,4
25021416300,4
25015821100,4
25013812500,4
25009252501,4
25021415300,4
25023545200,4
25027739400,4
25001013002,4
25009215101,4
25027731900,4
25017336300,4
25009218100,4
25027739100,4
25005600202,4
25015821000,4
25017365202,4
25003920101,4
25023561100,4
25025000202,4
25001012001,4
25017339801,4
25009215102,4
