,State_County_Tract_FIPS_Code
25023511200,140
25027733102,113
25017311400,111
25005640100,111
25005650202,107
25009251400,105
25013801800,105
25025081300,104
25027709600,104
25025160400,100
25017310100,99
25013801101,98
25009250100,98
25009207000,98
25025050600,81
25025170300,81
25009206800,78
25025160200,74
25017310200,72
25013801503,71
25017316102,67
25017353000,67
25023530300,66
25027732301,65
25021418002,65
25009260200,65
25009260301,64
25025050400,63
25025081200,62
25025000704,62
25005651200,62
25009252101,62
25021419700,61
25023510502,55
25013801605,53
25021442102,53
25005612200,52
25017341300,51
25009209100,48
25017342500,44
25005641200,44
25013800300,43
25013812104,42
25025100900,41
25009251700,41
25025160602,40
25025080401,40
25013812103,39
25027744200,39
25017321300,39
25005650900,39
25017352102,37
25021417701,36
25027744300,36
25013813401,36
25011041200,35
25013813601,31
25009208400,31
25023510501,30
25027709701,30
25017383600,30
25027731400,29
25013812201,29
25017321500,29
25025140300,29
25021417901,29
25005631100,28
25005613800,28
25017383501,27
25015821601,27
25017352300,27
25017383400,26
25021400400,26
25013813303,25
25009252601,25
25027731600,24
25025110301,24
25005631400,24
25013812702,23
25025170100,23
25013810403,23
25015820203,23
25013810601,22
25023510503,21
25027740101,21
25021417602,20
25027733000,20
25013810412,20
25001015300,20
25009210500,20
25015821904,19
25021419100,19
25027710200,19
25017351403,19
25025080601,18
25025092200,18
25009260100,18
25017311600,17
25009211200,17
25017350500,17
25017317203,17
25025070200,16
25017334200,16
25009206100,16
25023540101,16
25025092101,16
25017339100,16
25017351204,16
25027710600,15
25021413401,15
25025130200,15
25017368800,15
25025090100,15
25021420302,15
25025070101,14
25027703100,14
25027731900,14
25021418200,14
25017350104,13
25021400600,13
25017337300,13
25017370102,13
25017338200,13
25005653101,13
25005610100,13
25023510900,13
25027730401,13
25017332400,13
25025010403,13
25027707500,13
25017312400,12
25025170601,12
25017368500,12
25009205900,12
25027731700,12
25005613700,12
25027730802,12
25017321600,12
25023503101,12
25017354600,12
25025020301,11
25005631300,11
25027731101,11
25025000602,11
25009210300,11
25009252400,11
25025140400,11
25025160502,11
25017369100,11
25025100601,11
25021422400,11
25025070500,10
25017368902,10
25021415102,10
25027753200,10
25017383502,10
25005652100,10
25027710100,10
25021402400,10
25023542300,10
25027754100,9
25021456102,9
25021456302,9
25009210800,9
25017369000,9
25023520100,9
25003935300,9
25027716300,9
25021420301,9
25001010400,9
25005642400,9
25023501102,9
25025050200,8
25017382400,8
25027736500,8
25017374100,8
25017316500,8
25023511702,8
25005653102,8
25015821602,8
25027732901,8
25017341200,8
25017385202,8
25021412200,8
25021422301,8
25023525104,8
25027739200,8
25009204702,8
25009253202,8
25017339802,8
25023545200,8
25017353600,8
25021400800,8
25021422100,8
25017354000,8
25027730100,8
25027732700,7
25023511600,7
25005612100,7
25021413500,7
25013812300,7
25025110607,7
25017383300,7
25009217100,7
25013811200,7
25017321400,7
25009221500,7
25025120700,7
25023502101,7
25003901100,7
25025130402,7
25003900900,7
25009252602,7
25011040701,6
25009210600,6
25021422200,6
25017373700,6
25027750200,6
25017365201,6
25021404302,6
25013800400,6
25017373900,6
25001012602,6
25027736300,6
25027744102,6
25027709201,6
25017350103,6
25021420202,6
25005641700,6
25009252300,6
25021415101,6
25017342300,6
25017350200,6
25017358400,6
25009206900,6
25027761400,6
25027758102,6
25005646103,6
25023510800,6
25009251800,6
25005640200,6
25005611102,6
25009266300,5
25017364102,5
25009254200,5
25025101001,5
25025090200,5
25017317101,5
25005641101,5
25017320102,5
25013813207,5
25017333501,5
25005651800,5
25025110502,5
25017361100,5
25005611202,5
25017373100,5
25009217400,5
25003900800,5
25023504101,5
25023545400,5
25017321200,5
25005600202,5
25017318300,5
25027749200,5
25005652300,5
25027730300,5
25005655300,5
25021422502,5
25025060501,5
25027757500,5
25001012700,5
25023544100,5
25017366202,5
25001014002,5
25025160501,5
25025010702,5
25009211100,5
25009204200,5
25025101002,5
25027744101,5
25005630400,5
25005632200,4
25005645103,4
25001013300,4
25005641800,4
25017301101,4
25009210700,4
25021440100,4
25013813206,4
25017315200,4
25009205200,4
25015820500,4
25025081001,4
25011040502,4
25017311500,4
25017354700,4
25023500104,4
25021411100,4
25027721102,4
25027724100,4
25021411200,4
25017370300,4
25009205500,4
25009208200,4
25015820700,4
25009251500,4
25019990000,4
25017333200,4
25011041100,4
25017368400,4
25025091600,4
25017336402,4
25005630102,4
25027731204,4
25025100700,4
25013812701,4
25027712101,4
25025060800,4
25009206700,4
25021422800,4
25023540103,4
25027728300,4
25023511701,4
25027761200,4
25001010206,4
25005652000,4
25003900200,4
25009252502,4
25017332100,4
25005644101,4
25011040501,4
25017359100,4
25023530100,3
25001014800,3
25027709702,3
25005652700,3
25005600203,3
25023503102,3
25005630200,3
25009210100,3
25003935200,3
25017358600,3
25005653204,3
25025100100,3
25017352900,3
25017320104,3
25021400200,3
25023524102,3
25017388100,3
25025100500,3
25027740200,3
25025000504,3
25017356701,3
25009204500,3
25021417902,3
25017350900,3
25017314101,3
25023510700,3
25027742300,3
25017339801,3
25009211300,3
25017341800,3
25007200100,3
25017333600,3
25021411301,3
25005615100,3
25017364101,3
25027756101,3
25017301102,3
25027732801,3
25021456101,3
25025070900,3
25027754200,3
25013810100,3
25021421200,3
25025091200,3
25027701100,3
25021418004,3
25025100800,3
25025000201,3
25025120400,3
25027757300,3
25021412100,3
25017356702,3
25021420100,3
25013813102,3
25017387201,3
25027703200,3
25003925100,3
25013811301,3
25001013900,3
25015821901,3
25027735100,3
25017327102,3
25027731500,3
25003921300,3
25023542200,3
25009202102,3
25017342400,2
25017342202,2
25023510300,2
25025081800,2
25025010104,2
25009267102,2
25005650101,2
25021457100,2
25017316201,2
25021403500,2
25015820400,2
25027738201,2
25025081700,2
25023506102,2
25017340000,2
25005652200,2
25017337201,2
25009268300,2
25001010900,2
25017313101,2
25021417601,2
25021409102,2
25011041300,2
25027730200,2
25005642000,2
25025000502,2
25021417502,2
25009205100,2
25017354200,2
25021407100,2
25017363102,2
25027717100,2
25027710800,2
25001011200,2
25027731203,2
25027757200,2
25017315100,2
25021443101,2
25023525101,2
25017334400,2
25017341500,2
25021400500,2
25013800102,2
25017363104,2
25017383101,2
25021408102,2
25013801502,2
25017334100,2
25025090700,2
25023523201,2
25021406102,2
25017365202,2
25017350600,2
25021400700,2
25023560100,2
25025170400,2
25009206600,2
25017324101,2
25017373800,2
25005650201,2
25017350400,2
25017356602,2
25027709202,2
25005652500,2
25021411302,2
25023530500,2
25009217500,2
25017336100,2
25005630300,2
25021417801,2
25009210200,2
25017322200,1
25021417501,1
25017360200,1
25027751101,1
25027742402,1
25013813208,1
25005653203,1
25013801601,1
25017363202,1
25017385100,1
25017341102,1
25017336300,1
25017314301,1
25017314102,1
25023507104,1
