id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US25001010100,,"Census Tract 101, Barnstable County, Massachusetts",0,0,0,0,10,0,0,0,17,0,29,0,9,0,0,0,0,9,0,0,0,0,0,0,0,68,18,0,20,0,0,0,0,0,18,12,0,0,57,35,12,29,133,1359074
1400000US25001010206,,"Census Tract 102.06, Barnstable County, Massachusetts",0,0,0,10,19,0,0,6,0,33,9,0,119,0,0,0,9,0,0,0,0,0,91,9,10,221,0,0,0,62,0,0,0,64,24,43,10,18,100,94,167,56,417,
1400000US25001010208,,"Census Tract 102.08, Barnstable County, Massachusetts",0,0,0,0,0,0,0,0,0,12,26,0,64,0,0,0,0,35,0,0,0,23,0,6,0,30,0,0,0,0,0,0,0,0,23,7,0,0,35,46,19,32,132,
1400000US25001010304,,"Census Tract 103.04, Barnstable County, Massachusetts",0,0,0,0,0,0,0,0,0,0,0,9,58,0,0,0,0,0,0,0,0,22,27,0,9,94,0,0,0,0,0,18,20,0,28,9,9,10,0,88,36,37,161,
1400000US25001010306,,"Census Tract 103.06, Barnstable County, Massachusetts",0,0,0,0,0,0,0,16,14,42,0,1,127,0,7,26,0,0,0,0,0,59,0,34,1,122,0,57,0,0,0,0,0,39,0,10,0,16,90,128,52,52,322,
1400000US25001010400,,"Census Tract 104, Barnstable County, Massachusetts",0,0,0,0,31,0,0,0,0,0,7,16,148,0,9,0,0,20,0,0,0,36,31,15,37,216,0,0,16,0,0,0,0,0,80,59,61,0,76,116,90,136,418,
1400000US25001010500,,"Census Tract 105, Barnstable County, Massachusetts",0,0,38,0,0,0,0,0,0,8,36,65,77,0,0,0,0,0,0,0,0,0,26,28,23,147,0,0,0,0,0,0,0,0,0,77,31,39,38,0,111,222,371,
1400000US25001010600,,"Census Tract 106, Barnstable County, Massachusetts",0,0,0,19,42,0,0,0,10,17,0,8,58,14,0,0,8,0,0,0,0,12,0,0,24,127,0,0,0,8,0,0,0,0,53,10,43,13,91,75,27,88,281,
1400000US25001010700,,"Census Tract 107, Barnstable County, Massachusetts",0,97,0,0,17,0,0,0,0,38,41,0,62,0,0,0,0,16,0,0,0,0,0,28,18,185,5,42,0,0,16,0,0,0,41,16,11,54,193,41,54,152,440,
1400000US25001010800,,"Census Tract 108, Barnstable County, Massachusetts",0,0,0,0,0,0,0,0,13,0,0,103,193,0,25,0,0,82,0,0,0,12,48,0,26,273,0,50,0,0,0,0,0,0,0,104,0,119,157,25,152,248,582,
