IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"05055 BLUE STAR MEMORIAL HWY,SOUTH HAVEN,MI,49090-7135",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1 BUDLONG ST,HILLSDALE,MI,49242-1844",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10 N STATE ST,NILES,MI,49120-2295",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10 PETERBORO ST,DETROIT,MI,48201-2722",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"10 W SQUARE LAKE RD STE 108,BLOOMFIELD HILLS,MI,48302-0466",1.5,,0.0,,0.0,,,,,,0.0,1.0,,
"10 W SQUARE LAKE RD STE 210,BLOOMFIELD HILLS,MI,48302-0467",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10 W SQUARE LAKE RD STE 308,BLOOMFIELD HILLS,MI,48302-0468",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"100 CHERRY ST SE,GRAND RAPIDS,MI,49503-4526",2.0920537795537784,3.4789044289044293,0.0625,0.2833333333333333,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"100 MICHIGAN ST NE,GRAND RAPIDS,MI,49503-2560",0.0625,0.0,0.0625,1.2,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"100 S SCOTT RD,SAINT JOHNS,MI,48879-9038",1.3666666666666665,,0.0,,0.0,,,,,,0.0,1.0,,
"100 SHERWOOD DR,ROSCOMMON,MI,48653-9218",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"100 W MAIN ST,STOCKBRIDGE,MI,49285-9483",1.5833333333333333,5.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"100 W SAGINAW HWY,GRAND LEDGE,MI,48837-1800",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"100 WOODS CIR STE 200,ALPENA,MI,49707-1443",0.08333333333333333,,0.0,,0.0,,,,,,0.0,1.0,,
"100 WOODS CIR STE 600,ALPENA,MI,49707-1445",2.447560129572325,,0.05263157894736842,,0.0,,,,,,0.0,1.0,,
"1000 S OLD WOODWARD AVE STE 106,BIRMINGHAM,MI,48009-6729",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1000 S OLD WOODWARD AVE,BIRMINGHAM,MI,48009-6723",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1000 W UNIVERSITY DR STE 201,ROCHESTER,MI,48307-1875",0.0,0.0,0.0,0.0,0.5,1.0,,,,,0.0,1.0,1.0,0.0
"1000 W UNIVERSITY DR STE 316,ROCHESTER,MI,48307-1876",2.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1000 W UNIVERSITY DR,ROCHESTER,MI,48307-1873",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1001 W 7 MILE RD,DETROIT,MI,48203-1929",1.0333333333333332,2.3166666666666664,0.0,0.0,0.05263157894736842,0.047619047619047616,,,,,0.0,1.0,1.0,0.0
"1002 N EATON ST,ALBION,MI,49224-1109",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1003 N LAFAYETTE ST,GREENVILLE,MI,48838-1168",2.0920537795537784,3.6789044289044295,0.0625,0.08333333333333333,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1003 SKYVIEW DR,PLAINWELL,MI,49080-1086",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10033 VERNOR HWY,DEARBORN,MI,48120-1513",1.0416666666666663,2.5892857142857144,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10040 PURITAN ST,DETROIT,MI,48238-1034",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1008 N SHIAWASSEE ST,CORUNNA,MI,48817-1127",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 20TH ST N,BATTLE CREEK,MI,49015-1701",0.3333333333333333,,0.0,,0.0,,,,,,0.0,1.0,,
"101 BROWN ST,TECUMSEH,MI,49286-1102",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"101 MAPLE RIDGE DR,EAST JORDAN,MI,49727-8926",3.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 S FRONT ST STE 401,MARQUETTE,MI,49855-4647",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 S FRONT ST STE 405,MARQUETTE,MI,49855-4641",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 S FRONT ST,MARQUETTE,MI,49855-4641",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 SHELDON AVE SE STE 1,GRAND RAPIDS,MI,49503-4262",2.0920537795537784,3.845571095571096,0.0625,0.08333333333333333,0.0,0.25,,,,,0.0,1.0,1.0,0.0
"1010 HOLLAND AVE,PORT HURON,MI,48060-1535",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1010 LIVERNOIS ST,FERNDALE,MI,48220-3347",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1010 N 3RD ST,MARQUETTE,MI,49855-3510",0.1111111111111111,,0.0,,0.0,,,,,,0.0,1.0,,
"1011 N UNIVERSITY AVE,ANN ARBOR,MI,48109-1078",24.375,26.73333333333333,0.0,0.0,3.5,5.166666666666666,,,,,0.0,1.0,1.0,0.0
"1011 S VAN DYKE RD,BAD AXE,MI,48413-9630",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1012 LAFAYETTE AVE,BAY CITY,MI,48708-7975",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"10123 S M 43 HWY STE C,DELTON,MI,49046-8808",0.5,,0.0,,0.0,,,,,,0.0,1.0,,
"1014 FRANKLIN ST SE,GRAND RAPIDS,MI,49507-1327",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1014 N CLINTON AVE,SAINT JOHNS,MI,48879-1092",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1015 ASHMAN ST,MIDLAND,MI,48640-4910",2.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1017 HURON AVE,PORT HURON,MI,48060-3770",1.0,,0.0,,0.0,,,,,,0.0,1.0,,
"1018 JOSLYN AVE,PONTIAC,MI,48340-2929",3.083333333333333,4.833333333333333,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
