IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1 BUDLONG ST,HILLSDALE,MI,49242-1844",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"100 CHERRY ST SE,GRAND RAPIDS,MI,49503-4526",2.0920537795537784,3.4789044289044293,0.0625,0.2833333333333333,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"100 MICHIGAN ST NE,GRAND RAPIDS,MI,49503-2560",0.0625,0.0,0.0625,1.2,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"100 W MAIN ST,STOCKBRIDGE,MI,49285-9483",1.5833333333333333,5.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1000 W UNIVERSITY DR STE 201,ROCHESTER,MI,48307-1875",0.0,0.0,0.0,0.0,0.5,1.0,,,,,0.0,1.0,1.0,0.0
"1001 W 7 MILE RD,DETROIT,MI,48203-1929",1.0333333333333332,2.3166666666666664,0.0,0.0,0.05263157894736842,0.047619047619047616,,,,,0.0,1.0,1.0,0.0
"1003 N LAFAYETTE ST,GREENVILLE,MI,48838-1168",2.0920537795537784,3.6789044289044295,0.0625,0.08333333333333333,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10033 VERNOR HWY,DEARBORN,MI,48120-1513",1.0416666666666663,2.5892857142857144,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10040 PURITAN ST,DETROIT,MI,48238-1034",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1008 N SHIAWASSEE ST,CORUNNA,MI,48817-1127",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 MAPLE RIDGE DR,EAST JORDAN,MI,49727-8926",3.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 S FRONT ST STE 401,MARQUETTE,MI,49855-4647",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 S FRONT ST STE 405,MARQUETTE,MI,49855-4641",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 S FRONT ST,MARQUETTE,MI,49855-4641",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"101 SHELDON AVE SE STE 1,GRAND RAPIDS,MI,49503-4262",2.0920537795537784,3.845571095571096,0.0625,0.08333333333333333,0.0,0.25,,,,,0.0,1.0,1.0,0.0
"1011 N UNIVERSITY AVE,ANN ARBOR,MI,48109-1078",24.375,26.73333333333333,0.0,0.0,3.5,5.166666666666666,,,,,0.0,1.0,1.0,0.0
"1014 FRANKLIN ST SE,GRAND RAPIDS,MI,49507-1327",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1014 N CLINTON AVE,SAINT JOHNS,MI,48879-1092",1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"1018 JOSLYN AVE,PONTIAC,MI,48340-2929",3.083333333333333,4.833333333333333,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"10192 GRAND RIVER RD STE 104,BRIGHTON,MI,48116-6516",2.0,5.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
"102 E CASS ST,SAINT JOHNS,MI,48879-1833",3.0,3.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,1.0,0.0
