IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1 HURLEY PLZ,FLINT,MI,48503-5902",,3.0,,0.0,,0.25,,,,,,,1.0,0.0
"1 WATER ST STE 200,BOYNE CITY,MI,49712-1811",,0.3333333333333333,,0.0,,0.0,,,,,,,1.0,0.0
"100 WOODS CIR,ALPENA,MI,49707-1444",,0.5,,0.0,,0.0,,,,,,,1.0,0.0
"101 SHELDON AVE SE,GRAND RAPIDS,MI,49503-4262",,3.4637529137529133,,0.08333333333333333,,0.25,,,,,,,1.0,0.0
"1011 MILITARY ST,PORT HURON,MI,48060-5416",,0.09090909090909093,,0.0,,0.0,,,,,,,1.0,0.0
"102 SUPERIOR AVE,BARAGA,MI,49908-9673",,0.0,,0.0,,1.0,,,,,,,1.0,0.0
"1033 HEALTHCARE DR,CHARLOTTE,MI,48813-1058",,0.06666666666666668,,0.08333333333333333,,0.0,,,,,,,1.0,0.0
"10501 ALLEN RD,ALLEN PARK,MI,48101-1281",,2.0,,0.0,,0.0,,,,,,,1.0,0.0
"1080 N MONROE ST,MONROE,MI,48162-3193",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"1101 E WALTON BLVD STE 300,PONTIAC,MI,48340-1590",,3.8526879982762336,,0.0,,0.07692307692307693,,,,,,,1.0,0.0
"111 W 7 MILE RD,DETROIT,MI,48203-1968",,0.29166666666666663,,0.0,,0.0,,,,,,,1.0,0.0
"11200 E MCNICHOLS RD,DETROIT,MI,48234-3929",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"1124 28TH ST SW STE 38A,WYOMING,MI,49509-2855",,12.652205147793383,,0.0,,0.0,,,,,,,1.0,0.0
"11301 COMMERCE DR,ALLENDALE,MI,49401-8200",,3.0,,0.0,,0.0,,,,,,,1.0,0.0
"114 W STATE ST,EAST TAWAS,MI,48730-1259",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"11447 JOSEPH CAMPAU ST,HAMTRAMCK,MI,48212-3040",,0.5833333333333333,,0.0,,0.0,,,,,,,1.0,0.0
"115 N LAKE ST LOWR,MANISTIQUE,MI,49854-1212",,0.5,,0.0,,0.0,,,,,,,1.0,0.0
"11525 HIGHLAND RD STE 23,HARTLAND,MI,48353-2726",,0.0,,0.0,,2.5,,,,,,,1.0,0.0
"117 W PATERSON ST,KALAMAZOO,MI,49007-2557",,2.117857142857143,,0.0,,0.0,,,,,,,1.0,0.0
"1179 WHITEHALL RD STE A,MUSKEGON,MI,49445-2497",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"118 S GREENVILLE WEST DR STE 1,GREENVILLE,MI,48838-3554",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"1200 E MICHIGAN AVE STE 370,LANSING,MI,48912-1897",,0.0,,1.0,,0.0,,,,,,,1.0,0.0
"1200 KIRTS BLVD,TROY,MI,48084-4899",,8.566666666666666,,0.0,,1.0,,,,,,,1.0,0.0
"1203 S BEECHTREE ST,GRAND HAVEN,MI,49417-2839",,2.0,,0.0,,0.0,,,,,,,1.0,0.0
"1215 FULTON ST E,GRAND RAPIDS,MI,49503-3849",,2.768331668331667,,0.0,,0.0,,,,,,,1.0,0.0
"122 GRANT ST,NILES,MI,49120-2281",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
"12251 JAMES ST,HOLLAND,MI,49424-9675",,0.0,,0.0,,1.0,,,,,,,1.0,0.0
"123 N WEST AVE STE C,JACKSON,MI,49201-1928",,1.0,,0.0,,0.0,,,,,,,1.0,0.0
