BOD_addr,general,pediatric,specialist,Latitude,Longitude
"1 BUDLONG,HILLSDALE,MI,49242",1.0,0.0,0.0,41.91639771,-84.63029291
"1 LAFAYETTE PLAISANCE ST,APT 1601,DETROIT,MI,48207",1.0,0.0,0.0,42.33939093,-83.03825532
"1 PARK AVE,APT 1213,DETROIT,MI,48226",1.0,0.0,0.0,42.3355885,-83.050395
"100 CROIX ST,NEGAUNEE,MI,49866",2.0,0.0,0.0,46.50949483,-87.61164936
"100 S. STEPHENSON AVE,IRON MOUNTAIN,MI,498013800",1.0,0.0,0.0,45.82214476,-88.06482109999996
"1001 CEDAR AVE,IRON MOUNTAIN,MI,49801",1.0,0.0,0.0,45.81262279,-88.06446661
"1001 LAURENCE AVE,SUITE A,JACKSON,MI,49202",1.0,0.0,0.0,42.26058233,-84.44767883
"1002 N EVERGREEN DR,IRON MOUNTAIN,MI,49801",1.0,0.0,0.0,45.81245672,-88.08377173
"101 ROCHDALE DR SUITE A,ROCHESTER HILLS,MI,48309",1.0,0.0,0.0,42.6806241,-83.1585348
"101 S FRONT,MARQUETTE,MI,49855",1.0,0.0,0.0,46.54249247,-87.39296597
"1011 HAZEL ST,BIRMINGHAM,MI,48009",2.0,0.0,0.0,42.54420560000001,-83.206829
"1011 N UNIVERSITY,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.27871711,-83.73666979
"1011 N UNIVERSITY,ANN ARBOR,MI,481091078",1.0,0.0,0.0,42.27871711,-83.73666979
"1011 N. UNIVERSITY AVE,ROOM 1046,ANN ARBOR,MI,48109",1.0,0.0,0.0,42.2694482,-83.73530720000002
"1011 N. UNIVERSITY,ROOM K1018,ANN ARBOR,MI,48109",1.0,0.0,0.0,42.27871711,-83.73666979
"1011 NORTH UNIVERSITY AVE,ANN ARBOR,MI,48109",1.0,0.0,0.0,42.2694482,-83.73530720000002
"1011 NORTH UNIVERSITY,ANN ARBOR,MI,481091078",0.0,0.0,1.0,42.27871711,-83.73666979
"1013 CARLTON BLVD,JACKSON,MI,49203",1.0,0.0,0.0,42.24204748,-84.42596259999998
"1014 YORKSHIRE RD,GROSSE POINTE PARK,MI,48230",1.0,0.0,0.0,42.382240100000004,-82.9185229
"1015 E ANN ST APT 2A,ANN ARBOR,MI,48104",1.0,0.0,0.0,42.2825,-83.73638570000001
