IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"05055 BLUE STAR MEMORIAL HWY,SOUTH HAVEN,MI,49090-7135",1.0,0.0,0.0,-86.25901525,42.39961199,0,1
"1 BUDLONG ST,HILLSDALE,MI,49242-1844",1.0,0.0,0.0,-84.63039305,41.91862753,0,1
"10 N STATE ST,NILES,MI,49120-2295",1.0,0.0,0.0,-86.26254935,41.82756361,0,1
"10 PETERBORO ST,DETROIT,MI,48201-2722",0.5,0.0,0.0,-83.05679161,42.34529019,0,1
"10 W SQUARE LAKE RD STE 108,BLOOMFIELD HILLS,MI,48302-0466",1.5,0.0,0.0,-83.26631467,42.60373136,0,1
"10 W SQUARE LAKE RD STE 210,BLOOMFIELD HILLS,MI,48302-0467",1.0,0.0,0.0,-83.26631467,42.60373136,0,1
"10 W SQUARE LAKE RD STE 308,BLOOMFIELD HILLS,MI,48302-0468",1.0,0.0,0.0,-83.26631467,42.60373136,0,1
"100 CHERRY ST SE,GRAND RAPIDS,MI,49503-4526",2.0920537795537784,0.0625,0.0,-85.66590391,42.95952148,0,1
"100 MICHIGAN ST NE,GRAND RAPIDS,MI,49503-2560",0.0625,0.0625,0.0,-85.66645340000002,42.9704039,0,1
"100 S SCOTT RD,SAINT JOHNS,MI,48879-9038",1.3666666666666665,0.0,0.0,-84.54272005,43.00066657,0,1
"100 SHERWOOD DR,ROSCOMMON,MI,48653-9218",1.0,0.0,0.0,-84.59627352,44.49007253,0,1
"100 W MAIN ST,STOCKBRIDGE,MI,49285-9483",1.5833333333333333,0.0,0.0,-84.18036356,42.45134102,0,1
"100 W SAGINAW HWY,GRAND LEDGE,MI,48837-1800",1.0,0.0,0.0,-84.75015222,42.74091148,0,1
"100 WOODS CIR STE 200,ALPENA,MI,49707-1443",0.08333333333333333,0.0,0.0,-83.45090347,45.08527453,0,1
"100 WOODS CIR STE 600,ALPENA,MI,49707-1445",2.447560129572325,0.05263157894736842,0.0,-83.45090347,45.08527453,0,1
"1000 S OLD WOODWARD AVE STE 106,BIRMINGHAM,MI,48009-6729",0.5,0.0,0.0,-83.20733583,42.53947722,0,1
"1000 S OLD WOODWARD AVE,BIRMINGHAM,MI,48009-6723",1.0,0.0,0.0,-83.20733583,42.53947722,0,1
"1000 W UNIVERSITY DR STE 201,ROCHESTER,MI,48307-1875",0.0,0.0,0.5,-83.14598377,42.68187152,0,1
"1000 W UNIVERSITY DR STE 316,ROCHESTER,MI,48307-1876",2.5,0.0,0.0,-83.14598377,42.68187152,0,1
"1000 W UNIVERSITY DR,ROCHESTER,MI,48307-1873",0.5,0.0,0.0,-83.14598377,42.68187152,0,1
"1001 W 7 MILE RD,DETROIT,MI,48203-1929",1.0333333333333332,0.0,0.05263157894736842,-83.11389347,42.43212247,0,1
"1002 N EATON ST,ALBION,MI,49224-1109",1.0,0.0,0.0,-84.75620492,42.25427994,0,1
"1003 N LAFAYETTE ST,GREENVILLE,MI,48838-1168",2.0920537795537784,0.0625,0.0,-85.25304765,43.19044047,0,1
"1003 SKYVIEW DR,PLAINWELL,MI,49080-1086",1.0,0.0,0.0,-85.64246429999999,42.45615449,0,1
"10033 VERNOR HWY,DEARBORN,MI,48120-1513",1.0416666666666663,0.0,0.0,-83.14454171,42.30416096,0,1
"10040 PURITAN ST,DETROIT,MI,48238-1034",1.0,0.0,0.0,-83.16078286,42.40971546,0,1
"1008 N SHIAWASSEE ST,CORUNNA,MI,48817-1127",1.0,0.0,0.0,-84.1188559,42.99219016,0,1
"101 20TH ST N,BATTLE CREEK,MI,49015-1701",0.3333333333333333,0.0,0.0,-85.2191301,42.308045799999995,0,1
"101 BROWN ST,TECUMSEH,MI,49286-1102",1.0,0.0,0.0,-83.94271746,42.012671399999995,0,1
"101 MAPLE RIDGE DR,EAST JORDAN,MI,49727-8926",3.0,0.0,0.0,-85.13954846,45.14914931,0,1
"101 S FRONT ST STE 401,MARQUETTE,MI,49855-4647",1.0,0.0,0.0,-87.3929148,46.54300462,0,1
"101 S FRONT ST STE 405,MARQUETTE,MI,49855-4641",1.0,0.0,0.0,-87.3929148,46.54300462,0,1
