IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"1 BUDLONG ST,HILLSDALE,MI,49242-1844",1.0,0.0,0.0,-84.63039305,41.91862753,1,0
"1 HURLEY PLZ,FLINT,MI,48503-5902",3.0,0.0,0.25,-83.70490093,43.02209854,1,0
"1 WATER ST STE 200,BOYNE CITY,MI,49712-1811",0.3333333333333333,0.0,0.0,-85.01569005,45.21364949,1,0
"100 CHERRY ST SE,GRAND RAPIDS,MI,49503-4526",3.4789044289044293,0.2833333333333333,0.0,-85.66590391,42.95952148,1,0
"100 MICHIGAN ST NE,GRAND RAPIDS,MI,49503-2560",0.0,1.2,0.0,-85.66645340000002,42.9704039,1,0
"100 W MAIN ST,STOCKBRIDGE,MI,49285-9483",5.0,0.0,0.0,-84.18036356,42.45134102,1,0
"100 WOODS CIR,ALPENA,MI,49707-1444",0.5,0.0,0.0,-83.45090347,45.08527453,1,0
"1000 W UNIVERSITY DR STE 201,ROCHESTER,MI,48307-1875",0.0,0.0,1.0,-83.14598368,42.68187152,1,0
"1001 W 7 MILE RD,DETROIT,MI,48203-1929",2.3166666666666664,0.0,0.047619047619047616,-83.11389347,42.43212247,1,0
"1003 N LAFAYETTE ST,GREENVILLE,MI,48838-1168",3.6789044289044295,0.08333333333333333,0.0,-85.25304765,43.19044047,1,0
"10033 VERNOR HWY,DEARBORN,MI,48120-1513",2.5892857142857144,0.0,0.0,-83.14454171,42.30416096,1,0
"10040 PURITAN ST,DETROIT,MI,48238-1034",1.0,0.0,0.0,-83.16078286,42.40971546,1,0
"1008 N SHIAWASSEE ST,CORUNNA,MI,48817-1127",1.0,0.0,0.0,-84.1188559,42.99219016,1,0
"101 MAPLE RIDGE DR,EAST JORDAN,MI,49727-8926",1.0,0.0,0.0,-85.13954846,45.14914931,1,0
"101 S FRONT ST STE 401,MARQUETTE,MI,49855-4647",1.0,0.0,0.0,-87.3929148,46.54300462,1,0
"101 S FRONT ST STE 405,MARQUETTE,MI,49855-4641",1.0,0.0,0.0,-87.3929148,46.54300462,1,0
"101 S FRONT ST,MARQUETTE,MI,49855-4641",1.0,0.0,0.0,-87.3929148,46.54300462,1,0
"101 SHELDON AVE SE STE 1,GRAND RAPIDS,MI,49503-4262",3.845571095571096,0.08333333333333333,0.25,-85.66674747,42.96047274,1,0
"101 SHELDON AVE SE,GRAND RAPIDS,MI,49503-4262",3.4637529137529133,0.08333333333333333,0.25,-85.66674747,42.96047274,1,0
"1011 MILITARY ST,PORT HURON,MI,48060-5416",0.09090909090909093,0.0,0.0,-82.42459475,42.97352445,1,0
"1011 N UNIVERSITY AVE,ANN ARBOR,MI,48109-1078",26.73333333333333,0.0,5.166666666666666,-83.73689782,42.27873823,1,0
"1014 FRANKLIN ST SE,GRAND RAPIDS,MI,49507-1327",1.0,0.0,0.0,-85.64360416,42.94829147,1,0
"1014 N CLINTON AVE,SAINT JOHNS,MI,48879-1092",1.0,0.0,0.0,-84.55806639,43.01320538,1,0
