,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over
563,1400000US26001000100,"Census Tract 1, Alcona County, Michigan",7,3,0,4,9,0,0,4,7,0,12,0,50,3,8,3,0,4,5,0,6,5,2,9,5,67,0,4,0,6,0,16,3,4,0,4,3,27
564,1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",18,2,1,11,0,11,0,6,42,10,9,2,96,4,11,6,29,0,5,0,0,29,0,5,7,115,0,0,29,27,0,6,0,0,18,28,2,5
565,1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",9,8,15,9,15,19,0,9,26,13,5,6,125,31,5,9,7,13,0,0,8,25,27,0,0,173,46,1,15,15,14,4,0,9,37,15,1,16
562,1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",2,0,0,5,0,3,0,9,17,27,2,0,44,12,0,0,10,0,3,0,0,4,14,1,0,89,5,7,5,23,7,10,0,0,20,6,0,6
566,1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",10,0,0,0,0,8,0,0,5,3,0,0,67,0,0,0,0,5,31,0,0,22,0,0,9,75,8,0,0,3,4,21,0,0,25,8,0,6
567,1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,1400000US26003000100,"Census Tract 1, Alger County, Michigan",5,9,0,55,3,31,0,13,11,48,0,10,195,8,4,10,45,21,19,0,11,33,17,16,11,177,6,6,7,3,0,19,0,7,18,48,21,42
569,1400000US26003000200,"Census Tract 2, Alger County, Michigan",0,0,0,8,13,2,22,11,24,42,12,4,151,19,0,29,8,0,18,0,0,20,40,3,14,188,4,33,18,5,2,5,9,5,34,40,14,19
570,1400000US26003000300,"Census Tract 3, Alger County, Michigan",12,21,0,0,0,0,0,0,0,36,4,8,70,0,4,2,0,4,24,2,3,12,13,0,6,167,9,2,2,11,11,58,4,7,10,19,24,10
571,1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,1400000US26005030200,"Census Tract 302, Allegan County, Michigan",0,0,0,0,24,0,0,49,6,116,0,33,225,0,0,10,20,9,0,0,42,15,51,34,44,230,0,0,21,0,17,0,0,0,24,50,0,118
1042,1400000US26005030300,"Census Tract 303, Allegan County, Michigan",18,0,0,18,70,27,0,21,234,251,15,5,775,0,0,0,29,21,13,5,14,242,302,86,63,683,0,0,0,57,12,15,6,8,181,215,26,163
1560,1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",0,28,33,15,196,14,0,0,105,101,107,62,670,0,0,11,54,0,40,0,20,161,236,38,110,692,0,12,73,0,0,32,101,11,111,248,33,71
1556,1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",0,0,0,0,0,96,19,32,136,151,33,28,658,21,0,0,0,0,63,22,7,168,156,133,88,440,10,7,26,0,0,36,0,0,149,78,65,69
1037,1400000US26005030500,"Census Tract 305, Allegan County, Michigan",35,0,38,159,46,77,5,19,257,55,43,60,649,18,14,59,153,19,7,39,12,166,0,51,111,698,49,0,0,64,40,19,12,0,187,115,80,132
1043,1400000US26005030600,"Census Tract 306, Allegan County, Michigan",9,19,56,3,55,11,17,4,116,26,27,39,372,0,3,15,12,19,21,13,11,117,78,28,55,545,2,7,5,21,13,60,15,17,151,174,40,40
1557,1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",34,0,13,3,10,29,6,4,150,46,90,29,321,32,0,0,3,24,26,11,25,60,70,14,56,407,44,7,0,13,19,4,12,34,77,63,29,105
