IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_med,X_med,Y_chip,X_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1 MENDOTA RD W,WEST SAINT PAUL,MN,55118-4764",0.02288365439386878,0.022965840545502228,0.0,0.0,0.0,0.0,44.88363046,-93.08649304,44.88363046,-93.08649304,1,0,0,1
"10 HASSAN ST NE,HUTCHINSON,MN,55350",0.5,0.5,0.0,0.0,0.0,0.0,44.89241514,-94.36792155,44.89241514,-94.36792155,1,0,0,1
"10 HASSAN ST NE,HUTCHINSON,MN,55350-1800",2.0,2.0,0.0,0.0,0.0,0.0,44.89241394,-94.36790467,44.89241394,-94.36790467,1,0,0,1
"100 3RD ST SW,COKATO,MN,55321",0.5,0.5,0.0,0.0,0.0,0.0,45.07620309,-94.1901929,45.07620309,-94.1901929,1,0,0,1
"100 3RD ST SW,COKATO,MN,55321-4595",0.5,0.5,0.0,0.0,0.0,0.0,45.07620309,-94.1901929,45.07620309,-94.1901929,1,0,0,1
"100 ANGEL AVE SW,WATERTOWN,MN,55388-4651",1.0,1.0,0.0,0.0,0.0,0.0,44.96401564,-93.84853541,44.96401564,-93.84853541,1,0,0,1
"100 CENTRAL AVE STE 1,OSSEO,MN,55369-1204",0.3333333333333333,0.5,0.0,0.0,0.0,0.0,45.1172068,-93.40216354,45.1172068,-93.40216354,1,0,0,1
"100 CENTRAL AVE,OSSEO,MN,55369-1202",0.6666666666666666,0.5,0.0,0.0,0.0,0.0,45.11720785,-93.40216354,45.11720785,-93.40216354,1,0,0,1
"100 FREEMAN DR,SAINT PETER,MN,56082-3504",1.0,1.0,0.0,0.0,0.0,0.0,44.30765954,-93.97410909,44.30765954,-93.97410909,1,0,0,1
"100 S 5TH ST,MINNEAPOLIS,MN,55402-1210",0.0,0.0,0.0,0.0,0.5,0.5,44.97802343,-93.26875922,44.97802343,-93.26875922,1,0,0,1
