IKN_addr,general,pediatric,specialist,X,Y,med_indicator,chip_indicator
"1 MENDOTA RD W,WEST SAINT PAUL,MN,55118-4764",0.022965840545502228,0.0,0.0,-93.08649304,44.88363046,0,1
"10 HASSAN ST NE,HUTCHINSON,MN,55350",0.5,0.0,0.0,-94.36792155,44.89241514,0,1
"10 HASSAN ST NE,HUTCHINSON,MN,55350-1800",2.0,0.0,0.0,-94.36790467,44.89241394,0,1
"100 3RD ST SW,COKATO,MN,55321",0.5,0.0,0.0,-94.1901929,45.07620309,0,1
"100 3RD ST SW,COKATO,MN,55321-4595",0.5,0.0,0.0,-94.1901929,45.07620309,0,1
"100 ANGEL AVE SW,WATERTOWN,MN,55388-4651",1.0,0.0,0.0,-93.84853541,44.96401564,0,1
"100 CENTRAL AVE STE 1,OSSEO,MN,55369-1204",0.5,0.0,0.0,-93.40216354,45.1172068,0,1
"100 CENTRAL AVE,OSSEO,MN,55369-1202",0.5,0.0,0.0,-93.40216354,45.11720785,0,1
"100 FREEMAN DR,SAINT PETER,MN,56082-3504",1.0,0.0,0.0,-93.97410909,44.30765954,0,1
"100 S 5TH ST,MINNEAPOLIS,MN,55402-1210",0.0,0.0,0.5,-93.26875922,44.97802343,0,1
"1000 1ST AVE NE,CHISHOLM,MN,55719-1200",0.05598015738334848,0.0,0.0,-92.87490355,47.49884895,0,1
"1000 1ST DR NW,AUSTIN,MN,55912-2941",0.0,0.0,0.07692307692307693,-92.97886405,43.67537219,0,1
"1000 44TH AVE N,SAINT CLOUD,MN,56303-2037",0.02704497219816329,0.0,0.0,-94.21225237,45.570514,0,1
"1000 5TH ST,INTERNATIONAL FALLS,MN,56649-2243",0.05598015738334848,0.0,0.0,-93.41438038,48.60077038,0,1
"1000 E 1ST ST STE 108,DULUTH,MN,55805-2297",0.0,0.0,1.6166666666666667,-92.08661303,46.7973007,0,1
"1000 E 1ST ST,DULUTH,MN,55805",0.0,0.0,0.2,-92.08661303,46.7973007,0,1
"1000 PLYMOUTH AVE N,MINNEAPOLIS,MN,55411-4005",0.014495798319327732,0.0,0.0,-93.29302994,44.992009499999995,0,1
"1000 RADIO DR STE 220,WOODBURY,MN,55125-8444",0.5,0.0,0.5,-92.93420173,44.93437962,0,1
"1000 RADIO DR STE 240,WOODBURY,MN,55125-8444",0.3333333333333333,0.0,0.0,-92.93420173,44.93437962,0,1
"1004 DIFFLEY RD STE 300,EAGAN,MN,55123-5103",0.09090909090909093,0.0,0.0,-93.13730099,44.80449748,0,1
"1004 DIFFLEY RD,EAGAN,MN,55123-5102",0.1,0.0,0.19090909090909086,-93.13730099,44.80449748,0,1
"1008 12TH ST SE,ROCHESTER,MN,55904",0.6666666666666666,0.0,0.0,-92.44928602,44.00705804,0,1
"1008 12TH ST SE,ROCHESTER,MN,55904-5030",0.6666666666666666,0.0,0.0,-92.44928602,44.00705804,0,1
"10081 DOGWOOD ST NW,COON RAPIDS,MN,55448-5281",0.006097560975609756,0.0,0.0,-93.27168507,45.15277496,0,1
"101 1ST AVE SW,GLENWOOD,MN,56334",1.0,0.0,0.0,-95.39190352,45.64930253,0,1
"101 1ST AVE SW,GLENWOOD,MN,56334-1503",1.0,0.0,0.0,-95.39190352,45.64930253,0,1
"101 5TH ST E STE 2206,SAINT PAUL,MN,55101-1814",0.5,0.0,0.0,-93.09148362,44.94715599,0,1
"101 5TH ST E,SAINT PAUL,MN,55101",2.5,0.0,0.0,-93.09148362,44.94715599,0,1
"101 CENTRAL AVE N,NEW PRAGUE,MN,56071",0.0,0.0,0.16666666666666666,-93.57737561,44.54376517,0,1
"101 CENTRAL AVE N,NEW PRAGUE,MN,56071-1533",0.0,0.0,0.16666666666666666,-93.57737561,44.54376517,0,1
"101 N MAIN ST,CHOKIO,MN,56221",0.3333333333333333,0.0,0.0,-96.17406267,45.57657496,0,1
"101 S PARK AVE,LE CENTER,MN,56057-1621",2.0,0.0,0.0,-93.73149406,44.38800011,0,1
"1010 GREELEY AVE N,GLENCOE,MN,55336",0.3333333333333333,0.0,0.0,-94.15303381,44.76914044,0,1
"1010 GREELEY AVE N,GLENCOE,MN,55336-2128",1.0,0.0,0.0,-94.15303381,44.76914044,0,1
"10100 6TH AVE N STE 102B,PLYMOUTH,MN,55441-6534",1.0,0.0,0.0,-93.40937854,44.98458249,0,1
"1011 E CENTRAL ENTRANCE,DULUTH,MN,55811-5545",2.0,0.0,0.0,-92.11299064,46.79913242,0,1
"1012 5TH AVE,WINDOM,MN,56101",0.02704497219816329,0.0,0.0,-95.20098401,43.82661759,0,1
"1015 GREELEY AVE N,GLENCOE,MN,55336",0.3333333333333333,0.0,0.0,-94.15310923,44.76918566,0,1
"1015 GREELEY AVE N,GLENCOE,MN,55336-2129",0.6666666666666666,0.0,0.0,-94.15310923,44.76918566,0,1
"1015 HIGHWAY 15 S,HUTCHINSON,MN,55350-3153",0.0,0.0,1.0337662337662337,-94.37549313,44.87766108,0,1
"1015 MN-15 N,HUTCHINSON,MN,55350",0.0,0.0,1.8766233766233764,-94.37549313,44.87766108,0,1
"1015 SNELLING AVE S,SAINT PAUL,MN,55116-2447",0.05598015738334848,0.0,0.0,-93.16709882,44.91107617,0,1
