Tract,Sum_by_Tract
27053104900,41
27053026514,17
27163071006,16
27109001402,15
27053027300,14
27053021602,13
27123040601,12
27053104400,12
27053026007,12
27037060824,11
27041450701,11
27037060104,11
27053024006,10
27037060815,10
27059130301,10
27109000100,9
27163070103,9
27123042401,9
27053026708,9
27053023300,8
27037060711,8
27053024004,8
27053026710,7
27019090900,7
27037060811,7
27003050501,7
27123041400,7
27053122600,7
27053021300,7
27137000300,7
27053980000,7
27163071206,7
27053023600,7
27109001501,6
27003050820,6
27097780600,6
27053026606,6
27145010102,6
27163071013,6
27085950400,6
27141030402,5
27053126100,5
27109001602,5
27123040707,5
27053104800,5
27123042900,5
27019090701,5
27037060727,5
27163071010,5
27013171202,5
27123041105,5
27147960400,5
27053020400,5
27109000600,5
27123040200,5
27035951302,5
27123030300,5
27053109100,5
27137001700,5
27123034201,4
27019090800,4
27019090601,4
27027030103,4
27139080905,4
27053026019,4
27137013200,4
27141030502,4
27145001001,4
27037061102,4
27109001202,4
27139080202,4
27053026101,4
27003050809,4
27137002300,4
27171100802,4
27131070602,4
27145010600,4
27053025803,4
27053105400,4
27163070203,4
27111960900,4
27053025603,4
27003051101,4
27145011500,4
27053027602,4
27109001601,4
27037060820,4
27163071001,4
27053111500,4
27037060505,4
27083360400,4
27163070601,4
27019090301,4
27109000500,3
27049080300,3
27053007700,3
27123041200,3
27003050902,3
27057070600,3
27003050807,3
27171101000,3
27171100702,3
27171100701,3
27005450300,3
27119020100,3
27171100801,3
27109001401,3
27123040504,3
27053021400,3
27003050208,3
27003050221,3
27003050225,3
27163070704,3
27163070701,3
27093560100,3
27123040604,3
27163070912,3
27147960800,3
27047180800,3
27053026713,3
27123036700,3
27163071011,3
27163071015,3
27003050609,3
27123040902,3
27053023903,3
27099000800,3
27105105400,3
27145010101,3
27171100203,3
27159480300,3
27079950300,3
27145000901,3
27053003800,3
27095170700,3
27079950100,3
27053027203,3
27053022901,3
27053024901,3
27037060735,3
27053027201,3
27053023700,3
27109001100,3
27109001201,3
27037060734,3
27037060733,3
27037061007,3
27037060726,2
27141030404,2
27109001503,2
27163070303,2
27003050819,2
27137000200,2
27053110900,2
27037060729,2
27099000410,2
27053022000,2
27053023502,2
27037060605,2
27037060713,2
27131070700,2
27053022302,2
27093560400,2
27139080400,2
27123031100,2
27123041301,2
27123041302,2
27053027202,2
27003051001,2
27053026205,2
27123040503,2
27053007801,2
27123042302,2
27123040502,2
27053026909,2
27037060737,2
27165950200,2
27047180600,2
27137001100,2
27053025601,2
27037060805,2
27145000601,2
27137012300,2
27131070901,2
27053126200,2
27053023801,2
27157490100,2
27123040703,2
27171100400,2
27115950400,2
27037060817,2
27027020300,2
27037060816,2
27037060821,2
27053021700,2
27037060826,2
27111960300,2
27003050602,2
27141030504,2
27003050610,2
27163070106,2
27053026021,2
27053025100,2
27145011400,2
27163070801,2
27053026014,2
27053026015,2
27053027101,2
27037060744,2
27103480501,2
27169670800,2
27131070100,2
27163070205,2
27129790100,2
27157490500,2
27171101300,2
27053026403,2
27053023100,2
27035951301,2
27033270400,2
27145011302,2
27049080600,2
27053008200,2
27123033400,2
27053026404,2
27105105200,2
27053026611,2
27127750200,2
27003051304,2
27049080101,2
27161790400,2
27025110301,2
27053025401,2
27003050108,2
27169670300,2
27085950300,2
27113090400,2
27123034202,2
