id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US27001770100,,"Census Tract 7701, Aitkin County, Minnesota",20,13,0,12,5,15,0,6,23,0,17,0,106,22,7,12,6,10,11,0,5,15,4,7,7,121,11,10,0,4,7,19,0,2,22,16,9,21,245,4.8,27.2,61,338,1269824
1400000US27001770200,,"Census Tract 7702, Aitkin County, Minnesota",7,4,2,22,6,0,0,0,26,24,7,8,131,3,5,16,10,12,21,16,0,29,15,0,4,147,2,0,8,10,28,2,3,2,24,49,2,17,242.2,6.32,97.48,38,384,
1400000US27001770300,,"Census Tract 7703, Aitkin County, Minnesota",42,3,3,56,0,0,7,5,45,23,2,9,357,46,2,28,76,4,58,12,0,62,37,9,23,191,12,0,7,19,10,20,0,0,43,31,21,28,530,12,109,92,743,
1400000US27001770400,,"Census Tract 7704, Aitkin County, Minnesota",14,2,3,26,5,11,6,0,20,27,10,4,144,17,3,1,30,13,2,10,24,19,16,1,8,184,24,6,6,36,12,4,0,28,28,5,16,19,336.6,5.36,56.04,58,456,
1400000US27001790501,,"Census Tract 7905.01, Aitkin County, Minnesota",0,26,0,11,0,0,4,2,18,29,4,0,73,4,3,4,2,2,8,0,2,21,10,9,8,139,7,5,0,14,5,15,4,0,24,22,19,24,168.4,5.04,68.56,64,306,
1400000US27001790502,,"Census Tract 7905.02, Aitkin County, Minnesota",7,0,7,0,5,5,0,6,22,8,3,16,157,7,0,16,6,8,15,12,7,40,10,17,19,127,0,0,17,2,7,20,0,0,29,15,20,17,219.8,7.28,43.92,92,363,
1400000US27003050107,,"Census Tract 501.07, Anoka County, Minnesota",7,0,0,0,10,0,0,38,41,138,32,0,259,0,8,0,9,0,0,0,61,44,81,27,29,183,0,16,0,20,8,11,0,0,27,28,20,53,277.6,8.96,260.44,161,708,
1400000US27003050108,,"Census Tract 501.08, Anoka County, Minnesota",14,0,93,11,26,15,1,17,159,107,58,174,403,20,0,0,10,12,6,0,5,198,69,24,59,353,10,66,0,0,0,6,7,11,120,62,41,30,711.6,38.16,295.24,386,1431,
1400000US27003050109,,"Census Tract 501.09, Anoka County, Minnesota",0,40,10,0,0,0,22,0,121,77,54,32,362,0,42,10,0,10,9,35,0,75,43,63,75,464,0,0,10,0,11,0,33,0,31,23,137,219,413.6,18.16,170.24,580,1182,
1400000US27003050110,,"Census Tract 501.10, Anoka County, Minnesota",0,0,3,0,0,11,0,0,8,6,21,38,210,0,16,3,0,27,6,0,0,34,42,24,58,165,0,4,0,0,0,0,0,0,29,67,28,37,126.8,5.68,123.52,206,462,
