idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 MEDICAL PARK DR,HELENA,MT,59601-8022",1.0,0.0,0.0,46.58107441,-111.99588999999999,0,1
1,"10 AVANTA WAY STE 3,BILLINGS,MT,59102-6874",2.0,0.0,0.0,45.76865997,-108.5981037,0,1
2,"1001 SW HIGGINS AVE STE 107,MISSOULA,MT,59803-1340",1.0,0.0,0.0,46.86043617,-113.99084380000001,0,1
3,"1002 SHILOH CROSSING BLVD,BILLINGS,MT,59102-7372",2.0,0.0,0.0,45.75182399,-108.6158014,0,1
4,"1009 S RESERVE ST,MISSOULA,MT,59801-3140",2.0,0.0,0.0,46.861632,-114.0396227,0,1
5,"1010 PARTRIDGE PL,HELENA,MT,59602-0516",1.0,0.0,0.0,46.62182448,-112.02374250000001,0,1
6,"102 1ST AVE E,POLSON,MT,59860-2335",1.0,0.0,0.0,47.69540853,-114.1615217,0,1
7,"1038 BROADWATER AVE,BILLINGS,MT,59102-5411",1.0,0.0,0.0,45.77706054,-108.54263229999998,0,1
8,"1045 N 27TH ST,BILLINGS,MT,59101-0711",1.0,0.0,0.0,45.79238152,-108.5140378,0,1
9,"105 NUCLEUS AVE,COLUMBIA FALLS,MT,59912-4010",4.0,0.0,0.0,48.3774125,-114.1811192,0,1
10,"1050 N MERIDIAN RD,KALISPELL,MT,59901-3542",1.0,0.0,0.0,48.2091208,-114.3304122,0,1
11,"1050 ROAD RUNNER ST,HELENA,MT,59602-0543",1.0,0.0,0.0,46.61843592,-112.023278,0,1
12,"108 1ST ST W,WHITEHALL,MT,59759-7794",0.5,0.0,0.0,45.87094456,-112.10049640000001,0,1
13,"108 N 11TH AVE STE 2,BOZEMAN,MT,59715-3264",2.0,0.0,0.0,45.68067117,-111.0509293,0,1
14,"108 N 11TH AVE STE 3,BOZEMAN,MT,59715-3264",0.0,1.0,0.0,45.68067117,-111.0509293,0,1
15,"108 N 11TH AVE,BOZEMAN,MT,59715-3262",1.0,0.0,0.0,45.68053344,-111.0514023,0,1
16,"108 TYLER WAY,LOLO,MT,59847-9714",2.0,0.0,0.0,46.76251445,-114.079653,0,1
17,"110 S IDAHO ST,DILLON,MT,59725-2512",1.0,0.0,0.0,45.2161413,-112.6377037,0,1
18,"1101 MARYLAND AVE,DEER LODGE,MT,59722-1807",1.0,0.0,0.0,46.39228752,-112.7219504,0,1
19,"112 S 1ST AVE,LAUREL,MT,59044-3399",2.0,0.0,0.0,45.66714258,-108.77154080000001,0,1
20,"1121 S HIGGINS AVE,MISSOULA,MT,59801-4142",1.0,0.0,0.0,46.860444,-113.9974902,0,1
21,"1125 W KAGY BLVD STE 201,BOZEMAN,MT,59715-5879",0.0,0.0,1.0,45.66027447,-111.052821,0,1
22,"1125 W KAGY BLVD STE 300,BOZEMAN,MT,59715-5879",1.0,0.0,0.0,45.66027447,-111.052821,0,1
23,"1125 W KAGY BLVD STE 303,BOZEMAN,MT,59715-5879",0.5,0.0,0.0,45.66027447,-111.052821,0,1
24,"113 W MAIN ST,LAUREL,MT,59044-3106",1.0,0.0,0.0,45.66908012,-108.7722395,0,1
25,"114 13TH ST S,GREAT FALLS,MT,59401-3816",1.0,0.0,0.0,47.50332367,-111.2851936,0,1
26,"115 4TH ST S,GREAT FALLS,MT,59401-3618",1.0,0.0,0.0,47.503935,-111.30078030000001,0,1
27,"115 COMMONS WAY STE 101,KALISPELL,MT,59901-1906",0.0,0.0,1.0,48.22069713,-114.3292611,0,1
28,"115 COMMONS WAY STE 102,KALISPELL,MT,59901-1906",1.0,0.0,1.0,48.22069713,-114.3292611,0,1
29,"115 COMMONS WAY,KALISPELL,MT,59901-1906",0.0,0.0,1.0,48.22069713,-114.3292611,0,1
30,"115 MILL ST,SHERIDAN,MT,59749-9630",1.0,0.0,0.0,45.45648013,-112.1960991,0,1
31,"115 S PACIFIC ST,DILLON,MT,59725-2752",2.0,0.0,0.0,45.21500277,-112.63588359999999,0,1
32,"115 W KAGY BLVD STE 1,BOZEMAN,MT,59715-6027",1.0,0.0,0.0,45.66044753,-111.0393436,0,1
33,"115 W KAGY BLVD STE C,BOZEMAN,MT,59715-6030",2.0,1.0,0.0,45.6604395,-111.0394145,0,1
34,"116 MAIN ST,WOLF POINT,MT,59201-1530",1.0,0.0,0.0,48.09083434,-105.63788600000001,0,1
35,"116 N MEADE AVE,GLENDIVE,MT,59330-1604",1.0,0.0,0.0,47.10606357,-104.715559,0,1
36,"116 W 3RD ST,ANACONDA,MT,59711-2205",1.0,0.0,0.0,46.12851131,-112.9543963,0,1
37,"118 S 4TH ST,MANHATTAN,MT,59741-2210",1.0,0.0,0.0,45.8563723,-111.3349719,0,1
38,"1195 STONERIDGE DR STE 1,BOZEMAN,MT,59718-7048",1.0,0.0,0.0,45.69143435,-111.06339979999998,0,1
39,"120 1ST ST N,GLASGOW,MT,59230-1907",1.0,0.0,0.0,48.19551482,-106.62891189999999,0,1
40,"120 LJK WAY,STEVENSVILLE,MT,59870-6562",1.0,0.0,0.0,46.49144046,-114.0924313,0,1
41,"1201 KENSINGTON AVE,MISSOULA,MT,59801-5624",1.0,0.0,0.0,46.85329952,-114.0167919,0,1
42,"121 4TH ST N STE 2D,GREAT FALLS,MT,59401-2552",1.0,0.0,0.0,47.507193,-111.3007729,0,1
43,"121 N LAST CHANCE GULCH,HELENA,MT,59601-4159",3.0,0.0,0.0,46.58842764,-112.03869040000001,0,1
44,"121 W KAGY BLVD STE C,BOZEMAN,MT,59715-6026",1.0,0.0,0.0,45.6604355,-111.039763,0,1
45,"121 W KAGY BLVD,BOZEMAN,MT,59715-6000",1.0,0.0,0.0,45.6604355,-111.039763,0,1
46,"1211 S RESERVE ST STE 201,MISSOULA,MT,59801-3104",1.0,0.0,0.0,46.86039827,-114.0396327,0,1
47,"122 2ND ST SE,SIDNEY,MT,59270-4104",1.0,0.0,0.0,47.71403094,-104.1567926,0,1
48,"1220 MAIN ST,FORT BENTON,MT,59442-8933",1.0,0.0,0.0,47.81635031,-110.67036170000002,0,1
49,"1227 S HIGGINS AVE,MISSOULA,MT,59801-4140",3.0,0.0,0.0,46.85886858,-113.99749070000001,0,1
50,"1228 WHITEFISH STAGE,KALISPELL,MT,59901-2753",1.0,0.0,0.0,48.22263008,-114.3077233,0,1
51,"123 MAIN ST STE 1,THREE FORKS,MT,59752-8998",1.0,0.0,0.0,45.89324999,-111.55232099999999,0,1
52,"124 1ST AVE W,KALISPELL,MT,59901-4442",1.0,0.0,0.0,48.19706569,-114.3148781,0,1
53,"1240 DEWEY BLVD,BUTTE,MT,59701-3411",1.0,0.0,0.0,45.98336754,-112.5213297,0,1
54,"1250 BURNS WAY STE 2,KALISPELL,MT,59901-3140",1.0,0.0,0.0,48.21242848,-114.32462340000002,0,1
55,"127 VILLAGE DR STE 100,BELGRADE,MT,59714-9617",1.0,0.0,0.0,45.77337378,-111.22028759999999,0,1
56,"1300 N MONTANA AVE,HELENA,MT,59601-3507",0.5,0.0,0.0,46.59739277,-112.0205524,0,1
57,"1301 12TH AVE S,GREAT FALLS,MT,59405-4600",1.0,0.0,0.0,47.49204049,-111.28457250000001,0,1
58,"1313 W PARK ST STE 2,LIVINGSTON,MT,59047-2900",1.0,0.0,0.0,45.651551899999994,-110.5719544,0,1
59,"132 S CENTRAL AVE,MALTA,MT,59538-9059",1.0,0.0,0.0,48.35921766,-107.87431090000001,0,1
60,"140 5TH ST W,KALISPELL,MT,59901-4822",1.0,0.0,0.0,48.19347069,-114.31441609999999,0,1
61,"1454 DEWEY BLVD,BUTTE,MT,59701-3418",1.0,0.0,0.0,45.98339454,-112.51680290000002,0,1
62,"15 1ST ST NE,CHOTEAU,MT,59422-9275",2.0,0.0,0.0,47.81242267,-112.18324309999998,0,1
63,"15 MONTANA AVE,LAUREL,MT,59044-3139",1.0,0.0,0.0,45.67026254,-108.77028909999999,0,1
64,"150 BILLS RD,LAKESIDE,MT,59922-9650",1.0,0.0,0.0,48.02185746,-114.2282025,0,1
65,"1501 14TH ST W,BILLINGS,MT,59102-3150",1.0,0.0,0.0,45.785763,-108.5511331,0,1
66,"152 S 32ND ST W STE B,BILLINGS,MT,59102-6875",0.0,0.0,2.0,45.76774499,-108.59694340000001,0,1
67,"152 S 32ND ST W,BILLINGS,MT,59102-6875",0.0,0.0,1.0,45.76774499,-108.59694340000001,0,1
68,"1524 9TH AVE S,GREAT FALLS,MT,59405-2611",1.0,0.0,0.0,47.49526149,-111.2802618,0,1
69,"15276 BELKER LN,FRENCHTOWN,MT,59834-8523",1.5,0.0,0.0,47.01787809,-114.22685359999998,0,1
70,"1537 AVENUE D STE 200,BILLINGS,MT,59102-3048",1.0,0.0,0.0,45.78706745,-108.55542140000001,0,1
71,"1537 AVENUE D STE 205,BILLINGS,MT,59102-3048",1.0,0.0,0.0,45.78706745,-108.55542140000001,0,1
72,"1537 AVENUE D STE 212,BILLINGS,MT,59102-3048",1.0,0.0,0.0,45.78706745,-108.55542140000001,0,1
73,"1540 LAKE ELMO DR STE 2,BILLINGS,MT,59105-1798",1.0,0.0,0.0,45.82692,-108.47644050000001,0,1
74,"1547 S HIGGINS AVE,MISSOULA,MT,59801-4226",2.0,0.0,2.0,46.856268,-113.99747020000001,0,1
75,"1550 HARRISON AVE,BUTTE,MT,59701-4853",0.5,0.0,0.0,45.99946707,-112.5170415,0,1
76,"1550 SOUTH AVE W,MISSOULA,MT,59801-7806",2.0,0.0,0.0,46.84890246,-114.0199415,0,1
77,"160 HERITAGE WAY STE 101,KALISPELL,MT,59901-3127",1.0,0.0,0.0,48.21813285,-114.3280168,0,1
78,"160 NUCLEUS AVE,COLUMBIA FALLS,MT,59912-4010",2.0,0.0,0.0,48.37786149,-114.1812054,0,1
79,"1601 ZIMMERMAN TRL STE 1,BILLINGS,MT,59102-7654",0.0,3.0,0.0,45.78088427,-108.59962390000001,0,1
80,"1608 MAIN ST E,THOMPSON FALLS,MT,59873",1.0,0.0,0.0,47.58878058,-115.3197452,0,1
81,"1617 MAIN ST,FORSYTH,MT,59327",1.0,0.0,0.0,46.26924167,-106.6702616,0,1
82,"16350 BECKWITH ST,FRENCHTOWN,MT,59834-9812",1.0,0.0,0.0,47.01397363,-114.2274628,0,1
83,"1648 ELLIS ST STE 202,BOZEMAN,MT,59715-8811",1.0,0.0,0.0,45.67208652,-111.0127,0,1
84,"1690 RIMROCK RD STE B,BILLINGS,MT,59102-0700",1.0,0.0,0.0,45.79857448,-108.5589315,0,1
85,"1690 RIMROCK RD STE F,BILLINGS,MT,59102-0700",1.0,0.0,0.0,45.79857448,-108.5589315,0,1
86,"1700 W KOCH ST STE 1,BOZEMAN,MT,59715-4148",1.0,0.0,0.0,45.67528547,-111.0601522,0,1
87,"1701 AVENUE E STE C,BILLINGS,MT,59102-2943",1.0,0.0,1.0,45.78808746,-108.5594031,0,1
88,"1711 13TH ST W,BILLINGS,MT,59102-3233",1.0,0.0,0.0,45.78716741,-108.54855359999999,0,1
89,"1716 W MAIN ST STE 8D,BOZEMAN,MT,59715-6821",1.0,0.0,0.0,45.67928954,-111.0600315,0,1
90,"1717 4TH ST S,GREAT FALLS,MT,59405-4133",0.0,1.0,0.0,47.48642151,-111.3011094,0,1
91,"176 S 32ND ST W STE 2,BILLINGS,MT,59102-6867",2.0,0.0,0.0,45.767268,-108.59693940000001,0,1
92,"1805 W DICKERSON ST STE 2 # 2,BOZEMAN,MT,59715-4131",1.0,0.0,0.0,45.6733415,-111.06188999999999,0,1
93,"1806 11TH AVE,HELENA,MT,59601-4768",0.0,0.0,2.0,46.58986948,-112.00845159999999,0,1
