,State_County_Tract_FIPS_Code
30111001803,28
30031001200,19
30013010600,17
30063001302,14
30031000102,13
30063001100,11
30029000800,9
30049000600,9
30111940000,7
30111001401,7
30043962201,6
30013010100,6
30047940303,6
30093000800,6
30063001200,5
30029001700,5
30041040200,5
30017961300,4
30023000500,4
30047000100,4
30049000900,4
30081000500,3
30101000200,3
30111001402,3
30053000200,3
30029000900,3
30031000502,3
30085940002,2
30083070200,2
30093000500,2
30029000401,2
30035976000,2
30049001100,2
30063001600,2
30105100100,2
30063000202,2
30057000100,2
30099000300,2
30111001704,2
30021000200,2
30087000200,2
30093000600,2
30035940400,2
30027030200,1
30077000200,1
30031001101,1
30031000101,1
30007000200,1
30049000502,1
30099000200,1
30029001302,1
30001000100,1
30063000100,1
30021000300,1
30063001800,1
30047940600,1
30047940301,1
30049000800,1
30009000400,1
30097967000,1
30063000500,1
30031000503,1
30031001001,1
30053000100,1
30063001500,1
30111001502,1
30047940500,1
30111001801,1
30067000200,1
30005940100,1
30057000300,1
30083070300,1
30053000400,1
30043962202,1
30063000400,1
30111001100,1
30063000902,1
30063001400,1
30111001902,1
30029001000,1
30095966500,1
30029001200,1
30091090200,1
30073977000,1
30063001304,1
30111001300,1
30029000300,1
