,State_County_Tract_FIPS_Code
30029000900,20
30049001100,17
30063001200,13
30111000402,13
30111001804,13
30093000600,11
30063001000,8
30029000203,8
30063001100,8
30031001002,8
30049000800,7
30013002100,7
30031000701,7
30111001703,7
30027030200,7
30063001302,7
30111001803,7
30031000503,7
30111001200,7
30081000500,6
30067000400,6
30063000901,6
30049000900,6
30001000300,6
30111001704,5
30029001000,5
30111001100,5
30041040300,5
30047940303,4
30047940500,3
30031001101,3
30013001000,3
30063001600,3
30111001901,3
30013002200,3
30093000200,3
30031000200,3
30013000700,3
30031000900,3
30009000300,3
30053000200,3
30013001100,3
30111001802,3
30031000103,3
30049000502,3
30013000300,2
30073977000,2
30047940301,2
30031000702,2
30081000600,2
30029000300,2
30003000100,2
30017961600,2
30111000706,2
30111000701,2
30029000401,2
30051050100,2
30021000300,2
30111001702,2
30111000600,2
30081000100,2
30029000402,2
30029000700,2
30105100500,2
30111001902,2
30099000300,2
30107000100,2
30083070400,2
30111000500,2
30063001500,2
30099000200,2
30019020300,2
30029000800,2
30013010800,2
30023000400,2
30035976000,2
30111001401,2
30093000500,2
30089000100,2
30081000201,2
30077000200,2
30023000300,2
30043962300,1
30031000400,1
30057000300,1
30007000100,1
30093000100,1
30049001000,1
30087000100,1
30111001000,1
30057000200,1
30017962000,1
30029001301,1
30071060200,1
30093000700,1
30097967000,1
30031001200,1
30015010200,1
30093000300,1
30111001300,1
30013001800,1
30095966500,1
30033000100,1
30005000200,1
30031000300,1
30025000100,1
30063000202,1
30085940001,1
30091090200,1
30057000100,1
30043962202,1
30043962201,1
30029001400,1
30087000300,1
30095966400,1
30089000200,1
30111000200,1
30013000900,1
30065000200,1
30081000300,1
30013000800,1
30053000500,1
30053000400,1
