id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US30001000100,,"Census Tract 1, Beaverhead County, Montana",2,4,3,2,0,0,11,2,5,12,23,10,31,0,4,3,0,0,7,0,6,0,1,7,3,50,0,14,2,3,10,2,3,2,11,1,0,2,42,48.56,19.44,45,155,222192
1400000US30001000200,,"Census Tract 2, Beaverhead County, Montana",24,0,5,4,0,58,21,13,0,21,46,53,231,8,0,2,16,0,17,26,18,20,44,34,46,336,0,0,0,59,24,31,38,0,47,46,83,8,130,278.22,133.78,270,812,
1400000US30001000300,,"Census Tract 3, Beaverhead County, Montana",25,0,13,0,0,32,0,0,111,21,33,10,194,12,0,9,0,18,0,0,13,89,53,0,0,242,0,0,0,0,57,77,0,26,36,26,0,20,96.5,341.26,180.24,63,681,
1400000US30003000100,,"Census Tract 1, Big Horn County, Montana",93,30,0,131,60,74,0,108,53,0,14,32,484,0,24,22,53,18,34,0,180,124,0,29,0,430,0,5,29,94,22,95,47,56,25,17,0,40,531,777.32,85.68,115,1509,
1400000US30003940400,,"Census Tract 9404, Big Horn County, Montana",63,0,29,24,41,0,0,13,33,0,0,0,200,56,0,49,12,16,0,0,27,18,14,8,0,214,42,1,45,11,50,0,0,15,26,8,13,3,385.5,159.32,48.18,24,617,
1400000US30003940500,,"Census Tract 9405, Big Horn County, Montana",24,5,2,26,5,9,0,16,9,18,4,11,181,32,0,31,35,10,4,0,23,21,13,12,0,143,6,0,22,3,13,0,0,5,24,57,13,0,200,106.64,106.36,40,453,
1400000US30003940600,,"Census Tract 9406, Big Horn County, Montana",47,35,53,28,17,27,13,19,30,18,14,11,505,62,98,52,32,42,26,7,7,89,50,26,14,413,118,53,28,34,27,30,0,26,59,15,23,0,683,315.48,143.52,88,1230,
1400000US30003940700,,"Census Tract 9407, Big Horn County, Montana",27,14,20,19,9,15,4,15,31,17,8,5,217,36,11,28,20,4,29,8,11,37,16,6,11,196,39,22,22,11,5,19,7,13,7,33,11,7,278,179.5,91.5,48,597,
1400000US30005000100,,"Census Tract 1, Blaine County, Montana",14,5,0,35,2,2,0,6,31,4,0,15,99,13,22,10,3,0,0,0,5,9,4,0,33,109,8,12,15,2,2,0,2,13,34,3,0,18,141,78.84,36.16,66,322,
1400000US30005000200,,"Census Tract 2, Blaine County, Montana",0,17,9,23,38,2,0,21,22,21,10,15,189,2,0,55,26,42,12,0,8,38,0,3,3,189,9,12,30,29,11,21,0,0,39,17,0,21,257.5,174.84,71.66,52,556,
1400000US30005940100,,"Census Tract 9401, Blaine County, Montana",111,0,35,0,8,8,0,19,41,8,3,0,236,63,13,29,0,0,16,30,16,33,22,7,7,159,82,0,13,0,0,0,25,0,20,0,0,19,350,180.04,61.96,36,628,
1400000US30005940200,,"Census Tract 9402, Blaine County, Montana",97,8,12,0,9,6,0,3,28,8,0,0,157,82,4,10,3,0,5,6,4,36,0,3,4,170,58,4,30,5,0,8,0,5,45,15,0,0,317.5,113.44,60.06,7,498,
1400000US30007000100,,"Census Tract 1, Broadwater County, Montana",11,0,0,6,0,0,0,11,14,0,7,0,180,7,13,4,6,0,23,0,7,79,12,16,13,238,0,29,7,17,0,64,0,0,72,21,4,24,100,213.9,89.1,64,467,
1400000US30007000200,,"Census Tract 2, Broadwater County, Montana",0,0,0,58,47,38,11,0,68,0,16,29,127,0,0,0,27,18,11,11,8,19,0,16,17,287,0,0,0,0,9,19,0,4,51,8,25,171,122,230.08,54.92,274,681,
1400000US30009000100,,"Census Tract 1, Carbon County, Montana",0,0,2,0,7,0,12,0,93,23,26,0,213,0,9,2,0,6,1,5,0,116,59,10,5,194,0,38,3,0,8,1,0,5,53,15,37,34,64.5,207.42,186.08,112,570,
1400000US30009000200,,"Census Tract 2, Carbon County, Montana",0,0,0,0,0,6,4,0,18,11,20,10,136,0,0,13,3,0,7,16,0,28,21,19,29,135,0,0,11,1,9,0,1,0,38,26,20,29,32.5,93.94,86.56,127,340,
1400000US30009000300,,"Census Tract 3, Carbon County, Montana",0,0,16,0,0,0,7,0,12,10,6,7,117,0,5,37,0,0,0,0,0,40,4,11,20,212,0,30,60,0,0,55,6,0,22,28,5,6,148,116.84,67.16,55,387,
1400000US30009000400,,"Census Tract 4, Carbon County, Montana",0,0,2,13,0,9,0,0,0,5,29,26,120,0,0,2,0,6,0,0,0,49,9,30,24,139,3,0,0,0,6,0,0,0,83,11,19,17,26,102.12,69.88,145,343,
1400000US30009000500,,"Census Tract 5, Carbon County, Montana",2,7,25,24,0,0,0,0,14,5,4,13,79,2,5,0,20,0,6,0,0,12,7,3,24,90,8,0,3,3,0,6,0,0,31,12,14,13,99,49.62,43.38,71,263,
1400000US30011000300,,"Census Tract 3, Carter County, Montana",6,0,10,0,4,15,0,2,22,14,0,12,107,0,0,36,0,0,9,0,2,32,23,0,5,65,2,0,0,0,5,0,1,0,20,12,0,25,58.5,82.34,74.16,42,257,
1400000US30013000100,,"Census Tract 1, Cascade County, Montana",0,0,0,0,0,0,0,0,0,25,0,64,276,0,70,0,0,0,42,87,0,7,70,0,0,88,0,9,0,2,0,9,44,0,0,21,0,3,81,186.62,118.38,67,453,
