idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"100 N 12TH ST STE 502,LINCOLN,NE,68508-1462",1.0,0.0,0.0,40.81362745,-96.70385249,1,0
1,"1003 W 3RD ST,GRAND ISLAND,NE,68801-5831",3.0,0.0,0.0,40.92168176,-98.35002297,1,0
2,"1005 A ST,SCHUYLER,NE,68661-1927",1.0,0.0,0.0,41.44665633,-97.05851869,1,0
3,"102 E MAIN ST,PIERCE,NE,68767",1.0,0.0,0.0,42.19903149,-97.52714083,1,0
4,"102 S ELM ST,NORTH PLATTE,NE,69101-5170",1.0,0.0,0.0,41.13312333,-100.771577,1,0
5,"1021 N 27TH ST,LINCOLN,NE,68503",1.0,0.0,0.0,40.82388299,-96.68230631,1,0
6,"105 W ELDORA AVE,WEEPING WATER,NE,68463-4201",1.5,0.0,0.0,40.86988673,-96.14252085,1,0
7,"106 E 2ND ST,RUSHVILLE,NE,69360-4597",1.0,0.0,0.0,42.71822677,-102.4636285,1,0
8,"106 W 2ND ST,TILDEN,NE,68781-4797",1.0,0.0,0.0,42.04704887,-97.83423626,1,0
9,"10635 FORT ST,OMAHA,NE,68134-1203",1.0,0.0,0.0,41.30658747,-96.0793415,1,0
10,"10801 BLONDO ST STE D,OMAHA,NE,68164-3837",2.0,0.0,0.0,41.27776047,-96.08194246,1,0
11,"10810 PRAIRIE HILLS DR,OMAHA,NE,68144-4830",1.0,0.0,0.0,41.23202591,-96.08165457,1,0
12,"10828 JOHN GALT BLVD STE 104,OMAHA,NE,68137-2328",1.0,0.0,0.0,41.2102055,-96.08297399,1,0
13,"109 W 4TH AVE,RED CLOUD,NE,68970-2432",0.5,0.0,0.0,40.088882700000006,-98.51948794,1,0
14,"110 CEDARDALE RD,PAPILLION,NE,68046-2817",1.0,0.0,0.0,41.14356647,-96.0421938,1,0
15,"110 E HAWTHORNE ST,MINDEN,NE,68959-1971",2.0,0.0,0.0,40.49486045,-98.95140997,1,0
16,"110 EASTSIDE BLVD STE A,BEATRICE,NE,68310-3480",1.0,0.0,0.0,40.26601741,-96.71674753,1,0
17,"110 N 37TH ST STE 401,NORFOLK,NE,68701-3283",0.0,1.0,0.0,42.03409416,-97.46559499,1,0
18,"110 W BENJAMIN AVE,NORFOLK,NE,68701-2913",2.0,0.0,0.0,42.04731752,-97.40886244,1,0
19,"1100 CENTRAL AVE,NEBRASKA CITY,NE,68410-2308",1.0,0.0,0.0,40.67677286,-95.85898484,1,0
20,"1101 S 70TH ST STE 201,LINCOLN,NE,68510-4293",2.0,0.0,0.0,40.80181449,-96.62512628,1,0
21,"1109 W NORFOLK AVE,NORFOLK,NE,68701-4938",1.0,0.0,0.0,42.03258047,-97.42273199,1,0
22,"111 N DEWEY ST,NORTH PLATTE,NE,69101-5439",1.5,0.5,0.0,41.13356183,-100.7626468,1,0
23,"1111 N 102ND CT STE 202,OMAHA,NE,68114-2194",2.0,0.0,0.0,41.26941075,-96.07286992,1,0
24,"11110 FORT ST STE 106,OMAHA,NE,68164-2183",2.5,0.0,0.0,41.30673452,-96.08541298,1,0
25,"1113 N 72ND ST,OMAHA,NE,68114-3246",1.0,0.0,0.0,41.27021197,-96.02384393,1,0
26,"112 S B ST,MILFORD,NE,68405-9332",2.0,0.0,0.0,40.7735733,-97.05174772,1,0
27,"112 W F ST,NORTH PLATTE,NE,69101-5345",0.5,0.0,0.0,41.12885549,-100.764693,1,0
28,"113 E 5TH ST,ALLIANCE,NE,69301-3407",1.0,0.0,0.0,42.09909242,-102.8705408,1,0
29,"11320 Q ST,OMAHA,NE,68137-3679",0.5,0.0,0.0,41.20539946,-96.08928299,1,0
30,"11336 S 96TH ST STE 111,PAPILLION,NE,68046-4211",0.0,1.0,0.0,41.14420424,-96.06411375,1,0
31,"1140 N 83RD ST,LINCOLN,NE,68505-2080",1.0,0.0,0.0,40.82499804,-96.60674467,1,0
32,"11511 S 42ND ST STE 101,BELLEVUE,NE,68123-1089",0.0,1.0,0.0,41.13884766,-95.97624561,1,0
33,"11717 BURT ST STE 100,OMAHA,NE,68154-1500",1.0,0.0,0.0,41.26562979,-96.09853355,1,0
34,"11820 STANDING STONE DR,GRETNA,NE,68028-7979",1.0,0.0,0.0,41.13181258,-96.24880874,1,0
35,"11836 ELM ST STE 2,OMAHA,NE,68144-4439",1.0,0.0,0.0,41.23279128,-96.09928623,1,0
36,"119 N 51ST ST STE 403,OMAHA,NE,68132-2867",0.0,1.0,0.0,41.260266,-95.99264744,1,0
37,"120 W 2ND ST,WAYNE,NE,68787-1957",1.0,0.0,0.0,42.2303015,-97.01894249,1,0
38,"1201 BETZ RD,BELLEVUE,NE,68005-3059",1.0,0.0,0.0,41.1484874,-95.91907308,1,0
39,"1201 S 157TH ST,OMAHA,NE,68130-4910",1.0,0.0,0.0,41.245318,-96.15989703,1,0
40,"121 E 31ST ST,KEARNEY,NE,68847-3001",1.0,0.0,0.0,40.70636948,-99.0790818,1,0
41,"12100 W CENTER RD STE 521,OMAHA,NE,68144-3960",1.0,0.0,0.0,41.2341145,-96.10259408,1,0
42,"1217 N COTNER BLVD,LINCOLN,NE,68505-1837",1.0,0.0,0.0,40.82524256,-96.63264564,1,0
43,"1223 HILL ST,HOLDREGE,NE,68949-1235",1.0,0.0,0.0,40.44750311,-99.38086662,1,0
44,"1225 S POPLAR ST STE 500,NORTH PLATTE,NE,69101-7785",1.0,0.0,0.0,41.12279927,-100.7566176,1,0
45,"1226 L ST,AURORA,NE,68818-2047",1.0,0.0,0.0,40.86721554,-98.00180971,1,0
46,"12317 GOLD ST,OMAHA,NE,68144-2760",1.0,0.0,0.0,41.23465108,-96.10560828,1,0
47,"1270 SAGE ST,GERING,NE,69341-3228",1.0,0.0,0.0,41.821173,-103.6657461,1,0
48,"130 E 13TH ST,CRETE,NE,68333-2235",1.0,0.0,0.0,40.62526746,-96.96068099,1,0
49,"1300 VERGES AVE,NORFOLK,NE,68701",1.0,0.0,0.0,42.03730394,-97.42671944,1,0
50,"1300 W NEBRASKA AVE,NORFOLK,NE,68701-3684",1.0,0.0,0.0,42.03513148,-97.42699341,1,0
51,"1304 HARLAN DR,BELLEVUE,NE,68005-3648",1.0,0.0,0.0,41.14129101,-95.91045498,1,0
52,"1304 KINGWOOD AVE,CRETE,NE,68333-1641",1.0,0.0,0.0,40.62545086,-96.95900683,1,0
53,"13057 W CENTER RD STE 15,OMAHA,NE,68144-3723",1.0,0.0,0.0,41.233964,-96.11808626,1,0
54,"132 W PARK ST,WEST POINT,NE,68788-1808",1.0,0.0,0.0,41.84030936,-96.7129335,1,0
55,"1320 W A ST,LINCOLN,NE,68522-1231",2.0,0.0,0.0,40.79921351,-96.7399208,1,0
56,"138 S 17TH ST,BLAIR,NE,68008-2038",1.0,0.0,0.0,41.54302799,-96.13772528,1,0
57,"13808 W MAPLE RD STE 112,OMAHA,NE,68164-6231",0.0,0.0,1.0,41.29216949,-96.12929249,1,0
58,"13819 T PLZ,OMAHA,NE,68137-2930",1.0,0.0,0.0,41.20217291,-96.12957941,1,0
59,"140 S 16TH ST,LINCOLN,NE,68508-1805",1.0,0.0,0.0,40.81272856,-96.69814312,1,0
60,"1411 J F KENNEDY DR,BELLEVUE,NE,68005-3639",1.0,0.0,0.0,41.14401653,-95.91265294,1,0
61,"14111 PACIFIC ST,OMAHA,NE,68154-2863",1.0,0.0,0.0,41.24854151,-96.13558324,1,0
62,"14202 Y ST,OMAHA,NE,68137-2862",1.0,0.0,0.0,41.19834542,-96.13661248,1,0
63,"14211 ARBOR ST,OMAHA,NE,68144-2302",1.0,0.0,0.0,41.23559147,-96.13704149,1,0
64,"144 N 44TH ST STE B,LINCOLN,NE,68503-3701",1.0,0.0,0.0,40.81425333,-96.65846467,1,0
65,"14450 EAGLE RUN DR STE 110,OMAHA,NE,68116-1457",1.0,0.0,0.0,41.2876134,-96.1401863,1,0
66,"14625 CALIFORNIA ST,OMAHA,NE,68154-1950",0.0,0.0,1.0,41.26421168,-96.14151665,1,0
67,"14707 CALIFORNIA ST STE 4,OMAHA,NE,68154-1900",2.0,0.0,0.0,41.26470553,-96.1441035,1,0
68,"14801 W CENTER RD,OMAHA,NE,68144-3298",0.5,0.0,0.0,41.23362057,-96.14657206,1,0
69,"1500 S 70TH ST STE 200,LINCOLN,NE,68506-1574",1.0,0.0,0.0,40.796973,-96.62501415,1,0
70,"1502 N 13TH ST,NORFOLK,NE,68701-2381",1.5,0.0,0.0,42.049395,-97.42654403,1,0
71,"1513 CENTRAL AVE,NEBRASKA CITY,NE,68410-2225",1.0,0.0,0.0,40.67665764,-95.86437132,1,0
72,"1530 S 70TH ST STE 104,LINCOLN,NE,68506-1567",1.0,0.0,0.0,40.79615748,-96.62500674,1,0
73,"15813 C W HADAN DR,BENNINGTON,NE,68007-2017",0.5,0.0,0.0,41.37235995,-96.1615385,1,0
74,"1603 GALVIN RD S,BELLEVUE,NE,68005-3808",1.0,0.0,0.0,41.1436958,-95.91122911,1,0
75,"1620 S 70TH ST STE 104,LINCOLN,NE,68506-1563",1.0,0.0,0.0,40.79559901,-96.6249889,1,0
76,"1660 S 70TH ST STE 200,LINCOLN,NE,68506-1570",0.0,1.0,0.0,40.79562436,-96.62500718,1,0
77,"16909 LAKESIDE HILLS PLZ STE 111,OMAHA,NE,68130-4652",1.0,0.0,0.0,41.23552144,-96.17813149,1,0
78,"1710 N 144TH ST,OMAHA,NE,68154-4715",1.0,0.0,0.0,41.27583599,-96.13894802,1,0
79,"17110 LAKESIDE HILLS PLZ,OMAHA,NE,68130-5600",1.0,0.0,0.0,41.23609982,-96.1831903,1,0
80,"1730 M ST,ORD,NE,68862-1304",1.0,0.0,0.0,41.60215647,-98.93128097,1,0
81,"1745 N 86TH ST,LINCOLN,NE,68505-3632",2.0,0.0,0.0,40.83044972,-96.60357671,1,0
82,"17607 GOLD PLZ STE 108,OMAHA,NE,68130-5605",0.5,0.0,0.0,41.23506891,-96.1906751,1,0
83,"17853 PIERCE PLZ,OMAHA,NE,68130-1035",1.0,0.0,0.0,41.24739015,-96.19400273,1,0
84,"18021 R PLZ STE 1,OMAHA,NE,68135-1901",1.0,0.0,0.0,41.20395221,-96.19765983,1,0
85,"1804 N CLEBURN ST,GRAND ISLAND,NE,68801-3539",1.0,0.0,0.0,40.93819415,-98.35732249,1,0
86,"1811 W 2ND ST STE 205,GRAND ISLAND,NE,68803-5418",1.0,0.0,0.0,40.917231,-98.35816917,1,0
87,"1902 N LINCOLN AVE,YORK,NE,68467-1024",1.0,0.0,0.0,40.879278,-97.59296612,1,0
88,"1909 W FAIDLEY AVE,GRAND ISLAND,NE,68803-4642",1.0,0.0,0.0,40.92406999,-98.3604268,1,0
89,"1915 N 121ST ST STE A,OMAHA,NE,68154-4648",1.0,0.0,0.0,41.27685056,-96.10351658,1,0
90,"1919 S 40TH ST STE 105,LINCOLN,NE,68506-5247",1.0,0.0,0.0,40.79297632,-96.66334781,1,0
91,"1919 S 40TH ST STE 202,LINCOLN,NE,68506-5247",1.0,0.0,0.0,40.79297641,-96.66333775,1,0
92,"1919 S 40TH ST STE 218,LINCOLN,NE,68506-5247",1.0,0.0,0.0,40.79297632,-96.66334781,1,0
93,"1919 W A ST,NORTH PLATTE,NE,69101-4577",1.0,1.0,0.0,41.13361817,-100.7858895,1,0
94,"2010 COURT ST,BEATRICE,NE,68310-3209",1.0,0.0,0.0,40.26582951,-96.72614002,1,0
95,"20281 WIRT ST,ELKHORN,NE,68022-2694",1.0,0.0,0.0,41.28669067,-96.23176198,1,0
96,"2071 33RD AVE STE A,COLUMBUS,NE,68601-3178",1.0,0.0,0.0,41.43679545,-97.36817443,1,0
97,"208 S MAIN ST,VERDIGRE,NE,68783-5110",1.0,0.0,0.0,42.59888705,-98.03345467,1,0
98,"2104 TAYLOR AVE,NORFOLK,NE,68701-4640",1.0,0.0,0.0,42.02624081,-97.4396948,1,0
99,"2115 N KANSAS AVE STE 202,HASTINGS,NE,68901-2615",1.0,0.0,0.0,40.60696545,-98.38596019,1,0
100,"216 E 10TH ST,SCHUYLER,NE,68661-2160",1.0,0.0,0.0,41.44636550000001,-97.05772349,1,0
101,"2217 W 12TH ST,HASTINGS,NE,68901-3618",3.0,0.0,0.0,40.59698552,-98.4138705,1,0
102,"2220 N NYE AVE,FREMONT,NE,68025-2543",1.0,0.0,0.0,41.45071575,-96.50186383,1,0
103,"2222 S 16TH ST STE C300,LINCOLN,NE,68502-3796",1.0,0.0,0.0,40.79161711,-96.69836562,1,0
104,"224 MAIN ST,LYONS,NE,68038-2676",0.5,0.0,0.0,41.93762466,-96.47686586,1,0
105,"228 N OAKLAND AVE,OAKLAND,NE,68045-1339",1.0,0.0,0.0,41.83485103,-96.46677509,1,0
106,"230 E 22ND ST,FREMONT,NE,68025-2661",1.0,0.0,0.0,41.4504875,-96.4940715,1,0
107,"2302 8TH AVE # 8,PLATTSMOUTH,NE,68048-2365",1.0,0.0,0.0,41.00321748,-95.90750099,1,0
108,"2302 8TH AVE STE 2,PLATTSMOUTH,NE,68048-2365",1.0,0.0,0.0,41.00321748,-95.90750099,1,0
109,"2400 BROADWAY,SCOTTSBLUFF,NE,69361-1605",1.0,0.0,0.0,41.870385,-103.6628989,1,0
110,"2410 S 73RD ST,OMAHA,NE,68124-2395",0.0,1.0,0.0,41.23659558,-96.02605049,1,0
111,"242 CENTRAL AVE,GRANT,NE,69140-3016",1.0,0.0,0.0,40.84176546,-101.7251182,1,0
112,"2424 OAK ST,OMAHA,NE,68105-3727",0.0,0.5,0.0,41.23186545,-95.94814078,1,0
113,"2430 S 179TH ST,OMAHA,NE,68130-2687",0.0,1.0,0.0,41.23948848,-96.19536669,1,0
114,"2456 S 120TH ST,OMAHA,NE,68144-2811",1.0,0.0,0.0,41.23722298,-96.10076645,1,0
115,"2503 N 30TH ST,OMAHA,NE,68111-3703",1.0,0.0,0.0,41.28154365,-95.95651613,1,0
116,"2504 N WEBB RD,GRAND ISLAND,NE,68803-1338",1.0,0.0,0.0,40.94632758,-98.37874837,1,0
117,"2505 S 174TH PLZ,OMAHA,NE,68130-2361",1.0,0.0,0.0,41.23596315,-96.18724881,1,0
118,"251 CAPITOL BEACH BLVD STE 14,LINCOLN,NE,68528-1647",1.0,0.0,0.0,40.815117,-96.73976137,1,0
119,"2514 S 119TH ST,OMAHA,NE,68144-2869",0.0,1.0,0.0,41.23574342,-96.09841752,1,0
120,"255 N MAPLE ST,AINSWORTH,NE,69210-1420",0.5,0.0,0.0,42.54780482,-99.85970726,1,0
121,"2583 STATE HIGHWAY 14 STE 1,ALBION,NE,68620-5910",1.0,0.0,0.0,41.68569269,-97.99281408,1,0
122,"260 REGENCY PARKWAY DR STE 104,OMAHA,NE,68114-3733",1.0,0.0,0.0,41.257065,-96.07359802,1,0
123,"2613 CIRCLE DR,SCOTTSBLUFF,NE,69361-1751",1.0,0.0,0.0,41.872986,-103.6535936,1,0
124,"2623 N 72ND ST,OMAHA,NE,68134-7013",1.0,0.0,0.0,41.28357541,-96.02384391,1,0
125,"2623 STOCKWELL ST,LINCOLN,NE,68502-5755",1.0,0.0,0.0,40.775248100000006,-96.68389737,1,0
126,"2628 W 2ND ST,HASTINGS,NE,68901-4606",1.0,0.0,0.0,40.58535943,-98.41940352,1,0
127,"2678 11TH AVE STE 1,SIDNEY,NE,69162-2471",1.0,0.0,0.0,41.12346479,-102.9769269,1,0
128,"2710 S 70TH ST,LINCOLN,NE,68506-2925",2.0,0.0,0.0,40.785066,-96.62502467,1,0
129,"2746 N 63RD ST,OMAHA,NE,68104-4030",1.0,0.0,0.0,41.284782,-96.00962054,1,0
130,"275 N MAIN ST,VALENTINE,NE,69201-1840",1.0,0.0,0.0,42.87448793,-100.5506994,1,0
131,"2802 WEBSTER ST,OMAHA,NE,68178-0003",1.0,0.0,0.0,41.267778,-96.17133049,1,0
132,"2900 S 70TH ST STE 230,LINCOLN,NE,68506-3689",0.0,0.0,1.0,40.781763,-96.62501673,1,0
133,"2907 W 37TH ST STE B,KEARNEY,NE,68845-0433",1.0,0.0,0.0,40.71223247,-99.12121272,1,0
134,"2908 W 39TH ST STE B,KEARNEY,NE,68845-1245",1.0,0.0,0.0,40.71379755,-99.12053985,1,0
135,"2929 N 204TH ST STE 109,ELKHORN,NE,68022-1230",0.0,0.0,1.0,41.28498223,-96.23435567,1,0
136,"2945 N 108TH ST,OMAHA,NE,68164-3709",1.0,0.0,0.0,41.28534224,-96.08128237,1,0
137,"2953 N CLARKSON ST,FREMONT,NE,68025-2371",1.0,0.0,0.0,41.45770682,-96.49011863,1,0
138,"302 E 6TH ST,LEXINGTON,NE,68850-2178",1.0,0.0,0.0,40.77874651,-99.73845016,1,0
139,"302 W 9TH ST,MCCOOK,NE,69001-3517",0.0,0.0,0.5,40.19906745,-100.6379269,1,0
140,"3020 CENTRAL AVE,KEARNEY,NE,68847-3503",1.0,0.0,0.0,40.70606467,-99.08155822,1,0
141,"3024 25TH ST,COLUMBUS,NE,68601-2404",1.0,0.0,0.0,41.44099551,-97.36594166,1,0
142,"305 E 4TH ST # 565,STROMSBURG,NE,68666-4417",1.0,0.0,0.0,41.11412044,-97.59511425,1,0
143,"309 N MINDEN AVE,MINDEN,NE,68959-1657",0.0,0.0,1.0,40.49785724,-98.94780814,1,0
144,"3100 O ST STE 1,LINCOLN,NE,68510-1532",0.0,0.0,1.0,40.81353351,-96.67599299,1,0
145,"3103 W STOLLEY PARK RD STE 101,GRAND ISLAND,NE,68801-7494",1.0,0.0,0.0,40.90238148,-98.37141269,1,0
146,"311 N 76TH ST,OMAHA,NE,68114-3627",0.0,0.5,0.0,41.26166463,-96.03138724,1,0
147,"3140 N ST,LINCOLN,NE,68510-1523",3.0,0.0,0.0,40.81229345,-96.67542149,1,0
148,"315 W 11TH ST,KEARNEY,NE,68845-7331",0.5,0.0,0.0,40.68510237,-99.08636871,1,0
149,"3200 PINE LAKE RD,LINCOLN,NE,68516-6035",1.0,0.0,0.0,40.74097445,-96.67327402,1,0
150,"3201 PIONEERS BLVD STE 308,LINCOLN,NE,68502-5963",1.0,0.0,0.0,40.76982446,-96.67398086,1,0
151,"321 E 3RD ST,NORTH PLATTE,NE,69101-4032",0.0,0.5,0.0,41.13513034,-100.7600963,1,0
152,"3220 PLAZA DR STE B,SOUTH SIOUX CITY,NE,68776-3191",2.0,0.0,0.0,42.45886339,-96.42766339,1,0
153,"3256 SALT CREEK CIR,LINCOLN,NE,68504-4761",0.0,0.0,1.0,40.86786306,-96.67092074,1,0
154,"3265 SHERIDAN BLVD,LINCOLN,NE,68502-5237",1.0,0.0,0.0,40.78019303,-96.67311118,1,0
155,"3272 SALT CREEK CIR STE A,LINCOLN,NE,68504-4759",0.5,1.5,0.0,40.86784605,-96.67093922,1,0
156,"331 N CHERRY ST,VALENTINE,NE,69201-1880",1.5,0.0,0.0,42.87601665,-100.552248,1,0
157,"3401 PLANTATION DR STE 100,LINCOLN,NE,68516-4712",0.0,0.0,1.0,40.75251151,-96.67039189,1,0
