,State_County_Tract_FIPS_Code
31109000900,18
31079000500,18
31055006701,14
31055007512,14
31109003706,13
31055004700,13
31055007513,12
31109003801,12
31055007460,11
31055007439,11
31109003714,11
31055007442,10
31055007406,8
31079000100,8
31109002400,8
31055007515,8
31157953300,8
31109003719,8
31109003718,8
31055007443,8
31055007446,7
31055006805,7
31055007514,7
31153010203,7
31055001800,7
31055001600,7
31153010622,7
31019969204,7
31055004500,7
31109003707,7
31055007509,7
31109003001,6
31055007449,6
31109010201,6
31055007471,6
31055007429,6
31055007469,6
31055007506,6
31055007315,6
31153010617,6
31153010618,6
31101000100,6
31109003604,6
31153010106,6
31109003708,6
31109003609,6
31055006806,6
31055003700,6
31153010205,6
31141965600,6
31055006803,6
31055004800,5
31055006704,5
31055004900,5
31109001301,5
31055007408,5
31055007448,5
31055007452,5
31055007405,5
31109003717,5
31055007451,5
31055007445,5
31055004300,5
31055007407,5
31055007517,5
31141965300,5
31157953400,5
31109002200,5
31019969500,4
31177050101,4
31055007409,4
31119960802,4
31119960801,4
31109001500,4
31055006804,4
31055006602,4
31185969800,4
31055002300,4
31047968100,4
31119961100,4
31053964100,4
31055007444,4
31019969203,4
31109003713,4
31153010628,4
31055004600,4
31055005500,4
31131967000,4
31109003802,4
31111960500,4
31055006400,4
31055007435,4
31045950700,4
31055007432,4
31055000500,3
31147964500,3
31153010616,3
31109010400,3
31109001101,3
31055007438,3
31119960900,3
31089974300,3
31001965700,3
31157952900,3
31155968400,3
31153010208,3
31109001600,3
31109003704,3
31055003600,3
31109003715,3
31109010300,3
31019969202,3
31153010623,3
31055004000,3
31179978700,3
31055007463,3
31013951200,3
31055006504,3
31153010701,3
31055007454,3
31111960400,3
31111959900,3
31109001001,3
31055007511,3
31055006703,3
31109003003,3
31109001003,3
31139979100,3
31109002800,2
31055006906,2
31031955800,2
31055006903,2
31055007003,2
31043010300,2
31129960000,2
31175971400,2
31153010103,2
31159960400,2
31055007456,2
31055006905,2
31053964000,2
31153010631,2
31119960600,2
31055007303,2
31055003800,2
31001965400,2
31153010624,2
31155968200,2
31019969000,2
31109003709,2
31109001900,2
31023967700,2
31109000201,2
31109001002,2
31157953800,2
31055006904,2
31055007314,2
31153010620,2
31055007318,2
31067964800,2
31153010632,2
31109001102,2
31155968300,2
31055007508,2
31055007447,2
31019968900,2
31101000200,2
31081969300,2
31111959700,2
31145963200,2
31109001302,2
31055007441,2
31055003500,2
31123952500,2
31133967800,2
31043010200,2
31055007472,2
31055007436,2
31109003605,2
31109003607,2
31055007466,2
31111960200,2
31109001200,2
31055005000,2
31153010501,2
31055007461,2
31055007457,2
31121966700,2
31153010702,2
31055007002,1
31057962300,1
31055001900,1
31109000500,1
31051977800,1
31055007516,1
31109002500,1
31109000300,1
31107976200,1
31111960600,1
31177050102,1
31001965600,1
31027977200,1
31095963700,1
31109002300,1
31157953600,1
31149974600,1
31119960700,1
31177050202,1
31177050201,1
31167962200,1
31055005800,1
31053964400,1
31109002900,1
31109003402,1
31045950600,1
31055000200,1
31165950100,1
31019969700,1
31109000400,1
31047968200,1
31029961900,1
31067964600,1
31169963200,1
31107976400,1
31017975000,1
31059091700,1
31111959800,1
31109001400,1
31155968500,1
31001965900,1
31093970600,1
31051977600,1
31055007431,1
31033955000,1
31055004400,1
31173940100,1
31067965100,1
31109010100,1
31053963600,1
31047968400,1
31137967000,1
31025965700,1
31025965600,1
31153010302,1
31109000800,1
31055007434,1
31121966800,1
31099966700,1
31179978600,1
31109003102,1
31055007450,1
31035962200,1
31055007455,1
31055007459,1
31055007462,1
31033954900,1
31055007467,1
31055007465,1
31055007470,1
31055007468,1
31055007504,1
31109010202,1
31157953500,1
31055002200,1
31055007316,1
31131966700,1
31109003608,1
31161951600,1
31153010634,1
31065963900,1
31011960200,1
31081969200,1
31109000600,1
31153010629,1
31153010108,1
31153010626,1
31001965500,1
31089974200,1
31109003716,1
31127968200,1
31131966900,1
31055007312,1
31089974000,1
31067964900,1
31153010619,1
31055006503,1
31055006202,1
31121966600,1
31053963800,1
31153010206,1
31053964200,1
31153010204,1
31159960100,1
31109000100,1
31055007309,1
31061964700,1
31053963900,1
