id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US31001965400,,"Census Tract 9654, Adams County, Nebraska",31,5,6,0,11,6,0,2,53,36,47,38,371,2,18,7,0,32,27,0,0,129,34,77,45,572,52,5,6,0,10,10,4,8,172,73,55,177,158.5,154.3,426.2,439,1178,463599
1400000US31001965500,,"Census Tract 9655, Adams County, Nebraska",8,9,7,34,0,20,4,16,168,36,6,48,408,0,7,25,37,42,11,0,0,74,22,80,110,393,0,31,21,47,38,0,0,11,17,51,79,98,266,153.8,316.2,421,1157,
1400000US31001965600,,"Census Tract 9656, Adams County, Nebraska",69,0,0,0,10,38,31,0,114,36,33,34,334,52,0,0,0,15,17,41,0,53,51,80,25,216,0,12,0,44,13,0,0,0,67,34,46,0,196,192.8,308.2,218,915,
1400000US31001965700,,"Census Tract 9657, Adams County, Nebraska",0,1,0,0,13,8,0,9,19,26,8,3,192,48,2,0,0,14,0,0,12,26,53,33,4,45,1,0,0,0,0,0,0,0,3,5,13,23,65.5,52.1,122.4,84,324,
1400000US31001965800,,"Census Tract 9658, Adams County, Nebraska",0,35,0,28,0,0,5,0,46,0,42,8,246,0,0,0,12,0,0,25,0,90,26,93,0,162,0,38,7,14,0,0,15,0,11,57,0,20,134,74.4,200.6,163,572,
1400000US31001965900,,"Census Tract 9659, Adams County, Nebraska",0,10,0,14,21,9,0,0,147,23,175,28,289,0,0,0,11,0,7,0,40,111,26,94,0,370,26,42,0,9,0,16,0,0,90,51,75,61,122.5,152.1,378.4,433,1086,
1400000US31001966000,,"Census Tract 9660, Adams County, Nebraska",0,11,81,0,65,22,0,14,90,75,72,0,348,51,0,51,0,23,9,0,0,141,0,62,11,302,29,0,97,30,33,0,0,26,54,0,0,33,410.5,188.5,303,178,1080,
1400000US31001966100,,"Census Tract 9661, Adams County, Nebraska",0,66,0,0,0,6,25,0,0,16,0,0,226,34,99,0,38,30,25,0,0,0,0,0,0,130,49,13,0,0,30,12,0,0,26,0,0,0,329,103.2,36.8,0,469,
1400000US31001966200,,"Census Tract 9662, Adams County, Nebraska",2,1,24,4,6,3,3,13,27,59,10,10,207,0,1,38,9,8,10,0,10,65,52,0,14,202,10,10,11,4,5,9,0,17,58,60,9,9,123.5,104.5,291,52,571,
1400000US31003979600,,"Census Tract 9796, Antelope County, Nebraska",17,13,13,15,5,2,8,4,26,32,0,10,75,5,6,0,18,6,0,0,5,21,10,0,4,130,11,0,9,7,13,16,23,2,31,3,0,15,126,87.6,107.4,29,350,
1400000US31003979700,,"Census Tract 9797, Antelope County, Nebraska",11,0,7,12,0,6,41,0,16,33,14,13,155,21,3,0,32,0,3,11,0,36,7,27,15,140,12,16,0,0,0,5,0,0,22,28,27,30,114,80.8,127.2,126,448,
1400000US31003979800,,"Census Tract 9798, Antelope County, Nebraska",16,0,29,11,1,8,3,1,57,45,2,0,252,9,3,31,13,31,18,8,12,80,22,22,3,269,12,2,20,16,35,64,0,13,53,37,12,5,195.5,198.5,256,44,694,
1400000US31005958300,,"Census Tract 9583, Arthur County, Nebraska",1,0,0,0,0,2,3,2,8,7,0,1,41,6,0,0,0,4,4,0,3,11,7,4,2,46,6,0,0,0,6,4,0,2,5,15,1,7,18,29.8,48.2,15,111,
1400000US31007954000,,"Census Tract 9540, Banner County, Nebraska",5,0,0,0,0,5,3,0,8,2,21,10,36,6,0,0,3,0,0,0,0,9,0,8,10,62,0,0,7,0,13,7,0,0,11,0,15,9,27.5,27.1,24.4,73,152,
1400000US31009972400,,"Census Tract 9724, Blaine County, Nebraska",0,1,11,0,0,0,5,0,14,0,3,0,27,0,2,4,0,0,0,5,0,16,0,0,0,44,0,1,2,0,1,0,3,3,21,0,2,11,21.5,26.7,40.8,16,105,
1400000US31011960100,,"Census Tract 9601, Boone County, Nebraska",7,0,11,5,100,8,18,6,64,46,12,28,303,6,11,0,37,85,0,6,4,29,32,31,62,276,3,0,38,43,5,4,3,2,30,52,18,78,256,170.6,228.4,229,884,
